እኔ	ʾəne	ˈ(ʔ)ɨne
አንተ	ʾäntä	ˈ(ʔ)antə
እሱ	ʾəsu	ˈ(ʔ)ɨsːu
እኛ	ʾəña	ˈ(ʔ)ɨɲːa
እናንተ	ʾənantä	ˈ(ʔ)ɨnːantə
እነርሱ	ʾənärsu	ˈ(ʔ)ɨnːəɾsu
ይህ	yəh	ˈjɨh
ያ	ya	ˈja
እዚህ	ʾəzih	
እዚያ	ʾəziya	
ማን	man	ˈman
ምን	mən	ˈmɨn
የት	yät	ˈjət
መቼ	mäče	
እንዴት	ʾəndet	
አይደለም	ʾäydäläm	(ʔ)ajˈdəlːəmː
ሁሉም	hulum	
ብዙ	bəzu	ˈbɨzu
የተወሰነ	yätäwäsänä	
ጥቂት	ṭəḳit	
ሌላ	lela	
አንድ	ʾänd	ˈ(ʔ)and
ሁለት	hulät	ˈhulətː
ሶስት	sost	
አራት	ʾärat	ˈ(ʔ)aɾatː
አምስት	ʾämsət	ˈ(ʔ)amːɨst
ትልቅ	təlḳ	
ረዝም	räzm	
ሰፊ	säfi	
ደንዳና	dändana 	ˈdəndanːa
ከባድ	käbad	
ትንሽ	tənš	
አጭር	ʾäč̣r	
ጠባብ	ṭäbab	
ቀጭን	ḳäč̣n	
ሴትዮ	setyo 	seˈtɨjːo
ጎልማሳ	golmasa 	
ሰዉ	säwu	
ህጻን	həṣan	
ሚስት	mist	ˈmist
ባል	bal	ˈbal
እናት	ʾənat	ˈʔɨnːat
አባት	ʾäbat	ˈʔabːat
እንስሳ	ʾənsəsa	
አሳ	ʾäsa	
ወፍ	wäf	ˈwəf
ዉሻ	wuša	ˈwuʃːa
ቅማል	ḳəmal	
እባብ	ʾəbab	
ትል	təl	tʰɨl
ዛፍ	zaf	ˈzaf
ደን	dän	
ልምጭ	ləmč̣	
ፍራፍሬ	fərafre	
ዘር	zär	ˈzər
ቅጠል	ḳəṭäl	
ስር	sər	ˈsɨr
ቅርፊት	ḳərfit	
አበባ	ʾäbäba	aβəβa
ሳር	sar	
ገመድ	gämäd	
ቆዳ	ḳoda	
ስጋ	səga	ˈsɨɡa
ደም	däm	ˈdəm
አጥንት	ʾäṭnət	
ሥብ	śəb	
