أنا‎	ʔana	ˈʔa.na
إنت‎	ʔinta	ˈʔin.ta
هو‎	huwwe	ˈhuw.we
إحنا‎	ʔiḥna	ˈʔiħ.na
إنتو‎	ʔintu	ˈʔin.tu
هم‎	humme	ˈhum.me
هاد‎	hād	ˈhaːd
هداك‎	hadāk	haˈdaːk
هون‎	hōn	ˈhoːn
هناك‎	hunāk	huˈnaːk
مين‎	mīn	miːn
إيش‎	ʔēš	ˈʔeːʃ
وين‎	wēn	weːn
إيمتى‎	ʔēmta	ˈʔeːm.ta
كيف‎	kīf	kiːf
مُش‎	muš	muʃ
كل‎	kull	ˈkull
كتير‎	ktīr	ˈktiːr
بعض‎	baʕḍ	ˈbaʕdˤ
شوي‎	šway	ˈʃwaj
تاني‎	tāni	ˈtaː.ni
واحد‎	wāḥad	ˈwaː.ħad
تنين‎	tnēn	tneːn
تلاتة‎	talāte	taˈlaː.te
أربعة‎	ʔarbaʕa	ˈʔar.ba.ʕa
خمسة‎	ḵamse	ˈxam.se
كبير‎	kbīr	ˈkbiːr
طويل‎	ṭwīl	ˈtˤwiːl
واسع‎	wāsiʕ	ˈwaː.siʕ
خميل‎	ḵmīl	ˈxmiːl
تقيل‎	tʔīl	ˈtʔiːl
زغير‎	zḡīr	ˈzɣiːr
قصير‎	ʔaṣīr	ʔaˈsˤiːr
ديّق‎	dijjiʔ	ˈdij.jiʔ
رفيع‎	rfīʕ	ˈrfiːʕ
مرة‎	mara	ˈma.ra
زلمة‎	zalame	ˈza.la.me
إنسان‎	ʔinsān	ˈʔin.saːn
ولد‎	walad	ˈwa.lad
مرة‎	mara	ˈma.ra
جوز‎	jōz	ˈʒoːz
إم‎	ʔimm	ʔimm
أب‎	ʔabb	ʔabb
حيوان‎	ḥaywān	ħajˈwaːn
سمكة‎	samake	ˈsa.ma.ke
عصفور‎	ʕaṣfūr	ʕasˤˈfuːr
كلب‎	kalb	ˈkalb
قملة‎	ʔamle	ˈʔam.le
حية‎	ḥajje	ˈħaj.je
دودة‎	dūde	ˈduː.de
شجرة‎	šajara	ˈʃa.ʒa.ra
غابة‎	ḡābe	ˈɣaː.be
عصاي‎	ʕaṣāy	ʕaˈsˤaːj
فاكهة‎	fākha	ˈfaːk.ha
بذرة‎	bizre	ˈbiz.re
ورقة‎	waraʔa	ˈwa.ra.ʔa
شرش‎	širš	ˈʃirʃ
قشرة‎	ʔišre	ˈʔiʃ.re
زهرة‎	zahra	ˈzah.ra
حشيش‎	ḥašīš	ħaˈʃiːʃ
حبل‎	ḥabil	ˈħa.bil
جلد‎	jild	ˈʒild
لحم‎	laḥm	ˈlaħm
دم‎	damm	ˈdamm
عضم‎	ʕaḍm	ˈʕadˤm
شحم‎	šaḥm	ˈʃaħm
بيض‎	bēḍa	ˈbeːdˤ
قرن‎	ʔarn	ˈʔarn
دنب‎	danab	ˈda.nab
ريش‎	rīše	ˈriːʃ
شعر‎	šaʕr	ˈʃaʕr
راس‎	rās	ˈraːs
دان‎	dān	ˈdaːn
عين‎	ʕēn	ˈʕeːn
منخار‎	munḵār	munˈxaːr
تم‎	tumm	ˈtumm
سن‎	sinn	ˈsinn
لسان‎	lsān	ˈlsaːn
أضفر‎	ʔuḍfar	ˈʔudˤ.far
إجر‎	ʔijr	ˈʔiʒr
ساق‎	sāʔ	ˈsaːʔ
ركبة‎	rukbe	ˈruk.be
إيد‎	ʔīd	ˈʔiːd
جناح‎	janāḥ	ʒaˈnaːħ
بطن‎	baṭn	ˈbatˤn
مصران‎	muṣrān	musˤˈraːn
رقبة‎	raʔabe	ˈra.ʔa.be
ضهر‎	ḍahr	ˈdˤahr
صدر‎	ṣidr	ˈsˤidr
قلب‎	ʔalb	ˈʔalb
كبدة‎	kibde	ˈkib.de
شرب‎	širib	ˈʃi.rib
أكل‎	ʔakal	ˈʔa.kal
عض‎	ʕaḍḍ	ˈʕadˤdˤ
مص‎	maṣṣ	ˈmasˤsˤ
بزق‎	bazaʔ	ˈba.zaʔ
نتق‎	nataʔ	ˈna.taʔ
نفخ‎	nafaḵ	ˈna.fax
تنفس‎	tnaffas	ˈtnaf.fas
ضحك‎	ḍiḥik	ˈdˤi.ħik
شاف‎	šāf	ˈʃaːf
سمع‎	simiʕ	ˈsi.miʕ
عرف‎	ʕirif	ˈʕirif
فكر‎	fakkar	ˈfak.kar
شم‎	šamm	ˈʃamm
خاف‎	ḵāf	ˈxaːf
نام‎	nām	ˈnaːm
عاش‎	ʕāš	ˈʕaːʃ
مات‎	māt	ˈmaːt
قتل‎	ʔatal	ˈʔa.tal
تخانق‎	tḵānaʔ	ˈtxaː.naʔ
