أنا‎	ʔana	ʔa.na
انتَ‎	nta	nta
هو‎	huwwa	huw.wa
حنا‎	ḥna	ħna
انتما‎	ntūma	ntuː.ma
هما‎	hūma	huː.ma
هدا‎	hāda	haː.da
هداك‎	hadāk	ha.daːk
هنا‎	hna	hna
تمة‎	temma	tem.ma
شكون‎	škūn	ʃkuːn
شنو‎	šnu	ʃnu
فين‎	fīn	fiːn
امتى‎	imta	imta
كيف‎	kīf	kiːf
ماشي‎	māši	maː.ʃi
كامل‎‎	kāmel	kaː.mɪl
بالزاف‎	b-ez-zāf	b‿ɪz.zaːf
شي‎	ši	baʕdˤ
شوية‎	šwiyya	ʃwij.ja
آخَر‎	ʔāḵur	ʔaː.xur
واحد‎	wāḥid	waː.ħid
جوج‎‎	jūj	ʒuːʒ
تلاتة‎	tlāta	tlaː.ta
ربعة‎	rabʕa	rab.ʕa
خمسة‎	ḵamsa	xam.sa
كبير‎	kbīr	kbiːr
طويل‎	ṭwīl	tˤwiːl
عريض‎	ʕrīḍ	ʕriːdˤ
سميك‎	smīk	smiːk
تقيل‎	tqīl	tqiːl
صغير‎	ṣḡīr	sˤɣiːr
قصير‎	qṣīr	qsˤiːr
ضيق‎	ḍiyyaq	dˤij.jaq
رقيق‎	rqīq	rqiːq
مراة‎	mra	mra
راجل‎	rājel	raː.ʒɪl
إنسان‎	ʔinsān	ʔin.saːn
دري‎	darri	dar.ri
مراة‎	mra	mra
راجل‎	rājel	raːʒɪl
أم‎‎	ʔumm	ʔumm
با‎	bbā	bːaː
حيوان‎	ḥayawān	ħa.ja.waːn
حوت‎	ḥūt	ħuːt
طير‎	ṭīr	tˤiːr
كلب‎	kalb	kalb
قمل‎	qmal	qmal
حنش‎	ḥanš	ħanʃ
دود‎	dūd	duːd
شجرة‎	šajra	ʃaʒ.ra
غابة‎	ḡāba	ɣaː.ba
قطيب‎	qṭīb	qtˤiːb
فاكهة‎	fākha	faːk.ha
زريعة‎	zarriʕa	zar.riː.ʕa
ورقة‎	warqa	war.qa
جدر‎	jdar	ʒdar
قشرة‎	qašra	qaʃ.ra
نوار‎	nuwwār	nuw.waːr
ربيع‎	rbīʕ	rbiːʕ
قنبة‎	qannba	qan.nba
جلد‎	jald	ʒald
لحم‎	lḥam	lħam
دم‎	damm	damm
عضم‎	ʕḍam	ʕdˤam
شحمة‎	šaḥma	ʃaħ.ma
بيضة‎	bīḍa, bayḍa	biː.dˤa
قرن‎	qarn	qarn
شوال‎	šuwwāl	ʃuw.waːl
ريشة‎	rīša	riː.ʃa
شعر‎	šʕar	ʃʕar
راس‎	rās	raːs
ودن‎	wdan	wdan
عين‎	ʕīn, ʕayn	ʕiːn
نيف‎	nīf	niːf
فم‎	fumm	fumm
سنة‎	sanna	san.na
لسان‎	lsān	lsaːn
ضفر‎	ḍfar	dˤfar
رجل‎	rjal	rʒal
ساق‎	sāq	saːq
ركبة‎	rukba	ruk.ba
يد‎	yadd, yidd	jadd
جناح‎	jnāḥ	ʒnaːħ
معدة‎	maʕda, maʕida	maʕ.da
مصارن‎	mṣārin	msˤaː.rin
عنق‎	ʕunq	ʕunq
ضهر‎	ḍhar	dˤhar
بزولة‎	bazzūla	baz.zuːla
قلب‎	qalb	qalb
كبدة‎	kabda	kab.da
شرب‎	šrab	ʃrab
كال‎	kāl	kaːl
عض‎	ʕaḍḍ	ʕadˤdˤ
مص‎	maṣṣ	masˤsˤ
بزق‎	bzaq	bzaq
تقيا‎	tqiyya	tqij.ja
