أَنَا‎	ʔanā	ʔa.naː
أَنْتَ‎	ʔanta	ʔan.ta
هُوَ‎	huwa	hu.wa
نَحْنُ‎	naḥnu	naħ.nu
أَنْتُمْ‎	ʔantum	ʔan.tum
هُمْ‎	hum	hum
هٰذَا‎	hāḏā	haː.ðaː
ذٰلِكَ‎	ḏālika	ðaː.li.ka
هُنَا‎	hunā	hu.naː
هُنَاكَ‎	hunāka	hu.naː.ka
مَنْ‎	man	man
مَا‎	mā	maː
أَيْن‎	ʔayn	ʔajn
مَتَى‎	matā	ma.taː
كَيْف‎	kayf	kajf
لَا‎	lā	laː
كُلّ‎	kull	kull
كَثِير‎	kaṯīr	ka.θiːr
بَعْض‎	baʕḍ	baʕdˤ
قَلِيل‎	qalīl	qa.liːl
آخَر‎	ʔāḵar	ʔaː.xar
وَاحِد‎	wāḥid	waː.ħid
اِثْنَان‎	iṯnān	iθ.naːn
ثَلَاثَة‎	ṯalāṯa	θa.laː.θa
أَرْبَعَة‎	ʔarbaʕa	ʔar.ba.ʕa
خَمْسَة‎	ḵamsa	xam.sa
كَبِير‎	kabīr	ka.biːr
طَوِيل‎	ṭawīl	tˤa.wiːl
رَحْب‎	raḥb	raħb
سَمِيك‎	samīk	sa.miːk
ثَقِيل‎	ṯaqīl	θa.qiːl
صَغِير‎	ṣaḡīr	sˤa.ɣiːr
قَصِير‎	qaṣīr	qa.sˤiːr
ضَيِّق‎	ḍayyiq	dˤaj.jiq
رَقِيق‎	raqīq	ra.qiːq
اِمْرَأَة‎	imraʔa	im.ra.ʔa
رَجُل‎	rajul	ra.d͡ʒul
إِنْسَان‎	ʔinsān	ʔin.saːn
طِفْل‎	ṭifl	tˤifl
زَوْجَة‎	zawja	zaw.d͡ʒa
زَوْج‎	zawj	zawd͡ʒ
أُمّ‎	ʔumm	ʔumm
أَب‎	ʔab	ʔab
حَيَوَان‎	ḥayawān	ħa.ja.waːn
سَمَك‎	samak	sa.mak
طَائِر‎	ṭāʔir	tˤaː.ʔir
كَلْب‎	kalb	kalb
قَمْل‎	qaml	qaml
حَنَش‎	ḥanaš	ħa.naʃ
دُود‎	dūd	duːd
شَجَرَة‎	šajara	ʃa.d͡ʒa.ra
غَابَة‎	ḡāba	ɣaː.ba
عَصًا‎	ʕaṣan	ʕa.sˤan
فَاكِهَة‎	fākiha	faː.ki.ha
زَرْع‎	zarʕ	zarʕ
