אני‎	aní	(ʔ)aˈni
אתה‎	atá	(ʔ)aˈta
הוא‎	hú	(h)u
אנחנו‎	anákh'nu	(ʔ)aˈnaχnu
אתם‎	atém	(ʔ)aˈtem
הם‎	hém	
זה‎	zé	
הוא‎	hu	(h)u
פה‎	pó	
שם‎	shám	ʃɛm
מי‎	mí	
מה‎	má	
איפה‎	éfo	eˈfo
מתי‎	matái	maˈtaj
איך‎	ékh	(ʔ)eχ
לא‎	ló	lo
כל‎	kól	kol
הרבה‎	harbé	
כמה‎	káma	
מעט‎	me'át	
אחר‎	akhér	
אחת‎	akhát	aˈχat
שתיים‎	sh'táyim	ʃtajm
שלוש‎	shalósh	ʃaˈloʃ
ארבע‎	árba	aʁˈba
חמש‎	khamésh	χaˈmeʃ
גדול‎	gadól	ɡaˈdol
ארוך‎	arókh	
רחב‎	rakháv	
עבה‎	avé	
כבד‎	kavéd	
קטן‎	katán	kaˈtan
קצר‎	katsár	
צר‎	tsár	
דק‎	dák	
אישה‎	ishá	
גבר‎	géver	
אדם‎	adám	aˈdam
ילד‎	yéled	ˈje.led
אישה‎	ishá	
בעל‎	bá'al	ˈba.(ʔ)al
אם‎	ém	ˈ(ʔ)em
אב‎	áv	(ʔ)av
חיה‎	khayá	χaˈja
דג‎	dág	daɡ
ציפור‎	tsipór	t͡siˈpoʁ
כלב‎	kélev	ˈke.lev
כינה‎	kiná	
נחש‎	nakhásh	naˈχaʃ
תולעת‎	tolá'at	toˈla(ʔ)at
עץ‎	éts	et͡s
יער‎	yá'ar	ˈja(ʕ)aʁ
מקל‎	makél	
פרי‎	p'rí	pʁi
זרע‎	zéra	
עלה‎	alé	
שורש‎	shóresh	ˈʃoʁeʃ
קליפה‎	k'lipá	
פרח‎	pérakh	
דשא‎	déshe	ˈdeʃe
חבל‎	khével	ˈχe.vel
עור‎	ór	oʁ
בשר‎	basár	baˈsaʁ
דם‎	dám	dam
עצם‎	étsem	ˈetsem
שומן‎	shumán	
ביצה‎	beitsá	
קרן‎	kéren	
זנב‎	zanáv	
נוצה‎	notsá	
שערה‎	sa'ará	sa.ʔaˈʁa
ראש‎	rósh	ʁoʃ
אוזן‎	ózen	
עין‎	áyin	ˈajin
אף‎	áf	ʔaf
פה‎	pé	
שן‎	shén	ˈʃen
לשון‎	lashón	laˈʃon
ציפורן‎	tsipóren	
רגל‎	régel	ˈʁeɡel
רגל‎	régel	ˈʁeɡel
ברך‎	bérekh	
יד‎	yád	jad
כנף‎	kanáf	kaˈnaf
בטן‎	béten	
מעיים‎	me'ayím	
צוואר‎	tsavár	
גב‎	gáv	
שד‎	shád	ʃad
לב‎	lév	
כבד‎	kavéd	
לשתות‎	lish'tót	liʃˈtɔt
לאכול‎	le'ekhól	
לנשוך‎	lin'shókh	
למצוץ‎	lim'tsóts	
לירוק‎	lirók	
להקיא‎	lehakí	
לנשוף‎	lin'shóf	
לנשום‎	lin'shóm	
לצחוק‎	lits'khók	
לראות‎	lirót	
לשמוע‎	lish'mó'a	liʃmoaʕ
לדעת‎	ladá'at	
לחשוב‎	lakh'shóv	
להריח‎	leharí'akh	
לפחד‎	lepakhéd	
לישון‎	lishón	liʃon
לחיות‎	likhiyót	
למות‎	lamút	
להרוג‎	laharóg	
להלחם‎	lehil'khém	
לצוד‎	latsúd	
להכות‎	lehakót	
לחתוך‎	lekhatókh	
לפצל‎	lepatsél	
לדקור‎	lid'kór	
לשרוט‎	lis'rót	
לחפור‎	lakh'pór	
לשחות‎	lis'khót	
לעוף‎	la'úf	
ללכת‎	lalékhet	
לבוא‎	labó	
לשכב‎	lish'káv	
לשבת‎	lashévet	
לעמוד‎	la'amód	
להסתובב‎	lehis'tovév	
לנפול‎	lin'pól	
לתת‎	latét	
להלהחזיק‎	lehakhzík	
ללחוץ‎	lil'khóts	
לשפשף‎	leshaf'shéf	
לשטוף‎	lish'tóf	
לנגב‎	lenagév	
למשוך‎	lim'shókh	
לדחוף‎	lid'khóf	
לזרוק‎	liz'rók	
לקשור‎	lik'shór	
לתפור‎	lit'pór	litˈpor
לספור‎	lis'pór	
לומר‎	lomár	
לשיר‎	lashír	
לשחק‎	lesakhék	
לצוף‎	latsúf	
לזרום‎	liz'róm	
לקפוא‎	lik'pó	
להתנפח‎	lehitnapé'akh	
שמש‎	shémesh	ˈʃemeʃ
ירח‎	yaré'akh	jaˈʁɛaχ
כוכב‎	kokháv	
מים‎	máyim	
גשם‎	géshem	
נהר‎	nahár	naˈhaʁ
אגם‎	agám	aˈɡam
ים‎	yám	jam
מלח‎	mélakh	
אבן‎	éven	ˈeven
חול‎	khól	
אבק‎	avák	
אדמה‎	adamá	
ענן‎	anán	(ʕ)aˈnan
ערפל‎	arafél	
שמים‎	shamáyim	ʃaˈmajim
רוח‎	rúakh	ˈʁu.ax
שלג‎	shéleg	ˈʃeleɡ
קרח‎	kérakh	ˈkɛʁaχ
עשן‎	ashán	
אש‎	ésh	
אפר‎	éfer	
שרף‎	saráf	
דרך‎	dérekh	ˈdeʁeχ
הר‎	hár	haʁ
אדום‎	adóm	aˈdom
ירוק‎	yarók	jaˈʁok
צהוב‎	tsahóv	
לבן‎	laván	
שחור‎	shakhór	
לילה‎	láila	ˈlaj.la
יום‎	yóm	jom
שנה‎	shaná	ʃaˈna
חם‎	khám	ˈχam
קר‎	kár	
מלא‎	malé	
חדש‎	khadásh	χaˈdaʃ
ישן‎	yashán	
טוב‎	tóv	tov
רע‎	rá	ʁa
רקוב‎	rakúv	
מלוכלך‎	melukh'lákh	
ישר‎	yashár	
עגול‎	agól	
חד‎	khád	
קהה‎	kehé	
חלק‎	khalák	
רטוב‎	ratúv	
יבש‎	yavésh	
נכון‎	nakhón	
קרוב‎	karóv	
רחוק‎	rakhók	ʁaˈχɔk
ימין‎	yamín	
שמאל‎	s'mól	
ב־‎	b'-	
ב־‎	b'-	
עם‎	im	am
ו־‎	ve-	
