ܐܢܐ	ānā	ɑːnɑː
ܐܢܬ	at	ʔat
ܗܘ	awa	awaː
ܐܚܢܢ	aḥnan	ax.nan
ܐܚܬܘܢ	aḥton	ʔax.tonː
ܐܢܝ	ānī	ʔɑːniː
ܕܗܘ	d-awa	dəawaː
ܕܗܘ	d-awa	dəawaː
ܠܐܟܐ	laˀḵā	lɑːxɑː
ܬܡܐ	tāmā	tɑːmɑː
ܡܢ	min	mɪn
ܡܘܕܝ	modī	modī
ܐܝܟܐ	aykā	ʔajkaː
ܐܝܡܢ	īman	iːman
ܐܝܡܢ	īman	iːman
ܠܐ	la	lɑ
ܟܠ	kul	kul
ܣܓܝܐܐ	sagīˀā	saɡ.ɡiːʔɑː
ܚܕܬܪܝܢ	ḥattēy	xatteː
ܚܕܬܪܝܢ	ḥattēy	xatteː
ܐܚܪܢܐ	ḥēnā	xeːnɑː
ܚܕ	ḥa	xa
ܬܪܝܢ	trēn	trenː
ܬܠܬܐ	tlātā	tlɑːtɑː
ܐܪܒܥܐ	arbˁā	ʔarbəʕaː
ܚܡܫ	ḥamšā	xam.ʃɑː
ܪܒܐ	rabbā	rab.bɑː
ܝܪܝܟܐ	yarīḵā	jar.riːxɑː
ܦܬܝܐ	pityā	pɪt.jɑː
		
ܝܩܘܪܐ	yaqqūrā	jaq.quːrɑː
ܙܥܘܪܐ	zˁōrā	z(ə)ʕoːrɑː
ܟܪܝܐ	kiryā	kɪr.jɑː
		
		
ܐܢܬܬܐ	atṯā	ʔat.tɑː
ܓܒܪܐ	gaḇrā	ɡo.rɑː
ܐܢܫܐ	nāšā	naːʃaː
ܝܠܕܐ	yālā	jɑːlɑː
ܐܢܬܬܐ	atṯā	ʔat.tɑː
ܓܒܪܐ	gaḇrā	ɡo.rɑː
		
		
ܚܝܘܬܐ	ḥayyūtā	xaj.juːtɑː
ܢܘܢܐ	nuna	nʊːnɑː
ܛܝܪܐ	ṭayrā	tˤaj.rɑː
ܟܠܒܐ	kalbā	kal.bɑː
		
		
		
ܐܝܠܢܐ	īlānā	ʔiːlɑːnɑː
		
		
ܦܐܪܐ	pērā	peːʔraː
		
ܛܪܦܐ	ṭarpā	tˤarpaː
ܫܪܫܐ	širšā	ʃɪrʃɑː
		
		
		
		
		
		
ܕܡܐ	dimmā	dɪmmaː
		
		
		
		
		
		
ܣܥܪܐ	saˁrā	saʕ.rɑː
ܪܝܫܐ	rēšā	reːʃɑː
		
ܥܝܢܐ	ˁaynā	ʕaj.nɑː
		
ܦܘܡܐ	pummā	pum.mɑː
ܫܢܐ	šinnē	ʃɪn.nɑː
ܠܫܢܐ	liššānā	lɪʃˈʃɑːnɑː
		
ܥܩܠܐ	ˁaqlā	ʕaq.lɑː
ܪܓܠܐ	riḡlā	rɪɣ.lɑː
		
ܐܝܕܐ	īdā	ʔiːdɑː
		
		
		
		
		
ܨܕܪܐ	ṣadrā	sˤad.rɑː
ܠܒܐ	libbē	lɪbbaː
		
ܫܬܐ	šātē	ʃɑːteː
ܐܟܠ	āḵēl	ɑːxeːl
		
		
		
		
ܢܦܚ	nāpēḥ	nɑːpexː
ܢܦܫ	nāpēš	nɑːpeʃː
ܓܚܟ	gāḥēk	ɡɑːxekː
ܚܙܐ	ḥāzē	xaːzeː
ܫܡܥ	šāmēˁ	ʃɑːmeʕː
ܝܕܐ	yāḏēˁ	jɑːðeʕː
ܚܫܒ	ḥāšēḇ	xɑːʃuː
		
		
ܕܡܟ	dāmēḵ	dɑːmexː
ܚܝܐ	ḥayyē	xaj.jeː
ܡܐܬ	māˀēṯ	mɑːʔeθː
ܩܛܠ	qāṭēl	qaːtˤəl
		
ܨܐܕ	ṣāˀēḏ	sˤɑːjeðː
ܡܚܐ	māḥē	mɑːxeː
ܩܛܥ	qāṭēˁ	qɑːtˤeːʕ
		
		
		
		
ܣܚܐ	sāḥē	sɑːxeː
ܦܪܚ	pārēḥ	paːrexː
ܗܠܟ	hālēḵ	hɑːlexː
ܐܬܐ	āṯē	ʔɑːθeː
		
ܝܬܒ	yāṯēḇ	jɑːtewː
		
		
ܢܦܠ	nāpēl	nɑːpelː
		
		
		
		
ܚܠܠ	ḥallil	ħal.lɪl
		
ܓܪܫ	gārēš	ɡaːreʃː
ܙܥܦ	zāˁip	zaːʕɪp
ܪܡܐ	rāmē	rɑːmeː
		
		
ܡܢܐ	mānē	mɑːneː
ܐܡܪ	āmēr	ɑːmerː
ܙܡܪ	zāmēr	zɑːmerː
		
		
ܪܕܐ	zāmēr	rɑːdeː
		
		
ܫܡܫܐ	šimšā	ʃɪm.ʃɑː
ܣܗܪܐ	šimšā	sahrɑː
ܟܘܟܒܐ	šimšā	kawx(ə)vaː
ܟܘܟܒܐ	mayyā	maj.jɑ
ܡܛܪܐ	miṭrā	mɪtˤ.rɑː
