ನಾನು	nānu	n̪aːn̪u
ನೀನು	nīnu	n̪iːn̪u
ಅವನು	avanu	ɐʋɐn̪u
ನಾವು	nāvu	n̪aːʋu
ನೀವು	nīvu	n̪iːʋu
ಅವರು	avaru	
ಇದು	idu	id̪u
ಅದು	adu	
ಇಲ್ಲಿ	illi	
ಅಲ್ಲಿ	alli	
ಯಾರು	yāru	jaːɾu
ಏನು	ēnu	
ಎಲ್ಲಿ	elli	
ಯಾವಾಗ	yāvāga	jaːʋaːɡɐ
ಹೇಗೆ	hēge	
ಅಲ್ಲ	alla	
ಎಲ್ಲ	ella	
ಹಲ	hala	
ಕೆಲ	kela	
ಸ್ವಲ್ಪ	svalpa	sʋɐlpɐ
ಬೇರೆ	bēre	
ಒಂದು	ondu	on̪d̪u
ಎರಡು	eraḍu	eɾɐɖu
ಮೂರು	mūru	muːɾu
ನಾಲ್ಕು	nālku	n̪aːlku
ಐದು	aidu	ɐi̯d̪u
ದೊಡ್ಡ	doḍḍa	d̪oɖɖɐ
ನಿಡು	niḍu	
ಅಗಲ	agala	
ದಪ್ಪ	dappa	
ತೂಕ	tūka	
ಸಣ್ಣ	saṇṇa	sɐɳɳɐ
ಗಿಡ್ಡ	giḍḍa	
ಸಪುರ	sapura	
ತೆಳು	teḷu	
ಹೆಂಗಸು	heṅgasu	heŋɡɐsu
ಗಂಡಸು	gaṇḍasu	
ಮನುಷ್ಯ	manuṣya	
ಮಗು	magu	
ಹೆಂಡತಿ	heṇḍati	heɳɖɐt̪i
ಗಂಡ	gaṇḍa	
ಅಮ್ಮ	amma	
ಅಪ್ಪ	appa	
ಪ್ರಾಣಿ	prāṇi	pɾaːɳi
ಮೀನು	mīnu	miːn̪u
ಹಕ್ಕಿ	hakki	hɐkki
ನಾಯಿ	nāyi	n̪aːji
ಹೇನು	hēnu	heːn̪u
ಹಾವು	hāvu	haːʋu
ಹುಳ	huḷa	
ಮರ	mara	mɐɾɐ
ಕಾಡು	kāḍu	kaːɖu
ಕೋಲು	kōlu	
ಹಣ್ಣು	haṇṇu	hɐɳɳu
ಬೀಜ	bīja	biː.d͡ʒɑ
ಎಲೆ	ele	ele
ಬೇರು	bēru	
ತೊಗಟೆ	togaṭe	
ಹೂವು	hūvu	huːʋu
ಹುಲ್ಲು	hullu	hullu
ನೇಣು	nēṇu	n̪eːɳu
ಚರ್ಮ	carma	
ಮಾಂಸ	māṃsa	maːmsɐ
ರಕ್ತ	rakta	ɾɐkt̪ɐ
ಎಲುಬು	elubu	
ಕೊಬ್ಬು	kobbu	
ಮೊಟ್ಟೆ	moṭṭe	
ಕೊಂಬು	kombu	kombu
ಬಾಲ	bāla	
ಗರಿ	gari	
ಕೂದಲು	kūdalu	
ತಲೆ	tale	t̪ɐle
ಕಿವಿ	kivi	kiʋi
ಕಣ್ಣು	kaṇṇu	kɐɳɳu
ಮೂಗು	mūgu	muːɡu
ಬಾಯಿ	bāyi	baːji
ಹಲ್ಲು	hallu	hɐllu
ನಾಲಗೆ	nālage	
ಉಗುರು	uguru	uɡuɾu
ಅಡಿ	aḍi	
ಕಾಲು	kālu	
ಮಂಡಿ	maṇḍi	
ಕೈ	kai	kɐɪ̯
ರೆಕ್ಕೆ	rekke	
ಹೊಟ್ಟೆ	hoṭṭe	hoʈʈe
ಕೆಚ್ಚು	keccu	
ಕತ್ತು	kattu	
ಬೆನ್ನು	bennu	
ಮೊಲೆ	mole	mole
ಹೃದಯ	hṛdaya	hɾid̪ɐjɐ
ಈಲಿ	īli	
ಕುಡಿ	kuḍi	kuɖi
ತಿನ್ನು	tinnu	t̪in̪n̪u
ಕಡಿ	kaḍi	kɐɖi
ಚೀಪು	cīpu	
ಉಗುಳು	uguḷu	
ಕಾರು	kāru	
ಊದು	ūdu	
ಉಸಿರು ಆಡು	usiru āḍu	
ನಗು	nagu	n̪ɐɡu
ನೋಡು	nōḍu	n̪oːɖu
ಕೇಳು	kēḷu	keːɭu
ತಿಳಿ	tiḷi	
ಯೋಚಿಸು	yōcisu	
ಮೂಸು	mūsu	
ಹೆದರು	hedaru	
ಮಲಗು	malagu	
ಬಾಳು	bāḷu	baːɭu
ಸಾಯಿ	sāyi	
ಕೊಲ್ಲು	kollu	
ಹೋರಾಡು	hōrāḍu	
ಬೇಟೆಯಾಡು	bēṭeyāḍu	
ಹೊಡೆ	hoḍe	
ಕತ್ತರಿಸು	kattarisu	
ಸೀಳು	sīḷu	
ಇರಿ	iri	
ಕೆರೆ	kere	keɾe
ತೋಡು	tōḍu	
ಈಜು	īju	
ಹಾರು	hāru	
ನಡೆ	naḍe	n̪ɐɖe
ಬಾ	bā	
ಪಡು	paḍu	
ಕೂರು	kūru	
ನಿಲ್ಲು	nillu	n̪illu
ತಿರುಗು	tirugu	
ಬೀಳು	bīḷu	
ಕೊಡು	koḍu	koɖu
ಹಿಡಿ	hiḍi	
ಹಿಚುಕು	hicuku	
ಉಜ್ಜು	ujju	
ತೊಳೆ	toḷe	t̪oɭe
ಒರೆಸು	oresu	
ಎಳಿ	eḷi	
ನೂಕು	nūku	
ಎಸಿ	esi	
ಕಟ್ಟು	kaṭṭu	
ಹೊಲಿ	holi	
ಎಣಿಸು	eṇisu	eɳisu
ಹೇಳು	hēḷu	heːɭu
ಹಾಡು	hāḍu	
ಆಡು	āḍu	aːɖu
ತೇಲು	tēlu	
ಹರಿ	hari	
ಹೆಪ್ಪುಗಟ್ಟು	heppugaṭṭu	
ಊದು	ūdu	
ಸೂರ್ಯ	sūrya	suːɾjɐ
ಚಂದ್ರ	candra	t͡ʃɐn̪d̪ɾɐ
ನಕ್ಷತ್ರ	nakṣatra	
ನೀರು	nīru	n̪iːɾu
ಮಳೆಸುರಿ	maḷesuri	
ನದಿ	nadi	
ಕೆರೆ	kere	keɾe
ಸಮುದ್ರ	samudra	sɐmud̪ɾɐ
ಉಪ್ಪು	uppu	
ಕಲ್ಲು	kallu	kɐllu
ಮರಳು	maraḷu	
ದುಂಬು	dumbu	
ನೆಲ	nela	
ಮೋಡ	mōḍa	
ಮಂಜು	mañju	
ಆಕಾಶ	ākāśa	
ಗಾಳಿ	gāḷi	ɡaːɭi
ಹಿಮ	hima	himɐ
ಮಂಜುಗಡ್ಡೆ	mañjugaḍḍe	
ಹೊಗೆ	hoge	hoɡe
ಬೆಂಕಿ	beṅki	beŋki
ಬೂದಿ	būdi	
ಸುಡು	suḍu	
ಹಾದಿ	hādi	
ಪರ್ವತ	parvata	
ಕೆಂಪು	kempu	
ಹಸಿರು	hasiru	
ಹಳದಿ	haḷadi	hɐɭɐd̪i
ಬಿಳಿ	biḷi	biɭi
ಕರಿ	kari	
ರಾತ್ರಿ	rātri	ɾaːt̪ɾi
ಹಗಲು	hagalu	hɐɡɐlu
ಏಡು	ēḍu	eːɖu
ಬೆಚ್ಚ	becca	
ಕುಳಿರು	kuḷiru	
ತುಂಬು	tumbu	
ಹೊಸ	hosa	hosɐ
ಹಳೆ	haḷe	hɐɭe
ಒಳ್ಳೆ	oḷḷe	
ಕೆಟ್ಟ	keṭṭa	
ಕೊಳೆತ	koḷeta	
ಕೊಳಕು	koḷaku	
ನೇರ	nēra	
ಗುಂಡು	guṇḍu	
ಹರಿತ	harita	
ಮೊಂಡ	moṇḍa	
ನುಣ್ಣಗೆ	nuṇṇage	
ಒದ್ದೆ	odde	
ಒಣ	oṇa	
ಸರಿ	sari	sɐɾi
ಹತ್ತಿರ	hattira	
ದೂರ	dūra	
ಬಲ	bala	bɐlɐ
ಎಡ	eḍa	eɖɐ
-ಅಲ್ಲಿ	-alli	
ಒಳಗೆ	oḷage	
ಜೊತೆ	jote	
ಮತ್ತು	mattu	mɐt̪t̪u
ಒಂದು ವೇಳೆ	ondu vēḷe	
ಯಾಕೆಂದರೆ	yākendare	
ಹೆಸರು	hesaru	hesɐɾu
