एन	ēn	eːn
नीन	nīn	niːn
ईस	īs	
एम	ēm	
नीम	nīm	
ईर	īr	
ई	ī	
आ	ā	
इसन	isan	
असन	asan	
ने	nē	
एंदरा	endarā	
एक्सन	eksan	
एकाबीरी	ekābīrī	
एकासे	ekāse	
मल	mal	
उर्मि	urmi	
अजम	ajam	
कटिक	kaṭik	
जुक्क	jukk	
नन्ना	nannā	
ओंद	ond	
एँड़	ẽṛ	
मूंद	mūnd	
नाख़	nāx	
पंचे	pañce	
कोँहा	kȭhā	
दीघा	dīghā	
चकड़	cakaṛ	
मोँट	mõṭ	
ओत्था	otthā	
सन्नी	sannī	
पुड्डा	puḍḍā	
सरुवा	saruā	
सरुवा	saruā	
आली	ālī	
आलस	ālas	
आल	āl	aːl
ख़द्द	xadd	
आली	ālī	
आलस	ālas	
अयो	ayō	
बबस	babas	
जिया-जउँत	jiyā-jaũt	
इंजो	iñjō	
ओड़ा	ōṛā	
अल्ला	allā	
पेन	pēn	
नेर्र	nerr	
लेंडा	leṇḍā	
मन्न	mann	
टोड़ंग	ṭoṛaṅg	
टेम्पा	ṭempā	
ख़ंज्पा	xañjpā	
बीज	bīj	
अत्ख़ा	atxā	
पादा	pādā	
ओड़्क	oṛk	
पूँप	pū̃p	
घाँसी	ghā̃sī	
एप	ēp	
चप्टा	capṭā	
अहड़ा	ahṛā	
ख़ेँस	xē̃s	
ख़ोचोल	xocol	
नेँता	nē̃tā	
बी	bī	
मरग	marag	
ख़ोला	xolā	
पेंचो	pencō	
चुट्टी	cuṭṭī	
कुक्क	kukk	
ख़ेब्दा	xebdā	
ख़न्न	xann	
मुई	muī	
बई	baī	
पल्ल	pall	
तत्ख़ा	tatxā	
ओरोख़	orox	
ख़ेड्ड	xeḍḍ	
ख़ेड्ड	xeḍḍ	
मूका	mūkā	
ख़ेक्खा	xekkhā	
पेंचो	pencō	
कूल	kūl	
पोट्टा	poṭṭā	
टोटा	ṭoṭā	
मेद	mēd	
दुधी	dudhī	
बुका	bukā	
उम्बल्ख़ो	umbalxō	
ओन्ना	onnā	
मोख़ना	mōxnā	
हब्क'आना	habka'ānā	
चीपना	cīpnā	
तुप्पना	tuppnā	
पुत्रना	putrnā	
ऊरना	ūrnā	
साँस हो'ओना	sā̃s ho'onā	
अल्खना	alkhnā	
एरना	ērnā	
मेन्ना	mennā	
अख़ना	axnā	
सोचना	sōcnā	
नुसुंगना	nusuṅgnā	
एल्चना	elcnā	
ख़ंद्रना	xandrnā	
उज्जना	ujjnā	
खे'एना	khē'enā	
पिटना	piṭnā	
लड़ना	laṛnā	
सेंद्रा बेचना	sendrā bēcnā	
लवना	launā	
खंडना	khaṇḍnā	
पल्कना	palknā	
जोबना	jobnā	
गोद्र'आना	godra'ānā	
कोड़ना	koṛnā	
ओगना	ōgnā	
उढ़यारना	uṛhyārnā	
एकना	ēknā	
बरना	barnā	
बेड्रना	beḍrnā	
ओक्कना	okknā	
इजना	ijnā	
किंद्रारना	kindrarnā	
खत्रना	khatrnā	
चि'इना	ci'inā	
धरना	dharnā	
पीख़ना	pīxnā	
रग्द'आना	ragd'ānā	
नोँड़ना	nõṛnā	
निड़गना	niṛgnā	
नतगना	natagnā	
तुकना	tuknā	
हेब्ड़ना	hebṛnā	
हे'एना	he'enā	
ओज्जना	ojjnā	
गन्ना	gannā	
ब'अना	ba'anā	
पाड़ना	pāṛnā	
बेचना	bēcnā	
ओगना	ōgnā	
बोहारना	bohārnā	
कड़रना	kaṛrnā	
पूख़ना	pūxnā	
बीड़ी	bīṛī	
चंदो	candō	
बिंको	biṅkō	
अम्म	amm	
चेँप	cē̃p	
ख़ाड़	xāṛ	
पोखारी	pokharī	
दर्या	daryā	
बेक	bēk	
पखना	pakhnā	
चल्कुर	calkur	
धुली	dhulī	
ख़ेख़ेल	xēxel	
बदाली	badālī	
कुही	kuhī	
मेर्ख़ा	merxā	
ताका	tākā	
कीबा	kībā	
कीबा	kībā	
मोज्ख़ा	mojxā	
चिच्च	cicc	
चिंद	cind	
ओल्दना	oldnā	
डहरे	ḍahre	
पर्ता	partā	
ख़ेँसो	xē̃sō	
हरियर	hariyar	
बाल्का	bālkā	
पंडरू	paṇḍrū	
मोख़ारो	moxāro	
माख़ा	māxā	
उल्ला	ullā	
बछर	bachar	
बिड़ना	biṛnā	
पईँयाँ	paī̃yā̃	
निंदका	nindkā	
पुना	punā	
पच्चा	paccā	
दव	dau	
मल्दव	maldau	
कित्त्का	kittkā	
केच्केचा	keckecā	
उज्गो	ujgō	
गोल	gōl	
धार	dhār	
बोथे	bothē	
चिकना	ciknā	
चइँका	caĩkā	
ख़इका	xaikā	
ठीक	ṭhīk	
हेद्दे	heddē	
गेच्छा	gecchā	
तीना	tīnā	
लेंगा	leṅgā	
नू	nū	
नू	nū	
संगे	saṅgē	
अरा	arā	
अगर	agar	
अवंगे	aoṅgē	
नामे	nāmē	
