నేను	nēnu	n̪eːn̪u
నువ్వు	nuvvu	n̪uʋːu
అతడు	ataḍu	at̪aɖu
మనము	manamu	man̪amu
మీరు	mīru	miːɾu
వాళ్ళు	vāḷḷu	
ఇది	idi	id̪i
అది	adi	ad̪i
ఇక్కడ	ikkaḍa	ikːaɖa
అక్కడ	akkaḍa	akːaɖa
ఎవరు	evaru	
ఏమిటి	ēmiṭi	
ఎక్కడ	ekkaḍa	ekːaɖa
ఎప్పుడు	eppuḍu	
ఎలా	elā	
కాదు	kādu	
అందరు	andaru	an̪d̪aɾu
చాలా	cālā	t͡ɕaːlaː
కొందరు	kondaru	
కొన్ని	konni	kon̪n̪i
వేరే	vērē	
ఒకటి	okaṭi	okaʈi
రెండు	reṇḍu	
మూడు	mūḍu	muːɖu
నాలుగు	nālugu	n̪aːluɡu
ఐదు	aidu	aid̪u
పెద్ద	pedda	ped̪ːa
పొడవైన	poḍavaina	
వెడల్పైన	veḍalpaina	
మందమైన	mandamaina	
బరువైన	baruvaina	
చిన్న	cinna	t͡ɕin̪n̪a
పొట్టి	poṭṭi	poʈːi
ఇరుకైన	irukaina	
సన్నని	sannani	san̪n̪an̪i
ఆడది	āḍadi	
మగవాడు	magavāḍu	maɡaʋaːɖu
మనిషి	maniṣi	
పిల్ల	pilla	pil̪ːa
పెళ్ళాం	peḷḷāṁ	
మొగుడు	moguḍu	moɡuɖu
అమ్మ	amma	amːa
నాన్న	nānna	n̪aːn̪n̪a
జంతువు	jantuvu	
చేప	cēpa	t͡ɕeːpa
పక్షి	pakṣi	pakʂi
కుక్క	kukka	kukːa
పేను	pēnu	peːn̪u
పాము	pāmu	paːmu
పురుగు	purugu	puɾuɡu
చెట్టు	ceṭṭu	t͡ɕeʈːu
అడవి	aḍavi	
కర్ర	karra	kara
పండు	paṇḍu	paɳɖu
విత్తనం	vittanaṁ	
ఆకు	āku	aːku
వేరు	vēru	ʋeːɾu
బెరడు	beraḍu	berʌɖu
పువ్వు	puvvu	puʋːu
గడ్డి	gaḍḍi	ɡaɖːi
తాడు	tāḍu	
తోలు	tōlu	t̪oːlu
మాంసం	māṁsaṁ	
రక్తము	raktamu	ɾakt̪amu
ఎముక	emuka	emuka
కొవ్వు	kovvu	koʋːu
గుడ్డు	guḍḍu	ɡuɖːu
కొమ్ము	kommu	komːu
తోక	tōka	t̪oːka
ఈక	īka	iːka
వెంట్రుకలు	veṇṭrukalu	
తల	tala	t̪ala
చెవి	cevi	tʃeʋi
కన్ను	kannu	kan̪n̪u
ముక్కు	mukku	mukːu
నోరు	nōru	noːru
పన్ను	pannu	pan̪ːu
నాలుక	nāluka	n̪aːluka
గోరు	gōru	ɡoːɾu
పాదము	pādamu	
కాలు	kālu	kaːlu
మోకాలు	mōkālu	moːkaːlu
చెయ్యి	ceyyi	t͡ɕejːi
రెక్క	rekka	ɾekːa
పొట్ట	poṭṭa	poʈːa
పేగులు	pēgulu	
మెడ	meḍa	
వీపు	vīpu	
చన్ను	cannu	t͡ɕan̪n̪u
గుండె	guṇḍe	ɡuɳɖe
కాలేయం	kālēyaṁ	kaːleːjam̃
తాగు	tāgu	t̪aːɡu
తిను	tinu	
కొరుకు	koruku	
చీకు	cīku	
ఉమ్ము	ummu	umːu
కక్కు	kakku	kakːu
ఊదు	ūdu	
ఊపిరి పీల్చు	ūpiri pīlcu	
నవ్వు	navvu	n̪aʋːu
చూచు	cūcu	t͡ɕuːt͡ɕu
విను	vinu	ʋin̪u
తెలుసుకొను	telusukonu	
ఆలోచించు	ālōciñcu	
వాసన చూచు	vāsana cūcu	
బెదురు	beduru	
కునుకు	kunuku	kunuku
బతుకు	batuku	bat̪uku
చచ్చు	caccu	t͡ɕat͡ɕːu
చంపు	campu	t͡ɕampu
పోరాడు	pōrāḍu	poːɾaːɖu
వేటాడు	vēṭāḍu	ʋeːʈaːɖu
కొట్టు	koṭṭu	koʈːu
కోయు	kōyu	koːju
చీల్చు	cīlcu	
పొడుచు	poḍucu	
గీరు	gīru	ɡiːru
తవ్వు	tavvu	taʋːu
ఈదు	īdu	iːd̪u
ఎగురు	eguru	
నడుచు	naḍucu	
వచ్చు	vaccu	ʋat͡ɕːu
పడుకొను	paḍukonu	
కూర్చొను	kūrconu	
నిలుచొను	niluconu	
తిప్పు	tippu	t̪ipːu
పడు	paḍu	paɖu
ఇచ్చు	iccu	
పట్టుకొను	paṭṭukonu	
పిసుకు	pisuku	
రుద్దు	ruddu	
కడుగు	kaḍugu	kaɖuɡu
తుడుచు	tuḍucu	
లాగు	lāgu	
నెట్టు	neṭṭu	n̪eʈːu
విసురు	visuru	
కట్టు	kaṭṭu	kaʈːu
కుట్టు	kuṭṭu	
లెక్కించు	lekkiñcu	lekːiɲt͡ɕu
చెప్పు	ceppu	t͡ɕepːu
పాడు	pāḍu	
ఆడు	āḍu	aːɖu
తేలు	tēlu	teːlu
పారు	pāru	
గడ్డకట్టు	gaḍḍakaṭṭu	
వాచు	vācu	ʋaːt͡ɕu
సూర్యుడు	sūryuḍu	
చంద్రుడు	candruḍu	t͡ɕan̪d̪ɾuɖu
నక్షత్రం	nakṣatraṁ	
నీరు	nīru	n̪iːɾu
కురియు	kuriyu	
నది	nadi	n̪ad̪i
సరస్సు	sarassu	sarasːu
సముద్రం	samudraṁ	
ఉప్పు	uppu	
రాయి	rāyi	ɾaːji
ఇసుక	isuka	
దుమ్ము	dummu	d̪umːu
మన్ను	mannu	man̪ːu
మబ్బు	mabbu	
పొగమంచు	pogamañcu	poɡamaɲt͡ɕu
నింగి	niṅgi	
గాలి	gāli	ɡaːli
మంచు	mañcu	maɲt͡ɕu
గడ్డమంచు	gaḍḍamañcu	
పొగ	poga	poɡa
మంట	maṇṭa	maɳʈa
బూడిద	būḍida	buːɖid̪a
కాలు	kālu	kaːlu
బాట	bāṭa	baːʈa
కొండ	koṇḍa	koɳɖa
ఎర్ర	erra	era
పచ్చ	pacca	pat͡ɕːa
పసుపు	pasupu	pasupu
తెల్ల	tella	t̪elːa
నల్ల	nalla	
రేయి	rēyi	ɾeːji
పగలు	pagalu	paɡalu
యేడు	yēḍu	
వెచ్చని	veccani	
చల్లని	callani	
నిండు	niṇḍu	
కొత్త	kotta	kot̪ːa
పాత	pāta	paːt̪a
మంచి	mañci	maɲt͡ʃi
చెడ్డ	ceḍḍa	t͡ɕeɖːa
కుళ్ళిన	kuḷḷina	
మురికైన	murikaina	
నేరు	nēru	
గుండ్రని	guṇḍrani	
పదునైన	padunaina	pad̪un̪ain̪a
మొండి	moṇḍi	
నున్నని	nunnani	
తడి	taḍi	t̪aɖi
పొడి	poḍi	poɖi
సరైన	saraina	
దగ్గర	daggara	d̪aɡːaɾa
దూరం	dūraṁ	
కుడి	kuḍi	kuɖi
ఎడమ	eḍama	
-వద్ద	-vadda	
-లో	-lō	-loː
-తో	-tō	
మరియు	mariyu	
-ఇతే	-itē	
-వల్ల	-valla	
పేరు	pēru	
