私	watashi	ɰᵝa̠ta̠ɕi
貴方	anata	kipau
彼	kare	ka̠
私達	watashitachi	ɰᵝa̠ta̠ɕi̥ta̠t͡ɕi
貴方達	anatatachi	a̠na̠ta̠ta̠t͡ɕi
彼等	karera	a̠ɾe̞ɾa̠
此れ	kore	
其れ	sore	
此処	koko	
其処	soko	
誰	dare	tare
何	nani	na̠ɲ̟i
何処	doko	
何時	itsu	nã̠ɲ̟d͡ʑi
如何	ikaga	ika̠
無い	-nai	na̠i
全て	subete	sɨᵝbe̞te̞
多い	ooi	o̞ːi
少し	sukoshi	sɨ̥ᵝko̞ɕi
少ない	sukunai	sɨ̥ᵝkɯ̟ᵝna̠i
他	hoka	ho̞ka̠
一	hito	itɨ
二	futa	ɲ̟i
三	mi	*/sam
四	yo	⟨yo2⟩
五	itsu	it͡sɨᵝ
大きい	ōkii	opoki
長い	nagai	na̠ɡa̠i
広い	hiroi	
厚い	atsui	
重い	omoi	o̞mo̞i
小さい	chīsai	tipisasi
短い	mijikai	⟨mi1zikasi⟩
狭い	semai	se̞ma̠i
細い	hosoi	ho̞so̞i
女	onna	⟨womi1na⟩
男	otoko	⟨woto2ko1⟩
人	hito	⟨pi1to2⟩
子	ko	⟨ko1⟩
妻	tsuma	t͡sɨᵝma̠
夫	otto	o̞t̚to̞
母	haha	haha
父	chichi	t͡ɕi̥̥t͡ɕi
獣	kemono	ke̞da̠mo̞no̞
魚	uo	uwo
鳥	tori	⟨to2ri⟩
犬	inu	inɯ̟ᵝ
虱	shirami	ɕiɾa̠mʲi
蛇	hebi	pemi
蚯蚓	mimizu	mʲimʲizɨᵝ
木	ki	⟨ki2⟩
森	mori	mo̞ɾʲi
杖	tsue	⟨tuwe⟩
果物	kudamono	kɯ̟ᵝda̠mo̞no̞
種	tane	ta̠ne̞
葉	ha	pa
根	ne	ne̞
木肌	kihada	kʲiha̠da̠
花	hana	pana
草	kusa	kɯ̟̊ᵝsa̠
縄	nawa	
皮	kawa	ka̠ɰᵝa̠
肉	shishi	ɕiɕi
血	chi	t͡ɕi
骨	hone	pone
脂	abura	
卵	tamago	ta̠ma̠ɡo̞
角	tsuno	ka̠do̞
尾	o	o̞
羽	hane	ha̠ne̞
髪	kami	ka̠mʲi
頭	atama	a̠ta̠ma̠
耳	mimi	⟨mi1mi1⟩
目	me	mo̞kɯ̟ᵝ
鼻	hana	ha̠na̠
口	kuchi	kɯ̟ᵝ
歯	ha	pa
舌	shita	ɕi̥ta̠
爪	tsume	t͡sɨᵝme̞
足	ashi	so̞kɯ̟ᵝ
脚	ashi	kʲa̠kɯ̟ᵝ
膝	hiza	çiza̠
手	te	te̞
翼	tsubasa	tubasa
腹	hara	ha̠ɾa̠
腸	harawata	ɰᵝa̠ta̠
首	kubi	kɯ̟ᵝbʲi
背	se	
胸 	chichi 	mɯ̟ᵝna̠
心	kokoro	⟨ko2ko2ro2⟩
肝	kimo	kʲimo̞
飲む	nomu	
食べる	taberu	ta̠be̞ɾɯ̟ᵝ
噛む	kamu	ka̠mɯ̟ᵝ
吸う	suu	sɨᵝɯ̟ᵝ
唾を吐く	tsuba o haku	
吐く	haku	ha̠kɯ̟ᵝ
吹く	fuku	ɸɯ̟̊ᵝkɯ̟ᵝ
息をする	iki o suru	
笑う	warau	ɰᵝa̠ɾa̠ɯ̟ᵝ
見る	miru	mʲiɾɯ̟ᵝ
聞く	kiku	岐加受
知る	shiru	ɕiɾɯ̟ᵝ
思う	omou	
嗅ぐ	kagu	ka̠ɡɯ̟ᵝ
恐れる	osoreru	
眠る、寝る	neru	
生きる	ikiru	ikʲiɾɯ̟ᵝ
死ぬ	shinu	ɕinɯ̟ᵝ
殺す	korosu	ko̞ɾo̞sɨᵝ
闘う	tatakau	
狩る	karu	ka̠ɾɯ̟ᵝ
叩く	tataku	ta̠ta̠kɯ̟ᵝ
切る	kiru	⟨ki1ru⟩
割る	waru	ɰᵝa̠ɾɯ̟ᵝ
刺す	sasu	sa̠sɨᵝ
掻く	kaku	ka̠kɯ̟ᵝ
掘る	horu	ho̞ɾɯ̟ᵝ
泳ぐ	oyogu	
飛ぶ	tobu	to̞bɯ̟ᵝ
歩く	aruku	a̠ɾɯ̟ᵝkɯ̟ᵝ
来る	kuru	kɯ̟ᵝɾɯ̟ᵝ
寝る	neru	ne̞ɾɯ̟ᵝ
座る	suwaru	sɨᵝɰᵝa̠ɾɯ̟ᵝ
起きる	okiru	o̞kʲiɾɯ̟ᵝ
回る	mawaru	ma̠ɰᵝa̠ɾɯ̟ᵝ
落ちる	ochiru	otu
与える	ataeru	
持つ	motsu	mo̞t͡sɨᵝ
絞る	shiboru	ɕibo̞ɾɯ̟ᵝ
擦る	kosuru	sɨᵝɾɯ̟ᵝ
洗う	arau	a̠ɾa̠ɯ̟ᵝ
拭く	fuku	ɸɯ̟̊ᵝkɯ̟ᵝ
引く	hiku	çi̥kɯ̟ᵝ
押す	osu	o̞sɨᵝ
投げる	nageru	na̠ɡe̞ɾɯ̟ᵝ
結ぶ	musubu	mɯ̟ᵝsɨᵝbɯ̟ᵝ
縫う	nuu	nupu
数える	kazoeru	kazuapu
言う	iu	ipu
歌う	utau	
遊ぶ	asobu	a̠so̞bɯ̟ᵝ
浮く	uku	ɯ̟ᵝkɯ̟ᵝ
流れる	nagareru	na̠ɡa̠ɾe̞ɾɯ̟ᵝ
凍る	kōru	ko̞ːɾɯ̟ᵝ
膨らむ	fukuramu	ɸɯ̟ᵝkɯ̟ᵝɾa̠mɯ̟ᵝ
日	hi	nʲitɨ
月	tsuki	⟨tuki2⟩
星	hoshi	posi
水	mizu	⟨mi1du⟩
雨	ame	⟨ame2⟩
川	kawa	kapa
湖	mizuumi	mʲizɨᵝɯ̟ᵝmʲi
海	umi	⟨umi1⟩
塩	shio	⟨sipo⟩
石	ishi	⟨isi⟩
砂	suna	sɨᵝna̠
塵	chiri	d͡ʑĩɴ
土	tsuchi	t͡sɨ̥ᵝt͡ɕi
雲	kumo	⟨kumo1⟩
霧	kiri	
空	sora	⟨so1ra⟩
風	kaze	ka̠ze̞
雪	yuki	
氷	kōri	⟨ko2pori⟩
煙	kemuri	keburi
火	hi	⟨pi2⟩
灰	hai	ha̠i
燃える	moeru	moju
道	michi	dau
山	yama	ja̠ma̠
赤	aka	a̠ka̠
緑	midori	mʲido̞ɾʲi
黄	ki	kʲi
白	shiro	⟨siro1⟩
黒	kuro	⟨kuro1⟩
夜	yoru	⟨yo1ru⟩
日	hi	nʲitɨ
年	toshi	nẽ̞ɴ
暖かい	atatakai	
寒い	samui	sa̠mɯ̟ᵝi
満ちた	michita	
新しい	atarashii	arataɕi
古い	furui	⟨puruki1⟩
良い	ii	joɕi
悪い	warui	ɰᵝa̠ɾɯ̟ᵝi
