মই	moi	mɔɪ
তই	toi	tɔɪ
সি	xi	xi
আমি	ami	a.mi
তহঁত	tohõt	tɔɦɔ̃t
সিহঁত	xihõt	xi.ɦɔ̃t
এই	ei	ɛi
সেই	xei	
ইয়াত	iat	iat
তাত	tat	tat
কোন	kün	kʊn
কি	ki	ki
ক’ত	köt	kot
কেতিয়া	ketia	kɛ.tia
কেনে	kene	kɛ.nɛ
নাই	nai	naɪ
আটাই	atai	a.taɪ
বহুত	bohut	bɔɦut
অলপ	olop	ɔ.lɔp
অলপ	olop	ɔ.lɔp
আন	an	an
এক	ek	ɛk
দুই	dui	dui
তিনি	tini	tini
চাৰি	sari	sa.ɹi
পাঁচ	pãs	pãs
ডাঙৰ	daṅor	daŋɔɹ
দীঘল	dighol	
বহল	bohol	bɔ.ɦɔl
ডাঠ	dath	datʰ
ভাৰী	bhari	bʱa.ɹi
সৰু	xoru	xɔ.ɹu
চুটি	suti	su.ti
ঠেক	thek	tʰɛk
পাতল	patol	pa.tɔl
মাইকী	maiki manuh	maɪ.ki
মতা	mota manuh	mɔ.ta
মানুহ	manuh	ma.nuʱ
ল’ৰা-ছোৱালী	löra-süali	ló.ɹa.sʊa.li
ঘৈণী	ghoini	ɡʱoɪ.ni
গিৰি	giri	ɡi.ɹi
মা	ma	ma
দেউতা	deuta	dɛʊ.ta
জীৱ-জন্তু	ziw-zontu	
মাছ	mas	mas
চৰাই	sorai	sɔ.ɹaɪ
কুকুৰ	kukur	kukuɹ
ওকণি	ükoni	
সাপ	xap	xap
পেলু	pelu	pe.lu
গছ	gos	ɡɔs
হাবি	habi	ɦa.bi
বাৰি	bari	ba.ɹi
ফল	phol	pʰɔl
গুটি	guti	ɡu.ti
পাত	pat	
শিপা	xipa	xi.pa
বাকলি	bakoli	ba.kɔ.li
ফুল	phul	pʰul
ঘাঁহ	ghãh	ɡʱãʱ
ৰছী	rosi	ɹɔ.si
ছাল	sal	sal
মঙহ	moṅoh	mɔ.ŋɔɦ
তেজ	tez	
হাড়	har	ɦaɹ
চৰ্বি	sorri	sɔɹ.bi
কণী	koni	kɔ.ni
শিং	xiṅ	xiŋ
নেজ	nez	nɛz
পাখি	pakhi	pakʰi
চুলি	suli	suli
মূৰ	mur	muɹ
কান	kan	
চকু	soku	sɔ.ku
নাক	nak	nak
মুখ	mukh	mukʰ
দাঁত	dãt	dãt
জিভা	zibha	zi.bʱa
নখ	nokh	nɔkʰ
ভৰি	bhori	bʱoɹi
ভৰি	bhori	bʱoɹi
আঁঠু	ãthu	ãtʰu
হাত	hat	
ডেউকা	deuka	dɛu.ka
পেট	pet	pɛt
নাড়ী	nari	
ডিঙি	diṅi	di.ŋi
পিঠি	pithi	pi.tʰi
বুকু	buku	buku
হিয়া	hia	ɦia
যকৃত	zokrit	
খোৱা	khüa	kʰʊa
খা	kha	kʰa
কামোৰ	kamür	ka.mʊɹ
চুহ	suh	
থু	thu pela	tʰu
বমি	bomi kor	bɔ.mi
ফু	phu de	
উশাহ	uxah lo	u.xaʱ
হাঁহ	hãh	ɦãɦ
দেখ	dekh	
শুন	xun	xun
জান	zan	zan
ভাব	bhabo	
শুং	xuṅ	
ভয়	bhoy kha	bʱɔe
শু	xu	
জীয়াই	ziai thak	
মৰ	mor	mɔɹ
মাৰ	mar	maɹ
যুঁজ	zũz	zũz
চিকাৰ	sikar kor	si.kaɹ
পিট	pit	pit
কাট	kat	kat
ভগা	bhoga	bʱɔ.ɡa
খোঁচ	khü̃s	
আঁচোৰ	ãsür	ãsʊɹ
খান্দ	khando	
সাঁতোৰ	xãtür	
উৰ	ur	uɹ
খোজ	khüz karh	kʰʊz
আহ	ah	aʱ
বাগৰ	bagor	
বহ	boh	bɔɦ
থিয়	thi ho	tʰiɔ
পাক	pak mar	pak
পাৰ	par	pa.ɹɔ
দে	de	dɛ
ধৰ	dhor	dʱɔɹ
চেপ	sep	
ঘঁহ	ghõh	
ধো	dhü	
মোছ	müs	
টান	tan	
ঠেল	thel	
দলিয়া	dolia	
বান্ধ	bandho	banʱ
চিলা	sila	
গণ	gon	ɡɔn
ক	ko	kɔ
গা	ga	ɡaː
খেল	khel	
ওপং	üpoṅ	
ব	bo	bɔ
ফ্ৰিজ	phriz kor	
ফুল	phul	pʰul
বেলি	beli	be.li
জোন	zün	zʊn
তৰা	tora	tɔ.ɹa
পানী	pani	pa.ni
বৰষুণ	boroxun	bɔ.ɹɔ.xun
নৈ	noi	noɪ
বিল	bil	bil
সাগৰ	xagor	xaɡɔɹ
নিমখ	nimokh	ni.mɔkʰ
শিল	xil	xil
বালি	bali	ba.li
ধূলি	dhuli	dʱu.li
পৃথিৱী	prithiwi	pi.tʰi.bi
মেঘ	megh	mɛɡ
কুঁৱলী	kũwoli	
আকাশ	akax	akax
বতাহ	botah	bɔ.taʱ
বৰফ	boroph	bɔɹɔf
বৰফ	boroph	bɔɹɔf
ধোঁৱা	dhü̃a	
জুই	zui	zui
ছাই	sai	saɪ
জলা	zola	zɔ.la
আলি	ali	a.li
পাহাৰ	pahar	pa.ɦaɹ
ৰঙা	roṅa	ɹɔ.ŋa
সেউজীয়া	xeuzia	xɛu.zia
হালধীয়া	halodhia	ɦa.lɔ.dʱia
বগা	boga	bɔ.ɡa
ক’লা	köla	kola
ৰাতি	rati	ɹati
দিন	din	din
বছৰ	bosor	bɔ.sɔɹ
তপত	topot	tɔpɔt
চেঁচা	sẽsa	sẽsa
ভৰা	bhora	bʱɔ.ɹa
নতুন	notun	nɔ.tun
পুৰণা	purona	pu.ɹɔ.na
ভাল	bhal	bʱal
বেয়া	bea	bɛa
গেলা	gela	ɡɛ.la
লেতেৰা	letera	lɛ.tɛ.ɹa
পোন	pün	pʊn
গোল	gül	ɡʊl
চোকা	süka	
ভোটা	bhüta	
মিহি	mihi	
তিতা	tita	ti.ta
শুকান	xukan	xu.kan
শুদ্ধ	xuddho	
ওচৰ	üsor	ʊ.sɔɹ
দূৰ	dur	
সোঁ	xü̃	xʊ̃
বাওঁ	baü̃	baʊ̃
-ত	-t	ɔt
-ত	-t	ɔt
	-ৰ	
আৰু	aru	a.ɹu
যদি	zodi	
কাৰণ	karon	
নাম	nam	
