હું	hũ	ˈɦũ
તું	tũ	ˈt̪ũ
તે	te	
અમે	ame	ˈə.meː
તમે	tame	
તેઓ	teo	
આ	ā	ɑ̈
પેલું	pelũ	
અહીં	ahī̃	ˈə.ɦĩ
ત્યાં	tyā̃	
કોણ	koṇ	ˈkɔɳ
શું	śũ	
ક્યાં	kyā̃	ˈkjɑ̃
ક્યારે	kyāre	ˈkjɑ.ɾeː
કેવી	kevī rīte	
ન	na	nə
બધું	badhũ	
બહુ	bahu	ˈbə.ɦu
અમુક	amuk	
થોડું	thoḍũ	
બીજું	bījũ	
એક	eka	ek
બે	be	bɛ
ત્રણ	traṇ	t̪ɾɔɳ
ચાર	cār	t͡ʃəɾ
પાંચ	pā̃c	pɑ̃t͡ʃ
મોટું	moṭũ	
લાંબુ	lā̃bu	
પહોળું	pahoḷũ	
જાડું	jāḍũ	
ભારે	bhāre	
નાનું	nānũ	
ટૂંકું	ṭū̃kũ	
સાંકડું	sā̃kḍũ	ˈsɑ̃k.ɖũ
પાતળું	pātaḷũ	
બાઈડી	bāīḍī	ˈbɑi.ɖi
માણસ	māṇas	
માણસ	māṇas	
બાળક	bāḷka	ˈbɑ.ɭək
પત્ની	patnī	ˈpət̪.ni
પતિ	pati	ˈpə.t̪ɪ
મા	mā	
બાપ	bāp	ˈbɑp
પ્રાણી	prāṇī	ˈpɾɑ.ɳi
માછલી	māchlī	
પંખી	paṅkhī	ˈpəŋ.kʰi
કુતરો	kutro	
જૂ	jū	
સાપ	sāp	ˈsɑp
કીડો	kīḍo	ˈki.ɖɔ
ઝાડ	jhāḍ	
જંગલ	jaṅgal	ˈd͡ʒəŋ.ɡəl
લાકડી	lākḍī	
ફળ	phaḷ	ˈpʰəɭ
બીજ	bīj	ˈbid͡ʒ
પાંદડું	pā̃dḍũ	
મૂળ	mūḷ	
છાલ	chāl	
ફૂલ	phūl	ˈpʰul
ઘાસ	ghās	ˈɡʱɑs
દોરડું	dorḍũ	
ચામડી	cāmḍī	ˈt͡ʃɑm.ɖi
માંસ	mā̃s	ˈmɑ̃s
લોહી	lohī	
હાડકું	hāḍkũ	
ચરબી	carbī	
ઈંડું	ī̃ḍũ	ˈɪɳ.ɖũ
શીંગડું	śī̃gḍũ	
પૂંછડી	pū̃chḍī	
પીંછું	pī̃chũ	ˈpĩ.t͡ʃʰũ
વાળ	vāḷ	ˈʋɑɭ
માથું	māthũ	ˈmɑ.t̪ʰũ
કાન	kān	
આંખ	ā̃kha	ˈɑ̃kʰ
નાક	nāk	ˈnɑk
મોં	mõ	
દાંત	dā̃t	
જીભ	jībh	dʒibʱ
નખ	nakh	
પગનો	pagno pañjo	
પગ	pag	
ઘૂંટણ	ghū̃ṭaṇ	
હાથ	hāth	
પાંખ	pā̃kh	
પેટ	peṭ	
આંતરડા	āntarḍā	
ગળું	gaḷũ	ˈɡə.ɭũ
પીઠ	pīṭh	ˈpiʈʰ
છાતી	chātī	
હૈયું	haiyũ	ˈɦəɪ.jũ
યકૃત	yakṛt	
પીવું	pīvũ	ˈpi.ʋũ
ખાવું	khāvũ	ˈkʰɑ.ʋũ
બચકું	backũ bharvũ	
ચૂસવું	cūsvũ	
થૂંકવું	thū̃kvũ	
ઉલટી	ulaṭī karvī	
ફૂંકવું	phū̃kvũ	
શ્વાસ	śvās levo	ˈʃʋɑs
હસવું	hasvũ	ˈɦəs.ʋũ
જોવું	jovũ	
સાંભળવું	sā̃bhaḷvũ	
જાણવું	jāṇvũ	
વિચારવું	vicārvũ	
સુંઘવું	suṅghvũ	
ડરવું	ḍarvũ	ˈɖəɾ.ʋũ
ઊંઘવું	ū̃ghavũ	ˈũɡʱ.ʋũ/, /ˈuŋ.ɡʱʋũ
જીવવું	jīvvũ	
મરવું	marvũ	
મારવું	mārvũ	
લડવું	laḍvũ	
શિકાર	śikār karvo	
મારવું	mārvũ	
કાપવું	kāpvũ	ˈkɑp.ʋũ
ભાગ	bhāg karvo	
ભોંકવું	bhoṅkvũ	
ખણવું	khaṇvũ	
ખોદવું	khodvũ	
તરવું	tarvũ	
ઉડવું	uḍavũ	
ચાલવું	cālvũ	
આવવું	āvavũ	
સુવું	suvũ	
બેસવું	besvũ	ˈbeːs.ʋũ
ઊભવું	ūbhavũ	
વાળવું	vāḷvũ	
પડવું	paḍvũ	ˈpəɖ.ʋũ
આપવું	āpavũ	
પકડવું	pakaḍvũ	
નીચોવવું	nīcovvũ	
ઘસવું	ghasvũ	
ધોવું	dhovũ	
લૂછવું	lūchvũ	
ખેંચવું	kheñcvũ	ˈkʰeːɲ.t͡ʃʋũ
ધક્કો	dhakko mārvo	
ફેંકવું	pheṅkvũ	
બાંધવું	bā̃dhvũ	ˈbɑ̃d̪ʱ.ʋũ
સીવવું	sīvvũ	
ગણવું	gaṇvũ	ˈɡəɳ.ʋũ
બોલવું	bolvũ	
ગાવું	gāvũ	ˈɡɑ.ʋũ
રમવું	ramvũ	
તરવું	tarvũ	
વહેવું	vahevũ	
ઠારવું	ṭhārvũ	
સુજી	sujī javũ	
સૂર્ય	sūrya	ˈsuɾ.jə
ચંદ્ર	candra	ˈt͡ʃən.d̪ɾə
તારો	tāro	ˈt̪ɑ.ɾɔ
પાણી	pāṇī	ˈpɑ.ɳi
