मैं	ma͠i	mɛ̃ː
तू	tū	t̪uː
यह	yah	jəɦ
हम	ham	ɦəm
तुम	tum	t̪ʊm
ये	ye	jeː
यह	yah	jəɦ
वह	vah	ʋəɦ
यहाँ	yahā̃	jə.ɦɑ̃ː
वहाँ	vahā̃	ʋə.ɦɑ̃ː
कौन	kaun	kɔːn
क्या	kyā	kjɑː
कहाँ	kahā̃	kə.ɦɑ̃ː
कब	kab	kəb
कैसा	kaisā	kɛː.sɑː
नहीं	nahī̃	nə.ɦĩː
सब	sab	səb
बहुत	bahut	bə.ɦʊt̪
कुछ	kuch	kʊt͡ʃʰ
थोड़ा	thoṛā	t̪ʰoː.ɽɑː
दूसरा	dūsrā	d̪uːs.ɾɑː
एक	ek	eːk
दो	do	d̪oː
तीन	tīn	t̪iːn
चार	cār	t͡ʃɑːɾ
पाँच	pā̃c	pɑ̃ːt͡ʃ
बड़ा	baṛā	bə.ɽɑː
लम्बा	lambā	ləm.bɑː
चौड़ा	cauṛā	ˈt͡ʃɔːɽaː
गाढ़ा	gāṛhā	ɡɑː.ɽʱɑː
भारी	bhārī	bʱɑː.ɾiː
छोटा	choṭā	t͡ʃʰoː.ʈɑː
छोटा	choṭā	t͡ʃʰoː.ʈɑː
तंग	taṅg	t̪əŋɡ
पतला	patlā	pət̪.lɑː
औरत	aurat	ɔː.ɾət̪
आदमी	ādmī	ɑːd̪.miː
इंसान	insān	ɪnˈsa(ː)n
बच्चा	baccā	bət̪.t͡ʃɑː
पत्नी	patnī	pət̪.niː
पति	pati	pə.t̪iː
माता	mātā	mɑː.t̪ɑː
पिता	pitā	pɪ.t̪ɑː
जानवर	jānvar	d͡ʒɑːn.ʋəɾ
मछली	machlī	mət͡ʃʰ.liː
चिड़िया	ciṛiyā	t͡ʃɪ.ɽɪ.jɑː
कुत्ता	kuttā	kʊt̪.t̪ɑː
जूँ	jū̃	d͡ʒũː
साँप	sā̃p	sɑ̃ːp
कीड़ा	kīṛā	kiː.ɽɑː
पेड़	peṛ	peːɽ
जंगल	jaṅgal	d͡ʒəŋ.ɡəl
डंडा	ḍaṇḍā	ɖəɳ.ɖɑː
फल	phal	pʰəl
बीज	bīj	biːd͡ʒ
पत्ता	pattā	pət̪.t̪ɑː
जड़	jaṛ	d͡ʒəɽ
छाल	chāl	t͡ʃʰɑːl
फूल	phūl	pʰuːl
घास	ghās	ɡʱɑːs
रस्सी	rassī	ɾəs.siː
चमड़ी	camṛī	t͡ʃəm.ɽiː
माँस	mā̃s	mɑ̃ːs
ख़ून	xūn	xuːn
हड्डी	haḍḍī	ɦəɖ.ɖiː
चरबी	carbī	t͡ʃəɾ.biː
अंडा	aṇḍā	əɳ.ɖɑː
सींग	sīṅg	siːŋɡ
पूँछ	pū̃ch	pũːt͡ʃʰ
पंख	paṅkh	pəŋkʰ
बाल	bāl	bɑːl
सिर	sir	sɪɾ
कान	kān	kɑːn
आँख	ā̃kh	ɑ̃ːkʰ
नाक	nāk	nɑːk
मुँह	mũh	mũːɦ
दाँत	dā̃t	d̪ɑ̃ːt̪
जीभ	jībh	d͡ʒiːbʱ
नाख़ुन	nāxun	nɑː.xʊn
पैर	pair	pɛːɾ
टांग	ṭāṅg	ʈɑːŋɡ
घुटना	ghuṭnā	ɡʱʊʈ.nɑː
