ਮੈਂ	maĩ	mɛ̃ː
ਤੂੰ	tū̃	t̪ũː
ਇਹ	iha	eː˦
ਅਸੀਂ	asī̃	
ਤੁਸੀਂ	tusī̃	
ਇਹ	iha	eː˦
ਇਹ	iha	eː˦
ਉਹ	uha	
ਇੱਥੇ	itthe	ɪt̪ʰːeː
ਉੱਥੇ	utthe	
ਕੌਣ	kauṇ	kɔːɳə̆
ਕੀ	kī	
ਕਿੱਥੇ	kitthe	kɪt̪ʰːeː
ਕਦੋਂ	kadõ	
ਕਿਵੇਂ	kivẽ	
ਨਹੀਂ	nahī̃	nə˦ĩː
ਸਾਰਾ	sārā	sɑː.ɾɑː
ਕਈਂ	kaī̃	
ਕੁਝ	kujh	
ਥੋਡ਼ੇ	thoṛe	
ਦੂਜਾ	dūjā	d̪uː.d͡ʒɑː
ਇੱਕ	ikka	ɪkːə̆
ਦੋ	do	d̪oː
ਤਿੰਨ	tinn	t̪ɪn̪ːə̆
ਚਾਰ	cār	t͡ʃaːɾə̆
ਪੰਜ	pañj	pənd͡ʒə̆
ਵੱਡਾ	vaḍḍā	
ਲੰਮਾ	lammā	
ਚੌੜਾ	cauṛā	t͡ʃɔː.ɽäː
ਮੋਟਾ	moṭā	moːʈː.aː
ਭਾਰੀ	bhārī	
ਛੋਟਾ	choṭā	
ਛੋਟਾ	choṭā	
ਭੀਡ਼ਾ	bhīṛā	
ਪਤਲਾ	patlā	pət̪.lɑː
ਔਰਤ	aurat	
ਆਦਮੀ	ādamī	äːd̪.miː
ਇਨਸਾਨ	inasān	
ਬੱਚਾ	baccā	
ਵਹੁਟੀ	vahuṭī	ʋɔː˦.ʈiː
ਖਾਵੰਡ	khāvaṇḍ	
ਮਾਂ	mā̃	mä̃ː
ਪਿਓ	pio	pɪ.oː
ਜਾਨਵਰ	jānvar	d͡ʒaːn.ʋəɾə̆
ਮੱਛੀ	macchī	mət͡ʃʰːiː
ਪੰਛੀ	pañchī	
ਕੁੱਤਾ	kuttā	kʊt̪ːäː
ਜੂੰ	jū̃	
ਸੱਪ	sappa	
ਕੀੜਾ	kīṛā	
ਰੁੱਖ	rukkha	
ਜੰਗਲ	jaṅgal	
ਸੋਟੀ	soṭī	
ਫਲ	phal	
ਬੀਜ	bīj	biːd͡ʒə̆
ਪਤਾ	patā	
ਜੜ੍ਹ	jaṛh	
ਛਿੱਲ	chilla	
ਫੁੱਲ	phulla	pʰʊlːə̆
ਘਾਹ	ghāh	käː˨
ਰੱਸੀ	rassī	ɾəs.iː
ਚਮੜੀ	camṛī	
ਗੋਸ਼ਤ	gośat	
ਰੱਤ	ratta	
ਹੱਡੀ	haḍḍī	ɦə.ɖːiː
ਚਰਬੀ	carbī	
ਆਂਡਾ	āṇḍā	äːɳ.ɖäː
ਸਿੰਗ	siṅg	
ਪੂਛ	pūch	
ਖੁੰਭ	khumbh	
ਵਾਲ	vāl	ʋɑːl
ਸਿਰ	sir	sɪɾə̆
ਕੰਨ	kann	kənː
ਅੱਖ	akkha	ə.kːʰə̆
ਨੱਕ	nakka	
ਮੂੰਹ	mū̃h	mũːɦ
ਦੰਦ	dand	d̪ənd̪
ਜੀਭ	jībh	
ਨੰਗਲ	naṅgal	
ਪੈਰ	pair	pɛːɾ
ਲੱਤ	latta	
ਗੋਡੇ	goḍe	
ਹੱਥ	hattha	ɦət̪ːʰə̆
ਪੱਖ	pakkha	
ਢਿੱਡ	ḍhiḍḍa	ʈɪ˨ɖ.ɖə̆
ਹਿੰਮਤ	himmat	
ਗਰਦਨ	gardan	
ਪਿੱਠ	piṭṭha	pɪʈʰ
ਛਾਤੀ	chātī	
ਦਿਲ	dil	d̪ɪl
ਕਲੇਜਾ	kalejā	
ਪੀਣਾ	pīṇā	piː.ɳäː
ਖਾਣਾ	khāṇā	kʰäː.ɳäː
ਚੂੰਡਣਾ	cūṇḍṇā	
ਚੂਸਣਾ	cūsṇā	
ਥੁੱਕਣਾ	thukkaṇā	
ਉਲਟੀ	ulaṭī karnā	
ਫੂਕਣਾ	phūkṇā	
ਸਾਹ	sāh laiṇā	säː˦(ɦ)
ਹੱਸਣਾ	hassaṇā	
ਵੇਖਣਾ	vekhṇā	ʋeːkʰə̆ɳaː
ਸੁਣਨਾ	suṇnā	
ਜਾਣਨਾ	jāṇnā	
ਸੋਚਣਾ	socṇā	
ਸੁੰਘਣਾ	suṅghṇā	
ਡਰਨਾ	ḍarnā	ɖəɾ.näː
ਸੌਣਾ	sauṇā	
ਜਿਊਣਾ	jiūṇā	
ਮਰਨਾ	marnā	
ਮਾਰਨਾ	mārnā	mäːɾᵊ.näː
ਲੜਨਾ	laṛnā	
ਟੋਲਣਾ	ṭolṇā	
ਜੜਨਾ	jaṛnā	
ਕੱਟਣਾ	kaṭṭaṇā	
ਪਾੜਨਾ	pāṛnā	
ਖੋਭਣਾ	khobhṇā	
ਘਰੂੰਡਣਾ	gharūṇḍṇā	
ਪੁੱਟਣਾ	puṭṭaṇā	
ਤੈਰਨਾ	tairnā	
ਉੱਡਣਾ	uḍḍaṇā	ʊɖː(ə)ɳaː
ਤੁਰਨਾ	turnā	t̪ʊɾ.nɑː
ਆਉਣਾ	āuṇā	
ਲੇਟਣਾ	leṭṇā	
ਬਹਿਣਾ	bahiṇā	
ਖੜ੍ਹਨਾ	khaṛhnā	
ਮੁੜਨਾ	muṛnā	
ਡਿੱਗਣਾ	ḍiggaṇā	
ਦੇਣਾ	deṇā	
ਫੜਨਾ	phaṛnā	pʰəɽᵊ.näː
ਨਚੋੜਨਾ	nacoṛnā	
ਮਲ਼ਨਾ	maḷnā	
ਧੋਣਾ	dhoṇā	t̪ʰoː˨.ɳɑː
ਹੂੰਝਣਾ	hūñjhṇā	
ਖਿੱਚਣਾ	khiccaṇā	kʰɪ.t͡ʃːə̆ɳäː
ਧੱਕਣਾ	dhakkaṇā	
ਸੁੱਟਣਾ	suṭṭaṇā	
ਬੰਨ੍ਹਣਾ	bannhṇā	
ਸਿਊਣਾ	siūṇā	
ਗਿਣਨਾ	giṇnā	
ਆਖਣਾ	ākhaṇā	
ਗਾਉਣਾ	gāuṇā	
ਖੇਡਣਾ	kheḍṇā	kʰeː.ɖə̆ɳaː
ਤਾਰਨਾ	tārnā	t̪ɑːɾ.nɑː
ਵਗਣਾ	vagṇā	
ਜੰਮਣਾ	jammṇā	
ਸੁੱਜਣਾ	sujjaṇā	
ਸੂਰਜ	sūraj	
ਚੰਨ	cann	t͡ʃənːᵊ
ਤਾਰਾ	tārā	t̪aː.raː
ਪਾਣੀ	pāṇī	päː.ɳiː
ਮੀਂਹ	mī̃h	
ਨਦੀ	nadī	
ਝੀਲ	jhīl	
ਸਮੁੰਦਰ	samundar	
ਲੂਣ	lūṇ	luːɳᵊ
ਪੱਥਰ	patthar	
ਰੇਤ	ret	
ਧੂੜ	dhūṛ	
ਜ਼ਮੀਨ	zamīn	
ਬੱਦਲ	baddal	bəd̪.d̪əl
ਕੋਹਰਾ	kohrā	
ਅਸਮਾਨ	asamān	əs.ˈmän
ਹਵਾ	havā	ɦə̀ʋä̌ː
ਬਰਫ਼	baraf	
ਬਰਫ਼	baraf	
ਧੂੰਆਂ	dhū̃ā̃	t̪ũː˨.ä̃ː
ਅੱਗ	agga	
ਸੁਆਹ	suāha	
ਸਾੜਨਾ	sāṛnā	
ਸੜਕ	saṛak	
ਪਹਾੜ	pahāṛ	pä˨ːɽə̆
ਲਾਲ	lāl	
ਹਰਾ	harā	
ਪੀਲਾ	pīlā	
ਚਿੱਟਾ	ciṭṭā	t͡ʃɪʈ.ʈäː
ਕਾਲਾ	kālā	
ਰਾਤ	rāt	ɾaːt̪
ਦਿਨ	din	
ਸਾਲ	sāl	
ਗਰਮ	garam	ɡəɾᵊmə̆
ਠੰਡਾ	ṭhaṇḍā	
ਪੂਰਾ	pūrā	
ਨਵਾਂ	navā̃	nə.ʋä̃ː
ਪੁਰਾਣਾ	purāṇā	
ਚੰਗਾ	caṅgā	t͡ʃəŋ.ɡɑː
ਬੁਰਾ	burā	
ਸੜਿਆ	saṛiā	
ਗੰਦਾ	gandā	ɡən.d̪aː
ਸਿੱਧਾ	siddhā	
ਗੋਲ	gol	
ਤੇਜ਼	tez	
ਖੁੰਢਾ	khuṇḍhā	
ਕੂਲ਼ਾ	kūḷā	
ਭਿੱਜ	bhijja	
ਸੁੱਕਾ	sukkā	
ਸਹੀ	sahī	sə.i˦
ਕੋਲ਼	koḷ	koːɭɪ̆
ਦੂਰ	dūr	
ਸੱਜਾ	sajjā	
ਖੱਬਾ	khabbā	
ਉੱਤੇ	utte	
ਵਿੱਚ	vicca	ʋɪtt͡ʃɪ̆
ਨਾਲ	nāl	naːlɪ̆
ਅਤੇ	ate	
ਜੇ	je	d͡ʒeː
ਕਿਉਂਕਿ	kiuṅki	
ਨਾਂ	nā̃	
