آئون‎	āū̃	ɑːũː
تون‎	tū̃	
هِي‎	hī	
اَسِين‎	asī̃	
تَوِهِين‎	tavhī̃	
هِي‎	hī	
هِي‎	hī	
هُو‎	hū	
هِتي‎	hite	
هُتي‎	hute	
ڪير‎	ker	
ڇا‎	chā	
ڪِٿي‎	kithe	
ڪَڏهَن‎	kaᶑhã	
ڪِيئَن‎	kiã	
نہ‎	na	
سَڀُ‎	sabhu	
گھَڻا‎	ghaṇā	
ڪُجھِ‎	kujhi	
ٿورا‎	thorā	
ٻِيو‎	biyo	
هِڪُ‎	hiku	
ٻہ‎	ɓa	ɓa
ٽي‎	te	ʈe
چار‎	cār	
پَنجَ‎	panja	
وَڏو‎	vaᶑo	
ڊِگهو‎	ḍigho	
ڪُشادو‎	kuśādo	
ٿُلهو‎	thulho	
ڳَرو‎	ɠaro	
نَنڍو‎	naṇḍho	
نَنڍو‎	naṇḍho	
تَنگ‎	tang	
سَنهو‎	sanho	
عورت‎	'aurat	
ماڻهُو‎	māṇhū	
ماڻهُو‎	māṇhū	
ٻارِ‎	ɓāri	
زال‎	zāl	
مَڙس‎	maṛs	
ماءُ‎	māu	
پيءُ‎	pīu	
جانوَرُ‎	jānvaru	
مَڇي‎	machī	
پَکِي‎	pakhī	
ڪُتو‎	kuto	
جوُنءَ‎	jū̃a	
نانگُ‎	nāṅgu	
ڪِيڙو‎	kīṛo	
وَڻُ‎	vaṇu	
جھَنگَل‎	jhaṅgal	
لَٺِ‎	laṭhi	
ميوا‎	mevā	
ٻِجُ‎	ɓiju	
پَنُ‎	panu	
پاڙَ‎	pāṛa	
ڇوڏو‎	choᶑo	
گُلُ‎	gulu	
گاھُ‎	gāhu	
رَسو‎	raso	
کَلَ‎	khala	
گوشت‎	gośt	
رَتُ‎	ratu	
هَڏو‎	haᶑo	
چَرٻِي‎	carɓī	
آنو‎	āno	
سڱ‎	siṅu	
پڇ‎	puchu	
کنڀ‎	khambhu	
وارَ‎	vāra	
مٿو‎	matho	
ڪَنَ‎	kana	
اکِ‎	akhi	
نَڪُ‎	naku	
واتُ‎	vātu	
ڏَندَ‎	ᶑanda	
زَبانَ‎	zabāna	
نَھُن‎	nahun	
پيرُ‎	peru	
ٽَنگَ‎	ṭaṅga	
گوڏو‎	goᶑo	
ھَٿَ‎	hatha	
پر‎	paru	
پيٽُ‎	peṭu	
آنڊو‎	āṇḍo	
ڳِچي‎	ɠicī	
پُٺِ‎	puṭhi	
ڇاتي‎	chātī	
دِل‎	dil	
جِگَرُ‎	jigaru	
پِيئَڻُ‎	pīaṇu	
کَائِڻُ‎	khāiṇu	
چَڪ	cak haṇaṇu	
چُوپِڻُ‎	cūpaṇu	
ٿُڪَڻُ‎	thukaṇu	
اوڪَڻُ‎	okaṇu	
ڦُوڪَڻُ‎	phūkaṇu	
سَاهُه	sāhu khaṇṇu	
کِلَڻُ‎	khilaṇu	
ڏِسَڻُ‎	disaṇu	
ٻُڌَڻُ‎	ɓudhaṇu	
ڄَاڻَڻُ‎	ʄāṇaṇu	
سوچَڻُ‎	socaṇu	
سُنگهَڻُ‎	suṅghaṇu	
ڊِڄَڻُ‎	ḍiʄaṇu	
سُمهَڻُ‎	sumhaṇu	
جِيئَڻُ‎	jīaṇu	
مَرَڻُ‎	maraṇu	
مَارَڻُ‎	māraṇu	
وِڙهَڻُ‎	viṛhaṇu	
شِڪارُ	śikāru karaṇu	
مَارَڻُ‎	māraṇu	
وَڍَڻُ‎	vaḍhaṇu	
چِيرَڻُ‎	cīraṇu	
ھَڻَڻُ‎	haṇaṇu	
کَنَھَڻُ‎	khanahaṇu	
کوٽڻُ‎	khoṭaṇu	
تَرَڻُ‎	taraṇu	
اُڏِرَڻُ‎	uᶑiraṇu	
هَلَڻُ‎	halaṇu	
اَچَڻُ‎	acaṇu	
ليٽَڻُ‎	leṭaṇu	
ويهَڻُ‎	vehaṇu	
اُٿڻُ‎	uṭhaṇu	
وَرَڻُ‎	varaṇu	
ڪِرَڻُ‎	giraṇu	
ڏِيَڻُ‎	diaṇu	
جَهلَڻُ‎	jhalaṇu	
نِپُوڙَڻُ‎	nipūṛaṇu	
مَھٽَڻُ‎	mahṭaṇu	
ڌوئِڻُ‎	dhoaṇu	
اُگھَڻُ‎	ughaṇu	
ڇِڪَڻُ‎	chikaṇu	
ڌِڪَڻُ‎	dhikaṇu	
اُڇلائِڻُ‎	uchlāiṇu	
ٻَڌَڻُ‎	ɓadhaṇu	
سِبَڻُ‎	sibaṇu	
ڳَڻَڻُ‎	gaṇaṇu	
چوَڻُ‎	cavaṇu	
ڳائِڻُ‎	gāiṇu	
کيڏَڻُ‎	kheḍaṇu	
تَرَڻُ‎	taraṇu	
وَھَڻُ‎	vahaṇu	
ڄَمَڻُ‎	ʄamaṇu	
سُڄَڻُ‎	suʄaṇu	
سِجُ‎	siju	
چَنڊُ‎	canḍu	
تارو‎	tāro	tɑːro
پاڻي‎	pānī	
مينھُن‎	mī̃hũ	
نَدي‎	nadī	
ڍَنڍَ‎	ḍhanḍha	
سَمُنڊُ‎	samundu	
لۇڻُ‎	lūṇu	
پَٿَرُ‎	patharu	
وارِي‎	vārī	
مِٽِي‎	miṭī	
ڌَرتِي‎	dhartī	
ڪَڪَرُ‎	kakaru	
ڪوهِيڙو‎	kohīṛo	
آسمانُ‎	āsmānu	
واءُ‎	vāu	
بَرفَ‎	barfa	
بَرفَ‎	barfa	
دونھون‎	dū̃hõ	
بَاھِه‎	bāhi	
ڇائيِ‎	chāī	
ٻَرَڻ‎	ɓaraṇu	
