Phone	Voiced	Manner	Occlusive	Rhotic	Lateral	Strident	Sibilant	Place
ʧ	FALSE	AFFRICATE	TRUE	FALSE	FALSE	FALSE	FALSE	POST_ALVEOLAR
t͡ʃ FALSE   AFFRICATE   TRUE  	FALSE	FALSE	FALSE	FALSE	POST_ALVEOLAR

l	TRUE	APPROX	FALSE	FALSE	TRUE	FALSE	FALSE	ALVEOLAR
ɹ	TRUE	APPROX	FALSE	TRUE	FALSE	FALSE	FALSE	ALVEOLAR
ʎ	TRUE	APPROX	FALSE	FALSE	TRUE	FALSE	FALSE	PALATAL
ɫ	TRUE	APPROX	FALSE	FALSE	TRUE	FALSE	FALSE	POST_ALVEOLAR
ɭ	TRUE	APPROX	FALSE	FALSE	TRUE	FALSE	FALSE	RETROFLEX
ɻ	TRUE	APPROX	FALSE	TRUE	FALSE	FALSE	FALSE	RETROFLEX
ʟ	TRUE	APPROX	FALSE	FALSE	TRUE	FALSE	FALSE	VELAR
s	FALSE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	TRUE	ALVEOLAR
ɬ	FALSE	FRICATIVE	FALSE	FALSE	TRUE	FALSE	FALSE	ALVEOLAR
ɸ	FALSE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	BILABIAL
θ	FALSE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	DENTAL
h	FALSE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	GLOTTAL
f	FALSE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	FALSE	LABIODENTAL
ç	FALSE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	PALATAL
ħ	FALSE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	PHARYNGEAL
ʃ	FALSE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	TRUE	POST_ALVEOLAR
ɕ	FALSE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	TRUE	POST_ALVEOLAR
ʂ	FALSE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	TRUE	RETROFLEX
χ	FALSE	FRICATIVE	FALSE	TRUE	FALSE	TRUE	FALSE	UVULAR
x	FALSE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	VELAR
z	TRUE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	TRUE	ALVEOLAR
ɮ	TRUE	FRICATIVE	FALSE	FALSE	TRUE	FALSE	FALSE	ALVEOLAR
β	TRUE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	BILABIAL
ð	TRUE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	DENTAL
ɦ	TRUE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	GLOTTAL
v	TRUE	FRICATIVE	FALSE	FALSE	FALSE	TRUE	FALSE	LABIODENTAL
ʝ	TRUE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	PALATAL
ʕ	TRUE	FRICATIVE	FALSE	FALSE	FALSE	FALSE	FALSE	PHARYNGEAL
