Phone	Manner	Place	Frontage	Openness	Voiced	Rounded	Rhotic	Lateral	Strident	Sibilant	f1	f2
ʘ	0_CLICK	0_BILABIAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ǀ	0_CLICK	2_DENTAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ǃ	0_CLICK	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ǁ	0_CLICK	4_POST_ALVEOLAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
ǂ	0_CLICK	7_PALATAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɓ	1_IMPLOSIVE	0_BILABIAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɗ	1_IMPLOSIVE	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ʄ	1_IMPLOSIVE	7_PALATAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɠ	1_IMPLOSIVE	8_VELAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ʛ	1_IMPLOSIVE	9_UVULAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
p	2_PLOSIVE	0_BILABIAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
b	2_PLOSIVE	0_BILABIAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
t	2_PLOSIVE	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
d	2_PLOSIVE	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ʈ	2_PLOSIVE	6_RETROFLEX	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɖ	2_PLOSIVE	6_RETROFLEX	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
c	2_PLOSIVE	7_PALATAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɟ	2_PLOSIVE	7_PALATAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
k	2_PLOSIVE	8_VELAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɡ	2_PLOSIVE	8_VELAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
g	2_PLOSIVE	8_VELAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
q	2_PLOSIVE	9_UVULAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ɢ	2_PLOSIVE	9_UVULAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ʡ	2_PLOSIVE	A_PHARYNGEAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ʔ	2_PLOSIVE	B_GLOTTAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
t͡s	3_AFFRICATE	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d͡z	3_AFFRICATE	3_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
ʧ	3_AFFRICATE	4_POST_ALVEOLAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
t͡ʃ	3_AFFRICATE	4_POST_ALVEOLAR	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d͡ʒ	3_AFFRICATE	4_POST_ALVEOLAR	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
t͡ɕ	3_AFFRICATE	5_ALVEOLO_PALATAL	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
d͡ʑ	3_AFFRICATE	5_ALVEOLO_PALATAL	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
ʈ͡ʂ	3_AFFRICATE	6_RETROFLEX	5_CONSONANT	7_CONSONANT	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
ɖ͡ʐ	3_AFFRICATE	6_RETROFLEX	5_CONSONANT	7_CONSONANT	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
