ман	man	mæn
ту	tu	t̪u
ӯ	ü	ɵ
мо	mo	mɔː
шумо	šumo	ʃumɔː
онҳо	onho	
ин	in	
он	on	ɔːn
инҷо	injo	ind͡ʒɔ
онҷо	onjo	
кӣ	kī	
чӣ	čī	
куҷо	kujo	
кай	kay	
чихел	čixel	
на	na	
ҳама	hama	
бисёр	bisyor	
ягон	yagon	
кам	kam	
дигар	digar	
як	yak	
ду	du	
се	se	
чор	čor	
панҷ	panj	
калон	kalon	
дароз	daroz	
фарох	farox	
ғафс	ġafs	
вазнин	vaznin	
хурд	xurd	
кӯтоҳ	kütoh	
танг	tang	
тунук	tunuk	
зан	zan	
мард	mard	
инсон	inson	
кӯдак	küdak	kɵˈdak
зан	zan	
шавҳар	šavhar	
модар	modar	mɔːdær
падар	padar	
ҷонвар	jonvar	
моҳӣ	mohī	mɔːˈhiː
парранда	parranda	paranˈda
саг	sag	säɡ
шипиш	šipiš	
мор	mor	mɔːr
кирм	kirm	kirm
дарахт	daraxt	
беша	beša	beˈʃä
чӯб	čüb	tʃɵb
мева	meva	mevä
тухм	tuxm	tuxm
барг	barg	bärɡ
реша	reša	reʃæ
пӯсти дарахт	püsti daraxt	
гул	gul	ɡul
сабза	sabza	säbzä
арғамчин	arġamčin	ärʁämˈt͡ʃin
пӯст	püst	pɵːst
гӯшт	güšt	ɡɵʃt
хун	xun	xun
устухон	ustuxon	ustuxɔːn
чарб	čarb	
тухм	tuxm	tuxm
шох	šox	ʃɔːx
дум	dum	dum
пар	par	pær
мӯй	müy	mɵj
сар	sar	sær
гӯш	güš	ɡɵʃ
чашм	čašm	t͡ʃäʃm
бинӣ	binī	biˈni
даҳон	dahon	dæˈhɔːn
дандон	dandon	dandɔːn
забон	zabon	zæˈbɔːn
нохун	noxun	nɔːxun
пой	poy	pɔj
линг	ling	
зону	zonu	zɔːnu
даст	dast	
бол	bol	bɔl
шикам	šikam	ʃikæm
рӯда	rüda	
гардан	gardan	ɡärˈdän
пушт	pušt	puʃt
сина	sina	
дил	dil	dil
ҷигар	jigar	dʒiɡær
нӯшидан	nüšidan	nɵʃidän
хӯрдан	xürdan	χɵrˈdän
газидан	gazidan	ɡäziˈdän
макидан	makidan	mækidæn
туф кардан	tuf kardan	
қай кардан	qay kardan	
пуф кардан	puf kardan	
нафас кашидан	nafas kašidan	
хандидан	xandidan	xændidæn
дидан	didan	didän
шунидан	šunidan	ʃunidän
донистан	donistan	dɔnistän
андешидан	andešidan	
бӯй кардан	büy kardan	
тарсидан	tarsidan	
хобидан	xobidan	xɔːbiˈdæn
зистан	zistan	
мурдан	murdan	murdæn
куштан	kuštan	kuʃˈtän
ҷангидан	jangidan	
шикор кардан	šikor kardan	
задан	zadan	
бурридан	burridan	
шикофтан	šikoftan	
корд задан	kord zadan	
ханҷол кардан	xanjol kardan	
кофтан	koftan	
шино кардан	šino kardan	
паридан	paridan	päridän
гаштан	gaštan	ɡäʃˈtän
омадан	omadan	ɔmädän
дароз кашидан	daroz kašidan	
нишастан	nišastan	
истодан	istodan	
чархидан	čarxidan	
афтодан	aftodan	äftɔˈdän
додан	dodan	dɔdän
гирифтан	giriftan	ɡirifˈtän
фишор кардан	fišor kardan	
молидан	molidan	
шустан	šustan	ʃustæn
пок кардан	pok kardan	
кашидан	kašidan	
тела додан	tela dodan	
партофтан	partoftan	
бастан	bastan	bäsˈtän
дӯхтан	düxtan	
шумурдан	šumurdan	ʃumurdän
гуфтан	guftan	ɡufˈtän
сурудан	surudan	
бозӣ кардан	bozī kardan	
шиновар шудан	šinovar šudan	
равон шудан	ravon šudan	
ях кардан	yax kardan	
омосидан	omosidan	
хуршед	xuršed	
моҳ	moh	
ситора	sitora	sitɔˈrä
об	ob	ɔːb
борон	boron	bɔˈrɔn
рӯд	rüd	rɵd
кӯл	kül	kɵl
баҳр	bahr	bähr
намак	namak	næmæk
санг	sang	saŋɡ
рег	reg	reɡ
чанг	čang	
замин	zamin	
абр	abr	äbr
туман	tuman	
осмон	osmon	
бод	bod	bɔːd
барф	barf	bärf
ях	yax	
дуд	dud	
оташ	otaš	
хокистар	xokistar	
сӯхтан	süxtan	
роҳ	roh	rɔh
кӯҳ	küh	
сурх	surx	
сабз	sabz	
зард	zard	
сафед	safed	
сиёҳ	siyoh	
шаб	šab	
рӯз	rüz	rɵz
сол	sol	
гарм	garm	
хунук	xunuk	
пур	pur	pur
нав	nav	
кӯҳна	kühna	
нағз	naġz	
бад	bad	bäd
пӯсида	püsida	
чиркин	čirkin	
рост	rost	
гирд	gird	ɡird
тез	tez	
кунд	kund	
суфта	sufta	
тар	tar	
хушк	xušk	
дуруст	durust	
наздик	nazdik	
дур	dur	
рост	rost	
чап	čap	
ба	ba	bä
дар	dar	dær
бо	bo	bɔ
у	u	
агар	agar	ˈäɡär
чунки	čunki	
ном	nom	nɔːm
