ฉัน	chǎn	t͡ɕʰan˩˩˦
เธอ	khun	tʰɤː˧
เขา	khǎo	kʰaw˩˩˦
เรา	rao	raw˧
พวกคุณ	phûak.khun	pʰua̯k̚˥˩.kʰun˧
พวกเขา	phûak.kháo	pʰua̯k̚˥˩.kʰaw˩˩˦
นี้	níi	niː˦˥
นั้น	nán	nan˦˥
ที่นี่	thîi.nîi	tʰiː˥˩.niː˥˩
ที่นั่น	thîi.nân	tʰiː˥˩.nan˥˩
ใคร	khrǎi	kʰraj˧
อะไร	a.ray	ʔa˨˩.raj˧
ที่ไหน	thîi.nǎy	tʰiː˥˩.naj˩˩˦
เมื่อไร	mʉ̂a.ray	mɯa̯˥˩.raj˧
อย่างไร	yàaŋ.ray	jaːŋ˨˩.raj˧
ไม่	mây	maj˥˩
ทั้งหมด	tháŋ.mòt	tʰaŋ˦˥.mot̚˨˩
มาก	lǎay	maːk̚˥˩
บ้าง	bâaŋ	baŋ˥˩
สองสาม	sɔ̌ɔŋ.sǎam	sɔːŋ˩˩˦.saːm˩˩˦
อื่น	ʉ̀ʉn	ʔɯːn˨˩
หนึ่ง	nʉ̀ŋ	nɯŋ˨˩
สอง	sɔ̌ɔŋ	sɔːŋ˩˩˦
สาม	sǎam	saːm˩˩˦
สี่	sìi	siː˨˩
ห้า	hâa	haː˥˩
ใหญ่	yày	jaj˨˩
ยาว	yaaw	jaːw˧
กว้าง	kwâaŋ	kwaːŋ˥˩
หนา	nǎa	naː˩˩˦
หนัก	nàk	nak̚˨˩
เล็ก	lék	lek̚˦˥
สั้น	sân	san˥˩
แคบ	khâeaep	kʰɛːp̚˥˩
บาง	baaŋ	baːŋ˧
หญิง		jiŋ˩˩˦
ชาย		t͡ɕʰaːj˧
คน	phûu	kʰon˧
เด็ก	dèk	dek̚˨˩
เมีย	mia	mia̯˧
ผัว	phǔa	pʰua̯˩˩˦
แม่	mâeae	mɛː˥˩
พ่อ	phɔ̂ɔ	pʰɔː˥˩
สัตว์	sàt	sat̚˨˩
ปลา	plaa	plaː˧
นก	nók	nok̚˦˥
หมา	mǎa	maː˩˩˦
เล็น	hǎo	len˧
งู	ŋuu	ŋuː˧
หนอน	nɔ̌ɔn	nɔːn˩˩˦
ต้นไม้	tôn máay	ton˥˩.maːj˦˥
ดง	doŋ	doŋ˧
กิ่ง	kìŋ máay	kiŋ˨˩
ผลไม้	phǒnlamáay	pʰon˩˩˦.la˦˥.maːj˦˥
เม็ด	mét	met̚˦˥
ใบ	bay.máay	baj˧
ราก	râak.máay	raːk̚˥˩
เปลือก	plʉ̀ak.máay	plɯa̯k̚˨˩
ดอก	dɔ̀ɔk.máay	dɔːk̚˨˩
หญ้า	yâa	jaː˥˩
เชือก	chʉ̂ak	t͡ɕʰɯa̯k̚˥˩
หนัง	nǎŋ	naŋ˩˩˦
เนื้อ	nʉ́a	nɯa̯˦˥
เลือด	lʉ̂at	lɯa̯t̚˥˩
กระดูก	kradùuk	kra˨˩.duːk̚˨˩
มัน	man	man˧
ไข่	khày	kʰaj˨˩
เขา	khǎo	kʰaw˩˩˦
หาง	hǎaŋ	haːŋ˩˩˦
ขน	khǒn.nók	kʰon˩˩˦
ผม	phǒm	pʰom˩˩˦
หัว	hǔa	hua̯˩˩˦
หู	hǔu	huː˩˩˦
ตา	taa	taː˧
จมูก	camùuk	t͡ɕa˨˩.muːk̚˨˩
ปาก	pàak	paːk̚˨˩
ฟัน	fan	fan˧
ลิ้น	lín	lin˦˥
เล็บ	lép	lep̚˦˥
เท้า	tháaw	tʰaːw˦˥
ขา	khǎa	kʰaː˩˩˦
เข่า	khào	kʰaw˨˩
มือ	mʉʉ	mɯː˧
ปีก	pìik	piːk̚˨˩
พุง	thɔ́ɔŋ	pʰuŋ˧
ไส้	sây	saj˥˩
คอ	khɔɔ	kʰɔː˧
หลัง	lǎŋ	laŋ˩˩˦
นม	nom	nom˧
ใจ	hǔa.cay	t͡ɕaj˧
ตับ	tàp	tap̚˨˩
ดื่ม	dʉ̀ʉm	dɯːm˨˩
กิน	kin	kin˧
กัด	kàt	kat̚˨˩
ดูด	dùut	duːt̚˨˩
ถ่ม	thǔy	tʰom˨˩
อ้วก	ûak	ʔua̯k̚˥˩
เป่า	phát	paw˨˩
หายใจ	hǎay.cay	haːj˩˩˦.t͡ɕaj˧
หัวเราะ	hǔa.rɔ́?	hua̯˩˩˦.rɔʔ˦˥
เห็น	hěn	hen˩˩˦
ยิน	dây.yin	jin˧
รู้	rúu	ruː˦˥
คิด	khít	kʰit̚˦˥
ดม	mii.klìn	dom˧
กลัว	klua	klua̯˧
นอน	nɔɔn	nɔːn˧
อยู่	yùu	juː˨˩
ตาย	taay	taːj˧
ฆ่า	khâa	kʰaː˥˩
สู้	sûu	suː˥˩
ล่า	lâa	laː˥˩
ตี	tii	tiː˧
ตัด	tàt	tat̚˨˩
ผ่า	phàa	pʰaː˨˩
แทง	thaeaeŋ	tʰɛːŋ˧
เกา	kao	kaw˧
ขุด	khùt	kʰut̚˨˩
ว่าย	wâay.náam	waːj˥˩
บิน	bin	bin˧
เดิน	dəən	dɤːn˧
มา	maa	maː˧
นอน	nɔɔn	nɔːn˧
นั่ง	nâŋ	naŋ˥˩
ยืน	yʉʉn	jɯːn˧
หัน	hǎn	han˩˩˦
ตก	tòk	tok̚˨˩
ให้	hây	haj˥˩
จับ	ûm	t͡ɕap̚˨˩
คั้น	bìip	kʰan˦˥
ถู	thǔu	tʰuː˩˩˦
ล้าง	láaŋ	laːŋ˦˥
เช็ด	chét	t͡ɕʰet̚˦˥
ดึง	dʉŋ	dɯŋ˧
ผลัก	phlàk	pʰlak̚˨˩
ขว้าง	khwâaŋ	kʰwaːŋ˥˩
ผูก	phùuk	pʰuːk̚˨˩
เย็บ	yép	jep̚˦˥
นับ	náp	nap̚˦˥
บอก	phûut	bɔːk̚˨˩
ร้อง	rɔ́ɔŋ	rɔːŋ˦˥
เล่น	lên	len˥˩
ลอย	lɔɔy	lɔːj˧
ไหล	lǎy	laj˩˩˦
แช่เย็น	châeae.khǎeŋ	t͡ɕʰɛː˥˩.jen˧
บวม	phɔɔŋ	bua̯m˧
ตะวัน	tawan	ta˨˩.wan˧
เดือน		dɯa̯n˧
ดาว		daːw˧
น้ำ	náam	naːm˦˥
ฝน	fǒn	fon˩˩˦
แม่น้ำ	mâenáam	mɛː˥˩.naːm˦˥
ทะเลสาบ	thalee.sàap	tʰa˦˥.leː˧.saːp̚˨˩
ทะเล	thalee	tʰa˦˥.leː˧
เกลือ	klʉa	klɯa̯˧
หิน	hǐn	hin˩˩˦
ทราย	saay	saːj˧
ฝุ่น	fùn	fun˨˩
