ⵏⴽⴽ	nkk	n̪əc(ː)
ⴽⴳⴳ	kgg	çəɟ(ː)
ⵏⵜⵜⴰ	ntta	n̪ət̪ːɑ
ⵏⵓⴽⴽⵏⵉ	nukkni	n̪u̞cːn̪i
ⴽⵓⵏⵏⵉ	kunni	çu̞n̪ːi
ⵏⵉⵀⵏⵉ	nihni	n̪i̞hn̪i
ⵡⴰⴷ	wad	wæ̝ð
ⵡⴰⵏ	wan	wæ̝n̪
ⴷⴰⴷ	dad	ðæ̝ð
ⴷⵉⵏ	din	ði̞n̪
ⵎⴰⵢ	may	mæ̝j
ⵎⴰⵢ	may	mæ̝j
ⵎⴰⵏⵉ	mani	mæn̪i
ⵎⵉⵍⵎⵉ	milmi	mi̞lmi
ⵎⵉⵎⴽ	mimk	miməç
ⵓⵔ	ur	u̞r
ⵇⴰⵃ	qaḥ	qɑ̝ħ
ⴱⵣⵣⴰⴼ	bzzaf	βəzːæ̝f
ⵛⴰ	ca	ʃɑ
ⵉⵎⵉⴽ	imik	imi̞ç
ⵢⴰⴹⵏ	yaḍn	jɑðˤn̪̩
ⵢⵓⵏ	yun	ju̞n̪
ⵙⵉⵏ	sin	si̞n̪
ⴽⵔⴰⴹ	kraḍ	çrˤɑ̝ðˤ
ⴽⴽⵓⵥ	kkuẓ	cːʊ̙̞zˤ
ⵙⵎⵎⵓⵙ	smmus	sm̩ːu̞s
ⴰⵅⴰⵜⴰⵔ	axatar	ɑχɑθæ̝r
ⴰⵖⵣⵣⴰⴼ	aɣzzaf	ɑʁəzːæ̝f
ⴼⵍⵉⵢ	fliy	fli̞(j)
ⵣⵓⵔ	zur	zu̞r
ⵥⵥⴰⴳ	ẓẓag	zˤːɑ̝ʝ
ⴰⵎⵥⵥⵢⴰⵏ	amẓẓyan	ɑməzˤːjɑ̝n̪
ⴰⵛⵟⵟⵡⴰⵏ	acṭṭwan	ɑʃət̪ˤːwɑ̝n̪
ⵇⵎⵔ	qmr	qmr̩
ⵙⴷⵉⴷ	sdid	zði̞ð
ⵜⴰⵎⵟⵟⵓⵜⵜ	tamṭṭutt	t̪ˤɑmət̪ˤːʊ̙̞t̪ˤ(ː)
ⴰⵔⴳⴰⵣ	argaz	æ̝rʝæ̝z
ⴰⵔⴳⴰⵣ	argaz	æ̝rʝæ̝z
ⵍⵄⵉⵍ	lɛil	lʕɪ̙̞l
ⵜⴰⵎⵟⵟⵓⵜⵜ	tamṭṭutt	t̪ˤɑmət̪ˤːʊ̙̞t̪ˤ(ː)
ⴰⵔⴳⴰⵣ	argaz	æ̝rʝæ̝z
ⵎⵎⴰ	mma	mɑ
ⴱⴱⴰ	bba	bːɑ
		
ⴰⵙⵍⵎ	aslm	æ̝slm̩
