ខ្ញុំ	khñom	kɲom
អ្នក	nĕək	louk, neak
គាត់	kŏət	koat, kei
យើង	yəəng	yəəŋ
ពួកអ្នក	puək nĕək	puək neak
គាត់	kŏət	puək kee
នេះ	nih	nih
នោះ	nuh	nuh
ទីនេះ	tii nih	ʔaay
ទីនោះ	tii nuh	niey
អ្នកណា	nĕək naa	neak naa, nɔɔnaa
អ្វី	ʼvəy	ʔvǝy
ឯណា	ʼae naa	nɨv ʔae naa
ពេលណា	peil naa	ʔɑŋkaal
របៀបណា	rɔbiəp naa	mdəc
មិន	mɨn	tei
គ្រប់	krup	krup
ច្រើន	craən	craən
ខ្លះ	khlah	klah
តិច	təc	təc
ទៀត	tiət	ae tiət
មួយ	muəy	muəy
ពីរ	pii	pii
បី	bəy	bəy
បួន	buən	buən
ប្រាំ	pram	pram
​ធំ	tʰom	tʰom
វែង	vɛɛng	vɛɛŋ
ល្ហ	lhɑɑ	lhɑɑ, tou-leay
ក្រាស់	krah	cuk, kras'
គរុ	kĕəʼruʼ	tŋʊən
តូច	touc	tooc
ខ្លី	khləy	kləy
ចង្អៀត	cɑngʼiət	cɑŋʔiet
ស្គម	skɔɔm	sdaəŋ
ស្ត្រី	strəy	srǝy
បុរស	borɑh	proh, boʔrɑh
មនុស្ស	mɔnuh	cʊən, mɔnuh
កូន	koun	koon
ប្រពន្ធ	prɑpŭən	prɑpʊən
ប្តី	ptəy	pdəy
ម៉ែ	mae	mae
ឪពុក	ʼəwpuk	ʔəv puk
សត្វ	sat	sat
ត្រី	trəy	trəy
បក្សី	baksəy	baksəy
ឆ្កែ	chkae	cʰkae
ចៃ	cay	cay
ពស់	pŭəh	ʔaʔheʔ, pous'
ដង្កូវ	dɑngkəw	dɑŋkəv
ឈើ	chəə	daəm cʰəə
ព្រៃ	prɨy	prey
ដំបង	dɑmbɑɑng	rumpoat
ផ្លែ	phlae	pʰɑl, phle-chheur
គ្រាប់	krŏəp	puuc
ស្លឹក	slək	slǝk
ឫស	rɨh	rɨh
វាក	viək	sɑmbɑɑk
ផ្កា	phkaa	pkaa
ស្មៅ	smaw	smav
ខ្សែ	khsae	ksae
ស្បែក	sbaek	sbaek
សាច់	sac	sac
ឈាម	chiəm	cʰiem
ឆ្អឹង	chʼəng	cʔəŋ
ខ្លាញ់	khlañ	klaɲ
ពង	pɔɔng	pɔɔŋ
ស្នែង	snaeng	snaeŋ
កន្ទុយ	kɑntuy	kɑntuy
ស្លាប	slaap	roum
សក់	sɑk	sɑk
ក្បាល	kbaal	kbaal
ត្រចៀក	trɑciək	trɑciək
ភ្នែក	phnɛɛk	pnɛɛk
ច្រមុះ	crɑmoh	crɑmoh
មាត់	mŏət	moat, ʔaoh
ធ្មេញ	thmɨñ	tmɨɲ
អណ្តាត	ʼɑntaat	ʔɑndaat
ក្រចក	krɑcɑɑk	krɑcɑɑk day
ជើង	cəəng	cəəŋ
ជើង	cəəng	cəəŋ
ជង្គង់	cŭəngkŭəng	cʊəŋkʊəŋ
