ᱤᱧ	iñ	iɲ
ᱟᱢ	am	am
ᱩᱱᱤ	uni	
ᱟᱹᱞᱤᱧ	ăliñ	
ᱟᱹᱵᱤᱱ	ăbin	
ᱩᱱᱠᱤᱱ	unkin	
ᱱᱚᱣᱟ	nôva	
ᱚᱱᱟ	ôna	
ᱱᱚᱰᱮ	nôḍe	
ᱦᱟᱸᱰᱮ	hãḍe	
ᱚᱠᱚᱭ	ôkôy	
ᱪᱮᱫ	cet’	
ᱚᱠᱟᱨᱮ	ôkare	
ᱛᱤᱨᱮ	tire	
ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ	cet’ lekate	
ᱵᱟᱝ	baṅ	
ᱡᱚᱛᱚ	jôtô	ɟɔtɔ
ᱟᱭᱢᱟ	ayma	
ᱛᱷᱚᱲᱟ	thôṛa	
ᱛᱷᱚᱲᱟ	thôṛa	
ᱮᱴᱟᱜ	eṭak’	
ᱢᱤᱫ	mit’	mitʼ
ᱵᱟᱨ	bar	bar
ᱯᱮ	pe	pe
ᱯᱩᱱ	pun	pun
ᱢᱚᱬᱮ	môṇe	mɔɳe
		
ᱡᱤᱞᱤᱧ	jiliñ	
ᱚᱥᱟᱨ	ôsar	
ᱤᱵᱤᱞ	ibil	
ᱦᱟᱢᱟᱞ	hamal	
ᱠᱟᱴᱤᱡ	kaṭic’	
ᱠᱟᱴᱤᱡ	kaṭic’	
		
		
ᱠᱩᱲᱤ	kuṛi	
ᱠᱚᱲᱟ	kôṛa	
ᱦᱚᱲ	hôṛ	
ᱜᱤᱫᱨᱟ	gidra	
ᱵᱟᱦᱩ	bahu	
ᱡᱟᱶᱟᱭ	jaw̃ay	
ᱜᱚᱜᱚ	gôgô	
ᱵᱟᱵᱟ	baba	
ᱡᱤᱣᱟᱹᱞᱤ	jivăli	
ᱦᱟᱹᱠᱩ	hăku	
ᱪᱮᱬᱮ	ceṇe	
ᱥᱮᱛᱟ	seta	seta
ᱥᱤ	si	
ᱵᱤᱝ	biṅ	
ᱛᱤᱡᱩ	tiju	
		
ᱵᱤᱨ	bir	
		
ᱡᱚ	jô	
ᱡᱟᱝ	jaṅ	jaŋ ~ ɖʒaŋ ~ d͡ʒa(ː)ŋ ~ ɟaŋ
ᱥᱟᱠᱟᱢ	sakam	
ᱨᱮᱦᱮᱫ	rehet’	
		
ᱵᱟᱦᱟ	baha	
		
		
		
ᱡᱤᱞ	jil	
ᱢᱟᱦᱟᱢ	maham	
ᱡᱟᱝ	jaṅ	jaŋ ~ ɖʒaŋ ~ d͡ʒa(ː)ŋ ~ ɟaŋ
		
		
		
		
		
		
		
ᱞᱩᱛᱩᱨ	lutur	
ᱢᱮᱫ	met’	
		
		
		
		
		
		
		
		
ᱛᱤ	ti	
		
ᱞᱟᱡ	lac’	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
