ഞാൻ	ñāṉ	ɲaːn
നീ	nī	n̪iː
അവൻ	avaṉ	ɐʋɐn
നമ്മൾ	nammaḷ	n̪ɐmmɐɭ
നിങ്ങൾ	niṅṅaḷ	n̪iŋŋɐɭ
അവർ	avaṟ	ɐʋɐr
ഇത്	itŭ	id̪ə̆
അത്	atŭ	ɐd̪ə̆
ഇവിടെ	iviṭe	iʋiɖe
അവിടെ	aviṭe	ɐʋiɖe
ആര്	ārŭ	aːɾə̆
എന്ത്	entŭ	en̪d̪ə̆
എവിടെ	eviṭe	eʋiɖe
എപ്പോൾ	eppōḷ	eppoːɭ
എങ്ങനെ	eṅṅane	eŋŋɐne
അല്ല	alla	ɐllɐ
എല്ലാം	ellāṁ	
കുറേ	kuṟē	kureː
ചില	cila	t͡ʃilɐ
കുറച്ച്	kuṟaccŭ	kurɐt͡ːʃɨ̆
മറ്റ്	maṟṟŭ	mɐtːɨ̆
ഒന്ന്	onnŭ	on̪n̪ə̆
രണ്ട്	raṇṭŭ	ɾɐɳɖə̆
മൂന്ന്	mūnnŭ	muːn̪n̪ə̆
നാല്	nālŭ	n̪aːlə̆
അഞ്ച്	añcŭ	ɐɲd͡ʒə̆
വലിയ	valiya	ʋɐlijɐ
നീളമുള്ള	nīḷamuḷḷa	n̪iːɭɐmuɭɭɐ
വീതിയുള്ള	vītiyuḷḷa	
കട്ടിയുള്ള	kaṭṭiyuḷḷa	kɐʈʈijuɭɭɐ
കനത്ത	kanatta	kɐnɐt̪t̪ɐ
ചെറിയ	ceṟiya	t͡ʃerijɐ
കുറിയ	kuṟiya	kurijɐ
ഇടുങ്ങിയ	iṭuṅṅiya	iɖuŋŋijɐ
നേർത്ത	nēṟtta	
സ്ത്രീ	strī	st̪riː
പുരുഷൻ	puruṣaṉ	
മനുഷ്യൻ	manuṣyaṉ	mɐnuʂjɐn
കുട്ടി	kuṭṭi	
ഭാര്യ	bhārya	b(ʱ)aːɾjɐ
ഭർത്താവ്	bhaṟttāvŭ	b(ʱ)ɐrt̪t̪aːʋə̆
അമ്മ	amma	ɐmmɐ
അച്ഛൻ	acchaṉ	ɐt͡ʃt͡ʃ(ʰ)ɐn
മൃഗം	mr̥gaṁ	
മീൻ	mīṉ	miːn
കിളി	kiḷi	kiɭi
പട്ടി	paṭṭi	pɐʈʈi
പേൻ	pēṉ	peːn
പാമ്പ്	pāmpŭ	paːmbə̆
പുഴു	puḻu	puɻu
മരം	maraṁ	mɐɾɐm
കാട്	kāṭŭ	kaːɖə̆
വടി	vaṭi	ʋɐɖi
പഴം	paḻaṁ	pɐɻɐm
വിത്ത്	vittŭ	ʋit̪t̪ə̆
ഇല	ila	ilɐ
വേര്	vērŭ	
തോൽ	tōl	
പൂവ്	pūvŭ	
പുല്ല്	pullŭ	pulːɨ
കയർ	kayaṟ	kajar
തൊലി	toli	t̪oli
മാംസം	māṁsaṁ	maːmsɐm
ചോര	cōra	t͡ʃoːɾɐ
എല്ല്	ellŭ	elːɨ
കൊഴുപ്പ്	koḻuppŭ	koɻuppə̆
മുട്ട	muṭṭa	muʈʈɐ
കൊമ്പ്	kompŭ	kombə̆
വാൽ	vāl	ʋaːl
തൂവൽ	tūval	
മുടി	muṭi	muɖi
തല	tala	t̪ɐlɐ
ചെവി	cevi	t͡ʃeʋi
കണ്ണ്	kaṇṇŭ	kɐɳɳə̆
മൂക്ക്	mūkkŭ	muːkːɨ̆
വായ	vāya	ʋaːjɐ
പല്ല്	pallŭ	pɐllə̆
നാക്ക്	nākkŭ	n̪aːkkə̆
നഖം	nakhaṁ	n̪ɐk(ʰ)ɐm
പാദം	pādaṁ	
കാല്	kālŭ	
മുട്ട്	muṭṭŭ	muʈːɨ̆
കൈ	kai	kɐi̯
ചിറക്	ciṟakŭ	t͡ʃirɐɡə̆
വയറ്	vayaṟŭ	ʋɐjɐr
കുടൽ	kuṭal	kuɖɐl
കഴുത്ത്	kaḻuttŭ	
മുതുക്	mutukŭ	
മുല	mula	mulɐ
ഹൃദയം	hr̥dayaṁ	hrid̪ajam
കരൾ	karaḷ	kɐɾɐɭ
കുടിക്കുക	kuṭikkuka	kuʈikkukɐ
കഴിക്കുക	kaḻikkuka	kɐɻikkuɡɐ
കടിക്കുക	kaṭikkuka	kɐɖikkuɡɐ
ചപ്പുക	cappuka	t͡ʃɐppuɡɐ
തുപ്പുക	tuppuka	t̪uppuɡɐ
ഛർദ്ദിക്കുക	chaṟddikkuka	t͡ʃ(ʰ)ɐrd̪d̪ikkuɡɐ
ഊതുക	ūtuka	uːd̪uɡɐ
ശ്വസിക്കുക	śvasikkuka	ʃʋɐsikkuɡɐ
ചിരിക്കുക	cirikkuka	t͡ʃiɾikkuɡɐ
കാണുക	kāṇuka	kaːɳuɡɐ
കേൾക്കുക	kēḷkkuka	keːɭkkuɡɐ
അറിയുക	aṟiyuka	ɐrijuɡɐ
ചിന്തിക്കുക	cintikkuka	t͡ʃin̪d̪ikːuɡɐ
മണക്കുക	maṇakkuka	mɐɳɐkkuɡɐ
പേടിക്കുക	pēṭikkuka	peːɖikkuɡɐ
ഉറങ്ങുക	uṟaṅṅuka	urɐŋŋuɡɐ
ജീവിക്കുക	jīvikkuka	
മരിക്കുക	marikkuka	mɐɾikkuɡɐ
കൊല്ലുക	kolluka	kolluɡɐ
പോരാടുക	pōrāṭuka	poːɾaːɖuɡɐ
വേട്ടയാടുക	vēṭṭayāṭuka	ʋeːʈʈɐjaːɖuɡɐ
ഇടിക്കുക	iṭikkuka	iɖikkuɡɐ
മുറിക്കുക	muṟikkuka	murikkuɡɐ
പിളർക്കുക	piḷaṟkkuka	piɭɐrkkuɡɐ
കുത്തുക	kuttuka	kut̪t̪uɡɐ
ഒരയ്ക്കുക	oraykkuka	oɾɐjkkuɡɐ
കുഴിക്കുക	kuḻikkuka	kuɻikkuɡɐ
നീന്തുക	nīntuka	n̪iːn̪d̪uɡɐ
പറക്കുക	paṟakkuka	pɐrɐkːuɡɐ
നടക്കുക	naṭakkuka	n̪ɐɖɐkkuɡɐ
വരുക	varuka	ʋɐɾuɡɐ
കിടക്കുക	kiṭakkuka	kiɖɐkkuɡɐ
ഇരിക്കുക	irikkuka	iɾikːuɡɐ
നിൽക്കുക	nilkkuka	n̪ilkːuɡɐ
തിരിയുക	tiriyuka	t̪iɾijuɡɐ
വീഴുക	vīḻuka	ʋiːɻuɡɐ
നൽകുക	nalkuka	n̪ɐlkuɡɐ
പിടിക്കുക	piṭikkuka	piɖikkuɡɐ
പിഴിയുക	piḻiyuka	piɻijuɡɐ
ഉരയ്ക്കുക	uraykkuka	uɾɐjkkuɡɐ
കഴുകുക	kaḻukuka	kɐɻuɡukɐ
തുടയ്ക്കുക	tuṭaykkuka	t̪uɖɐjkkuɡɐ
വലിക്കുക	valikkuka	ʋɐlikkuɡɐ
തള്ളുക	taḷḷuka	t̪ɐɭɭuɡɐ
എറിയുക	eṟiyuka	erijuɡɐ
കെട്ടുക	keṭṭuka	keʈʈuɡɐ
തയ്ക്കുക	taykkuka	t̪ɐjkkuɡɐ
എണ്ണുക	eṇṇuka	eɳɳuɡɐ
പറയുക	paṟayuka	pɐrɐjuɡɐ
പാടുക	pāṭuka	paːɖuɡɐ
കളിക്കുക	kaḷikkuka	kɐɭikkuɡɐ
പൊങ്ങുക	poṅṅuka	poŋŋuɡɐ
ഒഴുകുക	oḻukuka	oɻuɡukɐ
തണുത്ത് ഉറയുക	taṇutt uṟayuka	t̪ɐɳut̪t̪urɐjuɡɐ
വീർക്കുക	vīṟkkuka	ʋiːrkkuɡɐ
സൂര്യൻ	sūryaṉ	suːɾjɐn
ചന്ദ്രൻ	candraṉ	t͡ʃɐn̪d̪rɐn
നക്ഷത്രം	nakṣatraṁ	n̪ɐkʂɐt̪rɐm
വെള്ളം	veḷḷaṁ	ʋeɭɭɐm
മഴ	maḻa	mɐɻɐ
പുഴ	puḻa	puɻɐ
തടാകം	taṭākaṁ	t̪ɐɖaːɡɐm
കടൽ	kaṭal	kɐɖɐl
ഉപ്പ്	uppŭ	uppə̆
കല്ല്	kallŭ	kɐllə̆
മണൽ	maṇal	
പൊടി	poṭi	poɖi
ഭൂമി	bhūmi	b(ʱ)uːmi
മേഘം	mēghaṁ	meːɡ(ʱ)ɐm
മൂടൽമഞ്ഞ്	mūṭalmaññŭ	
ആകാശം	ākāśaṁ	aːɡaːʃɐm
കാറ്റ്	kāṟṟŭ	kaːttə̆
മഞ്ഞ്	maññŭ	mɐɲɲə̆
ഐസ്	aisŭ	äjsɨ̆
പുക	puka	puɡɐ
തീ	tī	t̪iː
ചാരം	cāraṁ	t͡ʃaːɾɐm
കത്തിക്കുക	kattikkuka	kɐt̪t̪ikkuɡɐ
റോഡ്	ṟōḍŭ	roːɖɨ̆
മല	mala	mɐlɐ
ചുവപ്പ്	cuvappŭ	t͡ʃuʋapːə
പച്ച	pacca	pɐt͡ʃt͡ʃɐ
മഞ്ഞ	mañña	mɐɲɲɐ
വെള്ള	veḷḷa	ʋeɭɭɐ
കറുപ്പ്	kaṟuppŭ	kɐruppə̆
രാത്രി	 rātri	ɾaːt̪ri
ദിവസം	divasaṁ	d̪iʋasam
വർഷം	vaṟṣaṁ	ʋɐrʂɐm
ചൂട്	cūṭŭ	t͡ʃuːɖə̆
തണുപ്പ്	taṇuppŭ	t̪ɐɳuppə̆
നിറഞ്ഞ	niṟañña	n̪irɐɲɲɐ
പുതിയ	putiya	pud̪ijɐ
പഴയ	paḻaya	pɐɻɐjɐ
നല്ല	nalla	n̪ɐllɐ
മോശം	mōśaṁ	moːʃɐm
അഴുകിയ	aḻukiya	ɐɻuɡijɐ
അഴുക്കായ	aḻukkāya	ɐɻukkaːjɐ
നേരെ	nēre	n̪eːɾe
വട്ടം	vaṭṭaṁ	ʋɐʈʈɐm
മൂർച്ചയുള്ള	mūṟccayuḷḷa	muːrt͡ʃt͡ʃɐjuɭɭɐ
മൂർച്ച കുറഞ്ഞ	mūṟcca kuṟañña	muːrt͡ʃt͡ʃɐ kurɐɲɲɐ
മിനുസമാർന്ന	minusamāṟnna	minusɐmaːrn̪n̪ɐ
നനഞ്ഞ	nanañña	n̪ɐnɐɲɲɐ
വരണ്ട	varaṇṭa	ʋɐɾɐɳɖɐ
ശരി	śari	ʃɐɾi
അടുത്ത്	aṭuttŭ	ɐɖut̪t̪ə̆
അകലെ	akale	ɐɡɐle
വലത്	valatŭ	ʋɐlɐd̪ə̆
ഇടത്	iṭatŭ	iɖɐd̪ə̆
-ഇൽ	-il	-il
-ഇൽ	-il	-il
കൂടെ	kūṭe	kuːɖe
-ഉം	-uṁ	-um
-എങ്കിൽ	-eṅkil	
കാരണം	kāraṇaṁ	kaːɾɐɳɐm
പേര്	pērŭ 	peːɾɨ̆
