நான்	nāṉ	n̪aːn
நீ	nī	n̪iː
அவன்	avaṉ	ɐʋɐn
நாம்	nām	n̪aːm
நீங்கள்	nīṅkaḷ	n̪iːŋɡɐɭ
அவர்	avar	ɐʋɐɾ
இது	itu	id̪u
அது	atu	ɐd̪u
இங்கே	iṅkē	iŋɡeː
அங்கே	aṅkē	ɐŋɡeː
யார்	yār	jaːɾ
என்ன	eṉṉa	enːɐ
எங்கே	eṅkē	eŋɡeː
எப்பொழுது	eppoḻutu	epːoɻud̪u
எப்படி	eppaṭi	epːɐɖi
இல்லை	illai	illaɪ̯
அனைத்து	aṉaittu	ɐnaɪ̯t̪ːu
நிறைய	niṟaiya	n̪iraɪ̯jɐ
சில	cila	t͡ɕilɐ
கொஞ்சம்	koñcam	koɲd͡ʑɐm
மற்ற	maṟṟa	mɐrːɐ
ஒன்று	oṉṟu	onru
இரண்டு	iraṇṭu	iɾɐɳɖu
மூன்று	mūṉṟu	muːnru
நான்கு	nāṉku	n̪aːnɡu
ஐந்து	aintu	ɐi̯n̪d̪u
பெரிய	periya	peɾijɐ
நீளமான	nīḷamāṉa	n̪iːɭɐmaːnɐ
அகலமான	akalamāṉa	
தடித்த	taṭitta	
கனமான	kaṉamāṉa	
சின்ன	ciṉṉa	t͡ɕinːɐ
குறு	kuṟu	
குறுகிய	kuṟukiya	
மெல்லிய	melliya	mellijɐ
பெண்	peṇ	peɳ
ஆள்	āḷ	aːɭ
மனிதன்	maṉitaṉ	mɐnid̪ɐn
குழந்தை	kuḻantai	kuɻɐn̪d̪aɪ̯
மனைவி	maṉaivi	mɐnaɪ̯ʋi
கணவன்	kaṇavaṉ	kɐɳɐʋɐn
அம்மா	ammā	ɐmːaː
அப்பா	appā	ɐpːaː
மிருகம்	mirukam	miɾuɡɐm
மீன்	mīṉ	miːn
பறவை	paṟavai	pɐrɐʋaɪ̯
நாய்	nāy	n̪aːj
பேன்	pēṉ	peːn
பாம்பு	pāmpu	paːmbu
புழு	puḻu	puɻu
மரம்	maram	mɐɾɐm
காடு	kāṭu	kaːɖu
குச்சி	kucci	kut͡ɕːi
பழம்	paḻam	pɐɻɐm
விதை	vitai	ʋid̪aɪ̯
இலை	ilai	ilaɪ̯
வேர்	vēr	ʋeːɾ
பட்டை	paṭṭai	pɐʈːaɪ̯
பூ	pū	puː
புல்	pul	
கயிறு	kayiṟu	kɐjiru
தோல்	tōl	t̪oːl
மாமிசம்	māmicam	maːmit͡ɕɐm
ரத்தம்	rattam	ɾɐt̪ːɐm
எலும்பு	elumpu	elumbu
கொழுப்பு	koḻuppu	koɻupːu
முட்டை	muṭṭai	muʈːaɪ̯
கொம்பு	kompu	kombu
வால்	vāl	ʋaːl
இறகு	iṟaku	irɐɡu
முடி	muṭi	muɖi
தலை	talai	t̪ɐlaɪ̯
காது	kātu	kaːd̪u
கண்	kaṇ	kɐɳ
மூக்கு	mūkku	muːkːu
வாய்	vāy	ʋaːj
பல்	pal	pɐl
நாக்கு	nākku	n̪aːkːu
நகம்	nakam	n̪ɐɡɐm
கால்	kāl	kaːl
கால்	kāl	kaːl
மூட்டு	mūṭṭu	muːʈːu
கை	kai	kaɪ̯
இறக்கை	iṟakkai	irɐkːaɪ̯
தொந்தி	tonti	t̪on̪d̪i
குடல்	kuṭal	kuɖɐl
கழுத்து	kaḻuttu	kɐɻut̪ːu
முதுகு	mutuku	mud̪uɡu
மார்பு	mārpu	
இதயம்	itayam	id̪ɐjɐm
ஈரல்	īral	iːɾɐl
குடி	kuṭi	kuɖi
சாப்பிடு	cāppiṭu	t͡ɕaːpːiɖu
கடி	kaṭi	kɐɖi
உறிஞ்சு	uṟiñcu	uriɲd͡ʑu
துப்பு	tuppu	t̪upːu
