איך‎ 	ikh	ɪχ
דו‎ 	du	dʊ
ער‎ 	er	ɛʁ
מיר‎ 	mir	mɪʁ
איר‎ 	ir	
זיי‎ 	zey	zɛɪ̯
דער‎ 	der	dɛr
יענער‎ 	yener	ˈjɛnəʁ
דאָ‎ 	do	dɔ
דאָרט‎ 	dort	dɔʁt
ווער‎ 	ver	vɛr
וואָס‎ 	vos	vɔs
וווּ‎ 	vu	vʊ
ווען‎ 	ven	vɛn
ווי‎ 	vi	vɪ
ניט‎ 	nit	nit
אַלע‎ 	ale	ˈaɫə
פֿיל‎ 	fil	
עטלעכע‎ 	etlekhe	ˈɛtləχə
ווייניק‎ 	veynik	ˈvɛɪ̯nɪk
אַנדער‎ 	ander	ˈandəʁ
איינס‎ 	eyns	ɛɪ̯ns
צוויי‎ 	tsvey	t͡svɛɪ̯
דרײַ‎ 	dray	draɪ̯
פֿיר‎ 	fir	fɪr
פֿינף‎ 	finf	fɪnf
גרויס‎ 	groys	ɡrɔɪ̯s
לאַנג‎ 	lang	ɫaŋ(ɡ)
ברייט‎ 	breyt	brɛɪ̯t
דיק‎ 	dik	
שווער‎ 	shver	ʃvɛʁ
קליין‎ 	kleyn	ˈkɫɛɪ̯n
קורץ‎ 	kurts	kʊʁt͡s
ענג‎ 	eng	
דין‎ 	din	dɪn
פֿרוי‎ 	froy	frɔj
מאַן‎ 	man	
מענטש‎ 	mentsh	mɛnt͡ʃ
קינד‎ 	kind	kɪnd
ווײַב‎ 	vayb	vaɪ̯b
מאַן‎ 	man	
מוטער‎ 	muter	ˈmʊtəʁ
פֿאָטער‎ 	foter	ˈfɔtəʁ
חיה‎ 	khaye	ˈχaɪ̯ə
פֿיש‎ 	fish	fɪʃ
פֿויגל‎ 	foygl	ˈfɔɪ̯ɡl̩
הונט‎ 	hunt	hʊnt
לויז‎ 	loyz	
שלאַנג‎ 	shlang	ʃlaŋ(ɡ)
וואָרעם‎ 	vorem	
בוים‎ 	boym	bɔɪ̯m
וואַלד‎ 	vald	
שטעקן‎ 	shtekn	
פֿרוכט‎ 	frukht	fʁʊχt
זוימען‎ 	zoymen	ˈzɔɪ̯mn̩
בלאַט‎ 	blat	bɫat
וואָרצל‎ 	vortsl	
קאָרע‎ 	kore	
בלום‎ 	blum	bɫʊm
גראָז‎ 	groz	ɡʁɔz
שטריק‎ 	shtrik	
הויט‎ 	hoyt	heɪt
פֿלייש‎ 	fleysh	fɫɛɪ̯ʃ
בלוט‎ 	blut	bɫʊt
ביין‎ 	beyn	bɛɪ̯n
פֿעץ‎ 	fets	
איי‎ 	ey	ɛɪ̯
האָרן‎ 	horn	
עק‎ 	ek	ɛk
פֿעדער‎ 	feder	
האָר‎ 	hor	hɔʁ
קאָפּ‎ 	kop	kɔp
אויער‎ 	oyer	ˈɔɪ.əʁ
אויג‎ 	oyg	ɔɪ̯ɡ
נאָז‎ 	noz	nɔz
מויל‎ 	moyl	mɔɪ̯ɫ
צאָן‎ 	tson	tsɔn
צונג‎ 	tsung	tsʊŋ(ɡ)
נאָגל‎ 	nogl	
פֿוס‎ 	fus	fʊs
פֿוס‎ 	fus	fʊs
קני‎ 	kni	knɪ
האַנט‎ 	hant	hant
פֿליגל‎ 	fligl	
בויך‎ 	boykh	bɔɪχ
געדערעם‎ 	gederem	
האַלדז‎ 	haldz	haɫd͡z
פּלייצע‎ 	pleytse	
ברוסט‎ 	brust	
האַרץ‎ 	harts	haʁt͡s
לעבער‎ 	leber	
טרינקעּן‎	טרינקעּן‎	
עסן‎ 	esn	ɛsn̩
בײַסן‎ 	baysn	ˈbaɪ̯sn̩
זויגן‎ 	zoygn	
שפּײַען‎ 	shpayen	
ברעכן‎ 	brekhn	
בלאָזן‎ 	blozn	
אָטעמען‎ 	otemen	
לאַכן‎ 	lakhn	ˈɫaχn̩
זען‎ 	zen	zɛn
הערן‎ 	hern	
וויסן‎ 	visn	vɪsn̩
טראַכטן‎ 	trakhtn	
שמעקן‎ 	shmekn	ˈʃmɛkn̩
מורא האָבן‎ 	moyre hobn	
שלאָפֿן‎ 	shlofn	ˈʃɫɔfn̩
לעבן‎ 	lebn	ˈɫɛbn̩
שטאַרבן‎ 	shtarbn	ˈʃtaʁbn̩
טייטן‎ 	teytn	ˈtɛjtn̩
קעמפֿן‎ 	kemfn	
יאָגן‎ 	yogn	ˈjɔɡŋ̩
שלאָגן‎ 	shlogn	ˈʃɫɔɡŋ̩
שנײַדן‎ 	shnaydn	ˈʃnaɪ̯dn̩
טיילן‎ 	teyln	ˈtɛɪ̯ɫn̩
שטעכן‎ 	shtekhn	ˈʃtɛχn̩
קראַצן‎ 	kratsn	
גראָבן‎ 	grobn	
שווימען‎ 	shvimen	ˈʃvɪmən
פֿליִען‎ 	flien	
גיין‎ 	geyn	ɡɛɪ̯n
קומען‎ 	kumen	ˈkʊmən
ליגן‎ 	lign	
זיצן‎ 	zitsn	ˈzɪt͡sn̩
שטיין‎ 	shteyn	ʃtɛɪ̯n
דרייען‎ 	dreyen	
