އަހަރެން‎‎	aharen̊‎	a.ha.ɾen̪
ކަލޭ‎	kalē	kə.leː
އޭނާ‎‎	ēnā‎	eː.n̪əː
އަހަރެމެން‎	aharemen̊	əhəɾemen̪
ކަލޭމެން‎‎	kalēmen̊‎	kəleːmen̪
އެ	e mīhun̊‎	e
މއި‎	mi	
އތިޭ‎		
މއިތއަ‎	mita	
މއިޓއާ‎	miṭā	
ކާކު‎	kāku	kaː.ku
ކޮންއެޗްޗެއް‎	kon̊eccek̊	
ކޮންތާކު‎	kon̊tāku	
ކޮންއިރަކު‎	kon̊iraku	kon̪.i.ɾa.ku
ދެއްކުން‎	dekkun̊	
ނޫނ‎	nūn	
ހުރިހާ‎	hurihā	hu.ɾi.haː
ބައިވަރު‎	baivaru	
ބައެއް‎	baek̊	
މަދުން‎	madun̊	
އަނެތް‎	anet̊	
އެކެއް‎	ekek̊	ekeʔ
ދޭށް‎	dēṣ̊	
ތިނެއް‎	tinek̊	t̪in̪eʔ
ހަތަރެއް‎	hatarek̊	hət̪əɾeʔ
ފަހެއް‎	fahek̊	fəheʔ
ބޮޑު‎	boḍu	boɖu
ދިގު‎	digu	d̪iɡu
ފުޅާ‎	fuḷā	fu.ɭaː
ބޯ‎	bō	boː
ބަރު‎	baru	ba.ɾu
ކުދަ‎	kuda	
ކުރު‎	kuru	kuɾu
ހަނި‎	hani	
ތުނި‎	tuni	t̪u.n̪i
އަންހެން	an̊hen̊ mīhā	
ފިރިހެން	firihen̊ mīhā	
މީހާ‎	mīhā	miːhəː
ކުއްޖާ‎	kujjā	kuʔ.d͡ʒa
އަނބި‎	aᵐbi	a.ᵐbi
ފިރި‎	firi	fi.ɾi
މަންމަ‎	man̊ma	
ބައްޕަ‎	bappa	baʔ.pa
ޖަނަވާރު‎	janavāru	
މަސް‎	mas	mas̺
ދޫނި‎	dūni	d̪uː.n̪i
ބަޅު‎	baḷu	bə.ɭu
އުކުނު‎	ukunu	u.ku.n̪u
ނަންނުގަތި‎	nan̊nugati	
ފަނި‎	fani	fa.n̪i
ގަސް‎	gas	ɡas
ވަލުތެރެ‎	valutere	
ދަނޑިގަނޑު‎	daⁿḍigaⁿḍu	
މޭވާއެޅުން‎	mēvāeḷun̊	
އޮށު‎	oṣu	
ފަތް‎	fat̊	
މޫ‎	mū	
ތޮށި‎	toṣi	t̪o.ʂi
މާ‎	mā	məː
ވިނަ‎	vina	ʋi.n̪a
ރޯނު‎	rōnu	
ހަން‎	han̊	han̪
މަސް‎	mas	mas̺
ލޭ‎	lē	
ކަށި‎	kaṣi	ka.ʂi
ސަރުބީ‎	sarubī	
ބިސް‎	bis	bis̺
ދަޅު‎	daḷu	
ނަގޫ‎	nagū	naɡuː
ދޫނިފަތް‎	dūnifat̊	
އިސްތަށި‎	istaṣi	
ސަރު‎	saru	
ކަންފަތް‎	kan̊fat̊	kan̪.fat̪
ލޯ‎	lō	loː
ނޭފަތް‎	nēfat̊	n̪eːfət̪
އަނގަ‎	aⁿga	a.ᵑɡa
ދަތް‎	dat̊	d̪at̪
ދޫ‎	dū	d̪uː
މޮހޮރު‎	mohoru	
ފައިތިލަ‎	faitila	
ފައި‎	fai	
ކަކޫ‎	kakū	ka.kuː
