हांव	hā̃v	ɦɑ̃ːʋ
तू	tū	
व्हो	vho	
आम्ही	āmhī	
तुम्ही	tumhī	
तान्ही	tānhī	
व्हो	vho	
तो	to	ˈt̪ɔ
हांगा	hāṅgā	ɦɑ.ŋɑː
थै	thai	
कोण	koṇ	
किदें	kidẽ	
खैं	kha͠i	
केद्ना	kednā	
कशे	kaśe	
नू	nū	
सगळे	sagḷe	
खूब	khūb	kʰuːb
थोडे	thoḍe	
माच्चे	mācce	
दुस्रे	dusre	
एक	ek	
दोन	don	
तीन	tīn	tiːn
चार	cār	
पाच	pāc	pɑːt͡s
व्होड	vhoḍ	
लांब	lāmba	
रूंद	rūnda	
दाट	dāṭ	
जड	jaḍ	
धाक्ले	dhākle	
गिड्डो	giḍḍo	
येडो	yeḍo	
बारीक	bārīk	
बाइल	bāil	
दिद्लो	didlo	
मनीस	manīs	
भुर्गो	bhurgo	
बाइल	bāil	
घोव	ghov	ɡʰoːʋ
आवइ	āvai	
बापुइ	bāpui	bɑːpui
जनावर	janāvar	
मासोळी	māsoḷī	
पक्षि	pakṣi	
कुत्रो	kutro	
ऊव	ūv	
सोरोप	sorop	
कीडो	kīḍo	
झाड	jhāḍ	dzʱɑːɖ
रान	rān	ɾɑːn
दांडो	dāṇḍo	d̪ɑː.ɳɔ
फळ	phaḷ	
बी	bī	
पान	pān	pɑːn
मूळ	mūḷ	
झाडाचे		
फूल	phūl	fuːl
तण	taṇ	t̪əːɳ
दोरी	dorī	
कात	kāt	
मास	mās	
रगत	ragat	
हाड	hāḍ	
वोस	vos	
ताती	tātī	
शींग	śīṅga	
शेंपडी	śempḍī	
पाक	pāk	
केस	kes	kɛːs
तक्ली	taklī	
कान	kān	
दोळो	doḷo	
नांक	nāṅka	
तोण्ड	toṇḍa	
दांत	dānta	
जिब्लि	jibli	
नाखूट	nākhūṭ	nɑːkʰuːʈ
पाय	pāy	
पाय	pāy	
दोपोर	dopor	
हात	hāt	
पंख	paṅkha	
पोट	poṭ	
नेट	neṭ	
गळो	gaḷo	
पिछाडें	pichāḍẽ	
छाती	chātī	
हड्डें	haḍḍẽ	həɖ̚ɖɛ̃
यकृत	yakrut	jəkɹ̩t
पियेव्चे	piyevce	
खाव्चे	khāvce	
चाव्चे	cāvce	
चोख्चे	cokhce	
थुक्चे	thukce	
वोंक्चे	voṅkce	
फूक	phūk mārce	
श्वास	śvās ghevce	
हास्चे	hāsce	
पव्चे	pavce	
ऐक्चे	aikce	
जाण्चे	jāṇce	d͡zɑːɳ.t͡ʃɛ
चित्चे	citce	
वास	vās ghevce	
भिव्चे	bhivce	
न्हिदुंचे	nhiduñce	
जग्चे	jagce	
मर्चे	marce	məɾ.t͡ʃɛ
मार्चे	mārce	
झगड्चे	jhagaḍce	
शिकार	śikār karce	
मारप	mārap	
कातरप	kātrap	
भेसां	bhesā̃ jāvap	
सुरी	surī romap	
करपुंचे	karpuñce	
खणप	khaṇap	
फिरप	phirap	
उडप	uḍap	
चलप	calap	
पावप	pāvap	
		
बसप	basap	
सोंसप	sousap	
बदलप	badlap	
पडप	paḍap	
दान	dān karap	
पकडप	pakḍap	
पिळप	piḷap	
घांसप	ghāusap	
		
फासप	phāsap	
ओडप	oḍap	
		
उडोवप	uḍovap	
बांधप	bāndhap	
शिंवप	śiuvap	
गणना	gaṇnā karap	
म्हणप	mhaṇap	
गावप	gāvap	
		
पातळावप	pātḷāvap	
व्हांवप	vhāuvap	
गोठप	goṭhap	
वाडप	vāḍap	
सूर्य	sūrya	
चंद्र	candra	
तारो	tāro	
उदक	udak	u.d̪əː
पावस	pāvas	
न्हंय	nhaiya	
तळी	taḷī	
दर्या	daryā	
मीठ	mīṭh	
फातर	phātar	
रेंव	reuva	
पिठो	piṭho	
जमीन	jamīn	
कूप	kūp	
धुकें	dhukẽ	
आकाश	ākāś	
वायू	vāyū	
झेल	jhel	
झेल	jhel	
धुंवर	dhuuvar	
उजो	ujo	uː.zɔː
राख	rākh	
जळप	jaḷap	
रस्तो	rasto	
दोंगर	doṅgar	
लाल	lāl	
पाच्वौं	pācva͠u	
हळदुवो	haḷduvo	
धवो	dhavo	dʱəʋɛ̃
काळो	kāḷo	kɑːɭɔː
रात	rāt	
दीस	dīs	
वर्स	varsa	ʋəɾ.s
गरम	garam	
थंड	thaṇḍa	
पुराय	purāy	
नवें	navẽ	
पुरातन	purātan	
बरें	barẽ	
कुशिल्लें	kuśillẽ	
कुशिल	kuśil	
म्हेळें	mheḷẽ	
सरळ	saraḷ	
गोलाकार	golākār	ɡoːlɑːkɑːɾ
तिखट	tikhaṭ	
		
लाघवी	lāghvī	
ओलें	olẽ	
सुकें	sukẽ	
सत	sat	
समीप	samīp	
पयशिल्लें	payśillẽ	
उजवो	ujvo 	
दावो	dāvo 	
चेर	cer	
भितर	bhitar	
लागीं	lāgī̃	
आनी	ānī	
जर	jar	
लागून	lāgūn	
नांव	nāuva	
