म	ma	mʌ
तँ	tã	t̪ʌ̃
ऊ	ū	u
हामी	hāmī	ɦämi
तिमीहरू	timīharū	
यिनीहरु	yinīharu	
यो	yo	jo
त्यो	tyo	t̪jo
यहाँ	yahā̃	jä̃ː
त्यहाँ	tyahā̃	t̪jä̃ː
को	ko	ko
के	ke	ke
कहाँ	kahā̃	kä̃ː
कहिले	kahile	kʌi̯le
कसरी	kasarī	kʌsʌɾi
होइन	hoina	ɦoi̯nʌ
सबै	sabai	sʌbʌi̯
धेरै	dherai	d̪ʱe̤ɾʌi̯
केही	kehī	kei̯
थोरै	thorai	
अर्को	arko	ʌrko
एक	ek	ek
दुई	duī	d̪ui̯
तीन	tīn	t̪in
चार	cār	t͡sär
पाँच	pā̃c	pä̃t͡s
ठूलो	ṭhūlo	ʈʰulo
लामो	lāmo	lämo
चौडा	cauḍā	
मोटो	moṭo	moʈo
गह्रुँगो	gahruṇgo	ɡʌɾuŋɡo
सानो	sāno	säno
छोटो	choṭo	t͡sʰoʈo
साँघुरो	sā̃ghuro	
पातलो	pātlo	
आइमाई	āimāī	äi̯mäi̯
पुरुष	puruṣ	
मान्छे	mānche	män̻t͡sʰe
बच्चा	baccā	bʌt̚t͡sä
स्वास्नी	svāsnī	swä.sni
लोग्ने	logne	loɡ̞ne
आमा	āmā	ämä
बाबा	bābā	bäbä
जन्तु	jantu	
माछा	māchā	mät͡sʰä
चरा	carā	t͡sʌɾä
कुकुर	kukur	kukur
जुम्रा	jumrā	d͡zumrä
सर्प	sarpa	
कीरा	kīrā	kiɾä
रूख	rūkh	ruk̞ʰ
वन	van	bʌn
लट्ठी	laṭṭhī	lʌʈ̚ʈʰi
फल	phal	pʰʌl
बीउ	bīu	biu̯
पात	pāt	pät̪
जरा	jarā	d͡zʌɾä
	रूखको	
फूल	phūl	pʰul
घाँस	ghā̃s	ɡʱä̤̃s
डोरी	ḍorī	
छाला	chālā	
मासु	māsu	mäsu
रगत	ragat	rʌɡ̞ʌt̪
हाड	hāḍ	
चिल्लो	cillo	
फुल	phul	pʰul
