अहम्	ahám	ɐ.ɦɐ́m
त्वम्	tvám	tʋɐ́m
स	sá	sɐ
वयम्	vayám	ʋɐ.jɐ́m
यूयम्	yūyám	
ते	té	tɐj
इदम्	idám	i.dɐ́m
तत्	tát	tɐt
अत्र	átra	ɐ́t.ɾɐ
तत्र	tátra	tɐ́t.ɾɐ
क	ká	kɐ
किम्	kím	kím
कुत्र	kútra	kút.ɾɐ
कदा	kadā́	kɐ.dɑ́ː
कथम्	kathám	kɐ.tʰɐ́m
न	ná	nɐ́
सर्व	sárva	sɐ́ɾ.ʋɐ
बहु	bahú	bɐ.ɦú
किञ्चिद्	kiñcid	
अल्प	álpa	
अन्य	anyá	ɐn.jɐ́
एक	éka	ɐ́j.kɐ
द्व	dvá	dʋɐ́
त्रि	trí	tɾí
चतुर्	cátur	t͡ɕɐ́.tuɾ
पञ्चन्	páñcan	pɐ́ɲ.t͡ɕɐn
महत्	mahát	mɐ.ɦɐ́t
दीर्घ	dīrghá	diːɾ.ɡʱɐ́
उरु	urú	u.ɾú
घन	ghaná	ɡʱɐ.nɐ́
गुरु	gurú	ɡu.ɾú
अल्प	álpa	
ह्रस्व	hrasvá	ɦɾɐs.ʋɐ́
अंहु	aṃhú	ɐ̃́.ɦu
तनु	tanú	tɐ.nú
स्त्री	strī́	stɾíː
पुरुष	púruṣa	pú.ɾu.ʂɐ
मनुष्य	manuṣyá	mɐ.nuʂ.jɐ́
बाल	bā́la	bɑː.lɐ
पत्नी	pátnī	pɐ́t.niː
पति	páti	pɐ́.ti
मातृ	mā́tṛ	mɑ́ː.tr̩
पितृ	pitṛ́	pi.tŕ̩
पशु	páśu	pɐ́.ɕu
मत्स्य	mátsya	mɐ́t.sjɐ
वि	ví	ʋí
श्वन्	śván	ɕʋɐ́n
यूका	yūkā	
सर्प	sarpá	sɐɾ.pɐ́
कृमि	kṛ́mi	kŕ̩.mi
वृक्ष	vṛkṣá	ʋr̩k.ʂɐ́
वन	vána	ʋɐ́.nɐ
दण्ड	daṇḍá	dɐɳ.ɖɐ́
फल	phála	pʰɐ́.lɐ
बीज	bī́ja	bíː.d͡ʑɐ
पत्त्र	páttra	pɐ́t.tɾɐ
मूल	mū́la	múː.lɐ
त्वच्	tvác	tʋɐ́t͡ɕ
पुष्प	púṣpa	púʂ.pɐ
तृण	tṛ́ṇa	tŕ̩.ɳɐ
रज्जु	rájju	ɾɐ́d.d͡ʑu
चर्मन्	cárman	t͡ɕɐ́ɾ.mɐn
मांस	māṃsá	mɑ̃ː.sɐ́
रक्त	rakta	
अस्थि	ásthi	ɐ́s.tʰi
पीवस्	pī́vas	píː.ʋɐs
अण्ड	aṇḍá	ɐɳ.ɖɐ
शृङ्ग	śṛṅgá	ɕr̩ŋ.ɡɐ́
पुच्छ	púccha	pút.t͡ɕʰɐ
पर्ण	parṇá	pɐɾ.ɳɐ́
केश	kéśa	kɐ́j.ɕɐ
शिरस्	śíras	ɕí.ɾɐs
कर्ण	kárṇa	
अक्षि	ákṣi	ɐ́k.ʂi
नासा	nā́sā	nɑ́ː.sɑː
वक्त्र	vaktra	ʋɐk.tɾɐ
दन्त	dánta	dɐ́n.tɐ
जिह्वा	jihvā́	d͡ʑiɦ.ʋɑ́ː
नख	nakhá	nɐ.kʰɐ́
पद	padá	pɐ.dɐ́
जङ्घ	jáṅgha	
जानु	jā́nu	d͡ʑɑ́ː.nu
हस्त	hásta	ɦɐ́s.tɐ
पक्ष	pakṣá	pɐk.ʂɐ
उदर	udára	u.dɐ́.ɾɐ
अन्त्र	ántra	ɐ́n.tɾɐ
गल	gala	ɡɐ.lɐ
पृष्ठ	pṛṣṭhá	pr̩ʂ.ʈʰɐ́
स्तन	stána	stɐ́.nɐ
हृदय	hṛ́daya	ɦŕ̩.dɐ.jɐ
यकृत्	yákṛt	jɐ́.kr̩t
पिबति	píbati	pí.bɐ.ti
खादति	khā́dati	kʰɑ́ː.dɐ.ti
दशति	dáśati	dɐ́.ɕɐ.ti
धयति	dháyati	dʱɐ́.jɐ.ti
ष्ठीवति	ṣṭhī́vati	ʂʈʰíː.ʋɐ.ti
वमति	vámati	ʋɐ́.mɐ.ti
वाति	vā́ti	ʋɑ́ː.ti
अनिति	ániti	
स्मयते	smáyate	smɐ́.jɐ.tɐj
पश्यति	páśyati	pɐ́ɕ.jɐ.ti
शृणोति	śṛṇóti	ɕr̩.ɳɐ́w.ti
जानाति	jānā́ti	d͡ʑɑː.nɑ́ː.ti
मन्यते	mányate	mɐ́n.jɐ.tɐj
जिघ्रति	jíghrati	d͡ʑíɡʱ.ɾɐ.ti
बिभेति	bibhéti	bi.bʱɐ́j.ti
स्वपिति	svápiti	sʋɐ́.pi.ti
जीवति	jī́vati	d͡ʑíː.ʋɐ.ti
म्रियते	mriyáte	mɾi.jɐ́.tɐj
हन्ति	hánti	ɦɐ́n.ti
युध्यते	yúdhyate	
वेति	veti	
हन्ति	hánti	ɦɐ́n.ti
कृन्तति	kṛntáti	kr̩n.tɐ.ti
भिनत्ति	bhinátti	bʱi.nɐ́t.ti
विधति	vídhyati	
लिखति	likháti	li.kʰɐ́.ti
खनति	khánati	kʰɐ́.nɐ.ti
प्लवते	plávate	plɐ́.ʋɐ.tɐj
पतति	pátati	pɐ́.tɐ.ti
एति	éti	ɐ́j.ti
आगच्छति	ā́gacchati	ɑː.ɡɐt.t͡ɕʰɐ.ti
शेते	śéte	
सीदति	sī́dati	síː.dɐ.ti
तिष्ठति	tíṣṭhati	tíʂ.ʈʰɐ.ti
वर्तते	vártate	ʋɐ́ɾ.tɐ.tɐj
पद्यते	pádyate	pɐ́d.jɐ.tɐj
ददाति	dádāti	dɐ́.dɑː.ti
धरति	dhárati	dʱɐ́.ɾɐ.ti
मृद्नाति	mṛdnā́ti	
घर्षति	ghárṣati	ɡʱɐ́ɾ.ʂɐ.ti
क्षालयति	kṣā́layati	kʂɑː.lɐ.jɐ.ti
मार्ष्टि	mā́rṣṭi	
कर्षति	kárṣati	kɐ́ɾ.ʂɐ.ti
नुदति	nudáti	
क्षिपति	kṣipáti	kʂi.pɐ́.ti
बध्नाति	badhnā́ti	bɐ́dʱ.nɑː.ti
सीव्यति	sī́vyati	síːʋ.jɐ.ti
गणयति	gáṇayati	ɡɐ.ɳɐ́.jɐ.ti
वक्ति	vákti	ʋɐ́k.ti
गायति	gā́yati	ɡɑ́ː.jɐ.ti
दीव्यति	dī́vyati	díːʋ.jɐ.ti
प्लवते	plávate	plɐ́.ʋɐ.tɐj
सरति	sárati	sɐ́.ɾɐ.ti
शीयते	śī́yate	
श्वयति	śváyati	
सूर्य	sū́rya	súː.ɾi.jɐ
मास	mā́sa	mɑ́ː.sɐ
नक्षत्र	nákṣatra	nɐ́k.ʂɐt.ɾɐ
जल	jalá	d͡ʑɐ.lɐ́
वर्ष	varṣá	ʋɐɾ.ʂɐ́
नदी	nadī́	nɐ.díː
सरस्	sáras	sɐ́.ɾɐs
समुद्र	samudrá	sɐ.mud.ɾɐ́
लवण	lavaṇá	lɐ.ʋɐ.ɳɐ́
अश्मन्	áśman	ɐ́ɕ.mɐn
पांसु	pāṃsú	pɑ̃ː.sú
रेणु	reṇú	ɾɐj.ɳú
क्षम्	kṣám	kʂɐ́m
नभस्	nábhas	nɐ́.bʱɐs
मिह्	míh	míɦ
आकाश	ākāśá	ɑː.kɑː.ɕɐ
वायु	vāyú	ʋɑː.jú
हिम	himá	ɦi.mɐ́
हिम	himá	ɦi.mɐ́
धूम	dhūmá	dʱuː.mɐ́
अग्नि	agní	ɐɡ.ní
आस	ā́sa	ɑ́ː.sɐ
दहति	dahati	dɐ́.ɦɐ.ti
पथ	patha	pɐ.tʰɐ́
गिरि	girí	ɡi.ɾí
रक्त	rakta	
हरित्	harit	ɦɐ.ɾit
पीत	pīta	piː.tɐ́
श्वेत	śvetá	ɕʋɐj.tɐ́
कृष्ण	kṛṣṇá	kr̩ʂ.ɳɐ́
रात्रि	rā́tri	ɾɑ́ːt.ɾi
दिन	diná	dí.nɐ
वर्ष	varṣá	ʋɐɾ.ʂɐ́
तप्त	taptá	tɐp.tɐ́
शीत	śītá	ɕiː.tɐ
पूर्ण	pūrṇá	puːɾ.ɳɐ́
नव	náva	nɐ́.ʋɐ
जीर्ण	jīrṇá	d͡ʑiːɾ.ɳɐ́
वसु	vásu	ʋɐ́.su
पाप	pāpá	pɑː.pɐ́
पूति	pū́ti	púː.ti
मलिन	malina	mɐ.li.nɐ
ऋजु	ṛjú	r̩.d͡ʑú
वृत्त	vṛttá	ʋr̩t.tɐ́
तीक्ष्ण	tīkṣṇá	tiːkʂ.ɳɐ́
कुण्ठ	kuṇṭha	
श्लक्ष्ण	ślakṣṇá	ɕlɐkʂ.ɳɐ́
आर्द्र	ārdrá	ɑːɾ.dɾɐ́
शुष्क	śúṣka	ɕúʂ.kɐ
शुद्ध	śuddhá	
नेद	neda	
दूर	dūrá	duː.ɾɐ́
दक्षिण	dákṣiṇa	dɐ́k.ʂi.ɳɐ
