ես	es	jɛs
դու	du	du
նա	na	nɑ
մենք	menkʿ	mɛŋkʰ
դուք	dukʿ	dukʰ
նրանք	nrankʿ	nəˈɾɑŋkʰ
այս	ays	ɑjs
այն	ayn	ɑjn
այստեղ	aysteł	ɑjsˈtɛʁ
այնտեղ	aynteł	ɑjnˈtɛʁ
ով	ov	ɔv
ինչ	inčʿ	int͡ʃʰ
որտեղ	orteł	vɔɾˈtɛʁ
երբ	erb	jɛɾpʰ
ինչպես	inčʿpes	int͡ʃʰˈpɛs
ոչ	očʿ	vɔt͡ʃʰ
բոլոր	bolor	bɔˈlɔɾ
շատ	šat	ʃɑt
որոշ	oroš	vɔˈɾɔʃ
քիչ	kʿičʿ	kʰit͡ʃʰ
այլ	ayl	ɑjl
մեկ	mek	mɛk
երկու	erku	jɛɾˈku
երեք	erekʿ	jɛˈɾɛkʰ
չորս	čʿors	t͡ʃʰɔɾs
հինգ	hing	hinɡ
մեծ	mec	mɛt͡s
երկար	erkar	jɛɾˈkɑɾ
լայն	layn	lɑjn
հաստ	hast	hɑst
ծանր	canr	ˈt͡sɑnəɾ
փոքր	pʿokʿr	ˈpʰɔkʰəɾ
կարճ	karč	kɑɾt͡ʃ
նեղ	neł	nɛʁ
բարակ	barak	bɑˈɾɑk
կին	kin	kin
տղամարդ	tłamard	təʁɑˈmɑɾtʰ
մարդ	mard	mɑɾtʰ
երեխա	erexa	jɛɾɛˈχɑ
կին	kin	kin
ամուսին	amusin	ɑmuˈsin
մայր	mayr	majɾ
հայր	hayr	hɑjɾ
կենդանի	kendani	kɛntʰɑˈni
ձուկ	juk	d͡zuk
թռչուն	tʿṙčʿun	tʰərˈt͡ʃʰun
շուն	šun	ʃun
ոջիլ	oǰil	vɔˈt͡ʃʰil
օձ	ōj	ɔt͡sʰ
ճիճու	čiču	t͡ʃiˈt͡ʃu
ծառ	caṙ	t͡sɑr
անտառ	antaṙ	ɑnˈtɑr
փայտ	pʿayt	pʰɑjt
պտուղ	ptuł	pəˈtuʁ
սերմ	serm	seɾm
տերեւ	terew	tɛˈɾɛv
արմատ	armat	ɑɾˈmɑt
կեղեւ	kełew	kɛˈʁɛv
ծաղիկ	całik	t͡sɑˈʁik
խոտ	xot	χɔt
պարան	paran	pɑˈɾɑn
մաշկ	mašk	mɑʃk
միս	mis	mis
արյուն	aryun	ɑɾˈjun
ոսկոր	oskor	vɔsˈkɔɾ
ճարպ	čarp	t͡ʃɑɾp
ձու	ju	d͡zu
եղջյուր	ełǰyur	jɛʁd͡ʒˈjuɾ
պոչ	počʿ	pɔt͡ʃʰ
փետուր	pʿetur	pʰɛˈtuɾ
մազ	maz	mɑz
գլուխ	glux	ɡəˈluχ
ականջ	akanǰ	ɑˈkɑnd͡ʒ
աչք	ačʿkʿ	ɑt͡ʃʰkʰ
քիթ	kʿitʿ	kʰitʰ
բերան	beran	bɛˈɾɑn
ատամ	atam	ɑˈtɑm
լեզու	lezu	lɛˈzu
եղունգ	ełung	jɛˈʁunɡ
ոտք	otkʿ	vɔtkʰ
ոտք	otkʿ	vɔtkʰ
ծունկ	cunk	t͡sunk
ձեռք	jerkʿ	d͡zɛrkʰ
թեւ	tʿew	tʰɛv
փոր	pʿor	pʰɔɾ
փորոտիք	pʿorotikʿ	pʰɔɾɔˈtikʰ
վիզ	viz	viz
մեջք	meǰkʿ	met͡ʃʰkʰ
կուրծք	kurckʿ	kuɾt͡skʰ
սիրտ	sirt	siɾt
լյարդ	lyard	ljɑrtʰ
խմել	xmel	χəˈmɛl
ուտել	utel	uˈtɛl
կծել	kcel	kəˈt͡sɛl
ծծել	ccel	t͡səˈt͡sɛl
թքել	tʿkʿel	tʰəˈkʰɛl
հետ	het	hɛt
փչել	pʿčʿel	pʰəˈt͡ʃʰɛl
շնչել	šnčʿel	ʃənˈt͡ʃʰɛl
ծիծաղել	cicałel	t͡sit͡sɑˈʁɛl
տեսնել	tesnel	tɛsˈnɛl
լսել	lsel	ləˈsɛl
իմանալ	imanal	imɑˈnɑl
մտածել	mtacel	mətɑˈt͡sɛl
հոտ	hot	hɔt
վախենալ	vaxenal	vɑχɛˈnɑl
քնել	kʿnel	kʰəˈnɛl
ապրել	aprel	ɑpˈɾɛl
մեռնել	meṙnel	mɛrˈnɛl
սպանել	spanel	əspɑˈnɛl
կռվել	kṙvel	kərˈvɛl
որսալ	orsal	vɔɾˈsɑl
խփել	xpʿel	χəˈpʰɛl
կտրել	ktrel	kətˈɾɛl
բաժանել	bažanel	bɑʒɑˈnɛl
խոցել	xocʿel	χɔˈt͡sʰɛl
քերծել	kʿercel	kʰɛɾˈt͡sɛl
փորել	pʿorel	pʰɔˈɾɛl
լողալ	lołal	lɔˈʁɑl
թռչել	tʿṙčʿel	tʰərˈt͡ʃʰɛl
քայլել	kʿaylel	kʰɑjˈlɛl
գալ	gal	ɡɑl
պառկել	paṙkel	pɑrˈkɛl
նստել	nstel	nəsˈtɛl
կանգնել	kangnel	kɑnɡˈnɛl
շրջվել	šrǰvel	ʃəɾd͡ʒˈvɛl
ընկնել	ənknel	əŋkˈnɛl
տալ	tal	tɑl
պահել	pahel	pɑˈhɛl
սեղմել	sełmel	sɛʁˈmɛl
շփել	špʿel	ʃəˈpʰɛl
լվալ	lval	ləˈvɑl
սրբել	srbel	səɾˈpʰɛl
ձգել	jgel	d͡zəˈkʰɛl
հրել	hrel	həˈɾɛl
նետել	netel	nɛˈtɛl
կապել	kapel	kɑˈpɛl
կարել	karel	kɑˈɾɛl
հաշվել	hašvel	hɑʃˈvɛl
ասել	asel	ɑˈsɛl
երգել	ergel	jɛɾˈkʰɛl
խաղալ	xałal	χɑˈʁɑl
լողալ	lołal	lɔˈʁɑl
հոսել	hosel	hɔˈsɛl
սառչել	saṙčʿel	sɑrˈt͡ʃʰɛl
ուռել	uṙel	uˈrɛl
արեւ	arew	ɑˈɾɛv
լուսին	lusin	luˈsin
աստղ	astł	ˈɑstəʁ
ջուր	ǰur	d͡ʒuɾ
անձրեւ	anjrew	ɑnd͡zˈɾɛv
գետ	get	ɡɛt
լիճ	lič	lit͡ʃ
ծով	cov	t͡sɔv
աղ	ał	ɑʁ
քար	kʿar	kʰɑɾ
ավազ	avaz	ɑˈvɑz
փոշի	pʿoši	pʰɔˈʃi
հող	hoł	hɔʁ
ամպ	amp	ɑmp
մառախուղ	maṙaxuł	mɑrɑˈχuʁ
երկինք	erkinkʿ	jɛɾˈkiŋkʰ
քամի	kʿami	kʰɑˈmi
ձյուն	jyun	d͡zjun
սառույց	saṙuycʿ	sɑˈrujt͡sʰ
ծուխ	cux	t͡suχ
հուր	hur	huɾ
մոխիր	moxir	mɔˈχiɾ
վառվել	vaṙvel	vɑrˈvel
ճամփա	čampʿa	t͡ʃɑmˈpʰɑ
լեռ	leṙ	lɛr
կարմիր	karmir	kɑɾˈmiɾ
կանաչ	kanačʿ	kɑˈnɑt͡ʃʰ
դեղին	dełin	dɛˈʁin
սպիտակ	spitak	əspiˈtɑk
սեւ	sew	sɛv
գիշեր	gišer	ɡiˈʃɛɾ
օր	ōr	ɔɾ
տարի	tari	tɑˈɾi
տաք	takʿ	tɑkʰ
ցուրտ	cʿurt	t͡sʰuɾt
լիքը	likʿə	ˈlikʰə
նոր	nor	nɔɾ
հին	hin	hin
լավ	lav	lɑv
վատ	vat	vɑt
փտած	pʿtac	pʰəˈtɑt͡s
կեղտոտ	kełtot	kɛχˈtɔt
ուղիղ	ułił	uˈʁiʁ
կլոր	klor	kəˈlɔɾ
սուր	sur	suɾ
բութ	butʿ	butʰ
հարթ	hartʿ	hɑɾtʰ
թաց	tʿacʿ	tʰɑt͡sʰ
չոր	čʿor	t͡ʃʰɔɾ
ճիշտ	čišt	t͡ʃiʃt
մոտ	mot	mɔt
հեռու	heṙu	hɛˈru
աջ	aǰ	ɑt͡ʃʰ
ձախ	jax	d͡zɑχ
-ում	-um	um
-ում	-um	um
հետ	het	hɛt
եւ	ew	jɛv
եթե	etʿe	jɛˈtʰɛ
որովհետեւ	orovhetew	vɔɾɔfhɛˈtɛv
անուն	anun	ɑˈnun
