εγώ	egó	eˈɣo
εσύ	esý	eˈsi
αυτός	aftós	afˈtos
εμείς	emeís	eˈmis
εσείς	eseís	eˈsis
αυτοί	aftoí	afˈti
αυτός	aftós	afˈto
εκείνος	ekeínos	eˈcino
εδώ	edó	eˈðo
εκεί	ekeí	eˈci
ποιος	poios	pços
τι	ti	ti
πού	poú	pu
πότε	póte	ˈpote
πώς	pós	pos
δε	de	ðe
όλοι	óloi	ˈoli
πολλοί	polloí	poˈli
μερικοί	merikoí	meriˈci
λίγοι	lígoi	ˈliʝi
άλλοι	álloi	ˈali
ένα	éna	ˈena
δύο	dýo	ˈðio
τρία	tría	ˈtria
τέσσερα	téssera	ˈtesera
πέντε	pénte	ˈpende
μεγάλος	megálos	meˈɣalos
μακρύς	makrýs	maˈkris
πλατύς	platýs	plaˈtis
παχύς	pachýs	paˈçis
βαρύς	varýs	vaˈris
μικρός	mikrós	miˈkros
κοντός	kontós	koˈndos
στενός	stenós	steˈnos
λεπτός	leptós	leˈptos
γυναίκα	gynaíka	ʝiˈneka
άνδρας	ándras	ˈandras
άνθρωπος	ánthropos	ˈan̪θropos
παιδί	paidí	peˈði
σύζυγος	sýzygos	ˈsiziɣos
σύζυγος	sýzygos	ˈsiziɣos
μητέρα	mitéra	miˈtera
πατέρας	patéras	paˈteras
ζώο	zóo	ˈzoo
ψάρι	psári	ˈpsari
πουλί	poulí	puˈli
σκύλος	skýlos	ˈscilos
ψείρα	pseíra	ˈpsira
φίδι	fídi	ˈfiði
σκουλήκι	skoulíki	skuˈlici
δέντρο	déntro	ˈðendro
δάσος	dásos	ˈðasos
ραβδί	ravdí	raˈvði
φρούτο	froúto	ˈfruto
σπόρος	spóros	ˈsporos
φύλλο	fýllo	ˈfilo
ρίζα	ríza	ˈriza
φλοιός	floiós	fliˈos
λουλούδι	louloúdi	luˈluði
χορτάρι	chortári	xorˈtari
σχοινί	schoiní	sçiˈni
δέρμα	dérma	ˈðerma
κρέας	kréas	ˈkreas
αίμα	aíma	ˈema
κόκαλο	kókalo	ˈkokalo
λίπος	lípos	ˈlipos
αυγό	avgó	avˈɣo
κέρατο	kérato	ˈcerato
ουρά	ourá	uˈra
πούπουλο	poúpoulo	ˈpupulo
τρίχα	trícha	ˈtrixa
κεφάλι	kefáli	ceˈfali
αυτί	aftí	afˈti
μάτι	máti	ˈmati
μύτη	mýti	ˈmiti
στόμα	stóma	ˈstoma
δόντι	dónti	ˈðondi
γλώσσα	glóssa	ˈɣlosa
νύχι	nýchi	ˈniçi
πόδι	pódi	ˈpoði
πόδι	pódi	ˈpoði
γόνατο	gónato	ˈɣonato
χέρι	chéri	ˈçeri
φτερό	fteró	fteˈro
κοιλιά	koiliá	ciˈʎa
σπλάχνα	spláchna	ˈsplaxna
λαιμός	laimós	leˈmos
πλάτη	pláti	ˈplati
στήθος	stíthos	ˈstiθos
καρδιά	kardiá	karˈðʝa
συκώτι	sykóti	siˈkoti
πίνω	píno	ˈpino
τρώ	tróo	ˈtro
δαγκώνω	dagkóno	ðaˈŋɡono
ρουφώ	roufó	ruˈfo
φτύνω	ftýno	ˈftino
ξερνώ	xernó	kserˈno
φυσάω	fysáo	fiˈsao
αναπνέω	anapnéo	anaˈpneo
