ἐγώ	egṓ	e.ɡɔ̌ː
σύ	sú	sý
αὐτός	autós	au̯.tós
ἡμεῖς	hēmeîs	hɛː.mêːs
ὑμεῖς	humeîs	hyː.mêːs
αὐτοί	autoí	au̯.tǒi̯
ὅδε	hóde	hó.de
ἐκεῖνος	ekeînos	e.kêː.nos
ἔνθα	éntha	én.tʰa
ἐκεῖ	ekeî	e.kêː
τίς	tís	tís
τί	tí	tí
ποῦ	poû	pûː
πότε	póte	pó.te
πῶς	pôs	pɔ̂ːs
οὐ	ou	uː
πᾶς	pâs	pâːs
πολύς	polús	po.lýs
τις	tis	tis
ὀλίγος	olígos	o.lí.ɡos
ἄλλος	állos	ál.los
εἷς	heîs	hêːs
δύο	dúo	dý.o
τρεῖς	treîs	trêːs
τέσσαρες	téssares	tés.sa.res
πέντε	pénte	pén.te
μέγας	mégas	mé.ɡas
μακρός	makrós	ma.krós
εὐρύς	eurús	eu̯.rýs
πυκνός	puknós	py.knós
βαρύς	barús	ba.rýs
μῑκρός	mīkrós	
βραχύς	brakhús	bra.kʰýs
στενός	stenós	ste.nós
μανός	manós	ma.nós
γυνή	gunḗ	ɡy.nɛ̌ː
ἀνήρ	anḗr	a.nɛ̌ːr
ἄνθρωπος	ánthrōpos	án.tʰrɔː.pos
τέκνον	téknon	té.knon
γυνή	gunḗ	ɡy.nɛ̌ː
ἀνήρ	anḗr	a.nɛ̌ːr
μήτηρ	mḗtēr	mɛ̌ː.tɛːr
πατήρ	patḗr	pa.tɛ̌ːr
ζῷον	zôion	zdɔ̂ːi̯.on
ἰχθύς	ikhthús	ikʰ.tʰy̌ːs
ὄρνις	órnis	ór.niːs
κύων	kúōn	ký.ɔːn
φθείρ	phtheír	pʰtʰěːr
ὄφις	óphis	ó.pʰis
ἑρπετόν	herpetón	her.pe.tón
δένδρον	déndron	dén.dron
ὕλη	húlē	hy̌ː.lɛː
βακτηρία	baktēría	bak.tɛː.rí.aː
καρπός	karpós	kar.pós
σπέρμα	spérma	spér.ma
