من‎	man	mæn
تو‎	to	to
او‎	u	ˈuː
ما‎	mâ	mɒː
شما‎	šomâ	ʃomɒː
آنها‎	ânhâ	ɒːnˈhɒː
این‎	in	ˈiːn
آن‎	ân	ˈɒːn
اینجا‎	injâ	ˈiːndʒɒː
آنجا‎	ânjâ	ˈɒːndʒɒː
کی‎	ki	kiː
چه‎	če	tʃe
کجا‎	kojâ	kodʒɒː
کی‎	key	kej
چطور‎	četowr	t͡ʃetowɾ
نِـ‎	ne	ne
همه‎	hame	hæme
خیلی‎	xeyli	xejliː
بعضی‎	ba'zi	bæʔziː
کمی‎	kami	kæmiː
دیگر‎	digaɾ	diːgæɾ
یک‎	yek	jek
دو‎	do	do
سه‎	se	se
چهار‎	čhahâr	tʃæhɒːɾ
پنج‎	panj	pændʒ
بزرگ‎	bozorg	bozoɾg
دراز‎	derâz	deɒːz
وسیع‎	vasi'	væsiːʔ
ضخیم‎	zaxim	zæxiːm
سنگین‎	sangin	sængiːn
کوچک‎	kuček	kuːtʃek
کوتاه‎	kutâh	kuːtɒːh
باریک‎	bârik	bɒːɾiːk
لاغر‎	lâğar	lɒːɢæɾ
زن‎	zan	zæn
مرد‎	mard	mæɾd
انسان‎	ensân	ensɒːn
بچه‎	bačče	batʃe
زن‎	zan	zæn
شوهر‎	šowhar	ʃowhæɾ
مادر‎	mâdar	mɒːdæɾ
پدر‎	pedar	pedæɾ
حیوان‎	heyvân	hejvɒːn
ماهی‎	mâhi	mɒːhiː
پرنده‎	parande	pæɾænde
سگ‎	sag	sæg
شپش‎	šepeš	ʃepeʃ
مار‎	mâr	mɒːɾ
کرم‎	kerm	keɾm
درخت‎	deraxt	deɾæxt
جنگل‎	jangal	dʒængæl
چوب‎	čub	tʃuːb
میوه‎	mive	miːve
بذر‎	bazr	bæzɾ
برگ‎	barg	bæɾg
ریشه‎	riše	ɾiːʃe
پوست‎	pust	puːst
گل‎	gol	gol
چمن‎	čaman	tʃæmæn
نخ‎	nax	næx
پوست‎	pust	puːst
گوشت‎	gušt	guːʃt
خون‎	xun	xuːn
استخوان‎	ostoxân	ostoxɒːn
چربی‎	čarbi	tʃæɾbiː
تخم‎	toxm	toxm
شاخ‎	šâx	ʃɒːx
دم‎	dom	dom
پر‎	par	pæɾ
مو‎	mu	muː
سر‎	sar	sæɾ
گوش‎	guš	guːʃ
چشم‎	češm	tʃeʃm
بینی‎	bini	biːniː
دهان‎	dahân	dæhɒːn
دندان‎	dandân	dændɒːn
زبان‎	zabân	zæbɒːn
