我	a	ɰᵝa̠ɾe̞
あなた	anata	a̠na̠ta̠
彼	kare	ka̠ɾe̞
我等	warera	ɰᵝa̠ɾe̞ɾa̠
貴方達	anatatachi	a̠na̠ta̠ta̠t͡ɕi
彼等	karera	a̠ɾe̞ɾa̠
これ	kore	ko̞ɾe̞
あれ	are	a̠ɾe̞
ここ	koko	ko̞ko̞
そこ	soko	so̞ko̞
誰	dare	da̠ɾe̞
何	nani	na̠ɲ̟i
どこ	doko	do̞ko̞
何時	nanji	nã̠ɲ̟d͡ʑi
如何	dō	do̞ː
無い	nai	na̠i
全て	subete	sɨᵝbe̞te̞
多い	ōi	o̞ːi
少し	sukoshi	sɨ̥ᵝko̞ɕi
少ない	sukunai	sɨ̥ᵝkɯ̟ᵝna̠i
他	hoka	ho̞ka̠
一	ichi	it͡ɕi
二	ni	ɲ̟i
三	san	sã̠ɴ
四	yon	jo̞ɴ
五	go	ɡo̞
大きい	ōkii	o̞ːkʲiː
長い	nagai	na̠ɡa̠i
広い	hiroi	çiɾo̞i
厚い	atsui	a̠t͡sɨᵝi
重い	omoi	o̞mo̞i
小さい	chīsai	t͡ɕiːsa̠i
短い	mijikai	mʲiʑika̠i
狭い	semai	se̞ma̠i
細い	hosoi	ho̞so̞i
女	onna	õ̞nːa̠
男	otoko	o̞to̞ko̞
人	hito	çi̥to̞
子供	kodomo	ko̞do̞mo̞
妻	tsuma	t͡sɨᵝma̠
夫	otto	o̞t̚to̞
母	haha	ha̠ha̠
父	chichi	t͡ɕi̥̥t͡ɕi
動物	dōbutsu	do̞ːbɯ̟ᵝt͡sɨᵝ
魚	uo	ɯ̟ᵝo̞
鳥	tori	to̞ɾʲi
犬	inu	inɯ̟ᵝ
虱	shirami	ɕiɾa̠mʲi
蛇	hebi	he̞bʲi
		
木	ki	kʲi
森	mori	mo̞ɾʲi
杖	tsue	t͡sɨᵝe̞
果物	kudamono	kɯ̟ᵝda̠mo̞no̞
種	tane	ta̠ne̞
葉	ha	ha̠
根	ne	ne̞
木肌	kihada	kʲiha̠da̠
花	hana	ha̠na̠
草	kusa	kɯ̟̊ᵝsa̠
綱	tsuna	t͡sɨᵝna̠
皮	kawa	ka̠ɰᵝa̠
肉	shishi	ɕiɕi
血	chi	t͡ɕi
骨	hone	ho̞ne̞
脂	abura	a̠bɯ̟ᵝɾa̠
卵	tamago	ta̠ma̠ɡo̞
角	tsuno	t͡sɨᵝno̞
尾	o	o̞
羽	hane	ha̠ne̞
髪	kami	ka̠mʲi
頭	atama	a̠ta̠ma̠
耳	mimi	mʲimʲi
目	me	me̞
鼻	hana	ha̠na̠
口	kuchi	kɯ̟̊ᵝt͡ɕi
歯	ha	ha̠
舌	shita	ɕi̥ta̠
爪	tsume	t͡sɨᵝme̞
足	ashi	a̠ɕi
足	ashi	a̠ɕi
膝	hiza	çiza̠
手	te	te̞
翼	tsubasa	t͡sɨᵝba̠sa̠
腹	hara	ha̠ɾa̠
腸	wata	ɰᵝa̠ta̠
首	kubi	kɯ̟ᵝbʲi
背	se	se̞
胸	mune	mɯ̟ᵝna̠
		
胆	kimo	kʲimo̞
飲む	nomu	no̞mɯ̟ᵝ
食べる	taberu	ta̠be̞ɾɯ̟ᵝ
噛む	kamu	ka̠mɯ̟ᵝ
吸う	sū	sɨᵝɯ̟ᵝ
唾を吐く	tsuba o haku	
吐く	haku	ha̠kɯ̟ᵝ
吹く	fuku	ɸɯ̟̊ᵝkɯ̟ᵝ
		
笑う	warau	ɰᵝa̠ɾa̠ɯ̟ᵝ
見る	miru	mʲiɾɯ̟ᵝ
