我ぬー	wanū	wanuː
っやー	yā	ʔjaː
ありー	arī	
我達	wattā	
なったー	nattā	
ありったー	arittā	
		
あり	ari	
ふまー	fumā	
あまー	amā	
たるー	tarū	
ぬー	nū	
だー	dā	
ひちー	hichī	
ちゃー	chā	
ねーぬ	nēnu	
		
		
		
		
		
		
		
		
		
		
		
長はん	nagahan	
広ーせん	pirūsen	
		
		
		
		
		
		
		
男	unga	
人	chū	t͡ɕuː
		
		
夫	uttū	
		
すー	sū	
		
魚	yū	
		
		
		
		
		
木	khī	
		
		
		
		
葉	phā	pʰaː
		
		
花	phanā	pʰanaː
		
綱	chinā	
		
		
血	chī	
		
		
		
角	chinū	
		
羽	phanī	
		
		
		
目	mī	
鼻	phanā	pʰanaː
口	khuchī	kʰut͡ɕiː
歯	phā	
		
		
		
		
ちーんし	chīnshi	
手	thī	tʰiː
		
腸	watā	
		
		
		
胸	nī	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
戦ん	thatākan	tʰataːkaŋ
		
		
		
		
		
		
		
泳じゅん	uijun	ʔuid͡ʑuŋ
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
押すん	fusun	ɸusuŋ
		
		
		
		
		
		
		
		
		
		
		
天道	tida	
月	shichī	ɕi̻t͡ɕiː
星	phushī	
水	mijī	
雨	amī	
		
		
		
真塩	masu	
石	shī	ɕiː
		
		
		
		
		
		
		
		
		
		
火	pī	
		
		
		
		
赤	hakā	hakaː
		
黄色	chīrū	
		
黒	kurū	
夜	yurū	
		
		
		
		
		
新ーせん	mīsen	miːse̞ŋ
古せん	phurusen	
		
		
		
		
		
		
		
		
		
		
		
		
近ーせん	shichāsen	
遠せん	thūsen	
		
		
		
		
		
		
		
		
名	nā	naː
