我ん	ban	baŋ̍
っゔぁ	vva	v̩va
かり	kari	
我ん達	banta	
っゔぁた	vvata	
かいた	kaita	
		
かり	kari	
くま	kuma	
かま	kama	
誰	taru	
のー	nō	
んざ	nza	
いつ	itsï	
いきゃ	ikya	
にゃーん	nyān	
		
		
		
		
		
		
		
		
		
		
うぷ	upu	
		
広	pïsu	
		
		
		
		
		
		
		
びきどぅん	bikidun	
人	psïtu	ps̩tu
		
嫁	yumi	
夫	butu	
		
		
		
		
		
犬	in	
		
波布	pav	
		
木	kī	
		
		
		
種	tani	
葉	pā	paː
		
		
花	pana	pana
草	fusa	
綱	tsïna	
		
		
血	tsïï	
		
		
とぅなか	tunaka	
角	tsïnu	
		
羽	pani	
からず	karazu	
かなまㇲ゙	kamanaz	
		
目	mī	
鼻	pana	pana
口	futsu	ɸɨtˢɨ
歯	pā	
		
		
		
		
		
手	tī	tiː
		
腸	bata	
		
		
		
胸	mmi	
		
		
		
		
		
		
		
		
		
		
		
		
		
知ぃ	ssï	
		
		
		
		
		
		
		
		
		
叩きぃ	tataksï	tatakˢɨ
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
押す	usu	uss̩
		
		
		
		
		
		
		
		
		
		
		
天道	tida	
月	tsïksï	t͡sɨ̥.kˢɨ
星	busï	
水	mizu	mid͡zz̩
雨	ami	
		
		
		
		
石	isu	iss̩
		
		
		
		
		
		
		
		
		
		
火	psïï	
		
		
		
		
赤	aka	aka
		
黄色	ksïïru	
		
黒	ffu	
夜	yūz	
		
		
		
		
		
新	miz	
古	fuz	
		
		
		
		
		
		
		
		
		
		
		
		
近	tsïka	
遠	tū	
		
		
		
		
		
		
		
		
名	nā	naː
