我ん	wan	waŋ̍
っやー	yā	ʔjaː
彼	ari	
我達	wattā	wattaː
なったー	nattā	
彼達	attā	
くり	kuri	kuɾi
あり	ari	
くま	kuma	
あま	ama	
誰	tā	
何	nū	nuː
まー	mā	
いち	ichi	
如何	chā	
ねーん	nēn	
むる	muru	
多さん	ufusan	ʔuɸusaŋ̍
		
		
		
		
		
		
		
		
まぎさん	magisan	maɡisaŋ
		
広さん	firusan	
		
		
		
		
		
		
女子	winagu	(ʷ)inaɡu
男	yukiga	
人	tchu	t̚t͡ɕu
		
刀自	tuji	
夫	wutu	
		
すー	sū	suː
		
魚	iyu	ʔiju
鳥	tui	tui
犬	in	ʔiŋ̍
虱	shiran	
波布	habu	
		
木	kī	kʲiː
		
		
生い	nai	
		
葉	fā	ɸaː
		
		
花	hana	hana
草	kusa	
綱	china	
		
		
血	chī	
		
		
くーが	kūga	
角	chinu	
		
羽	hani	
からじ	karaji	
頭	chiburu	
耳	min	
目	mī	
鼻	hana	hana
口	kuchi	kut͡ɕi
歯	hā	haː
唇	shiba	ɕiba
		
足	fisa	ɸisa
足	fisa	ɸisa
ちんし	chinshi	
手	tī	tiː
翼	hani	
腸	wata	
		
		
腰	kushi	
胸	nni	
		
肝	chimu	t͡ɕimɯ̟ᵝ
飲むん	numun	
食ぬん	kanun	kamuŋ̍
		
		
		
		
		
		
		
見じゅん	nnjun	
聞ちゅん	chichun	
知ゆん	shiyun	
		
		
		
寝んじゅん	ninjun	
		
		
殺すん	くるすん	
戦ゆん	tatakayun	tatakajun
		
叩ちゅん	tatachun	tatat͡ɕuŋ
切ん	chīn	
		
		
		
		
泳じゅん	wījun	ʔwiːd͡ʑuŋ̍
飛ぶん	tubun	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
押しゅん	ushun	ʔuɕuŋ̍
		
		
		
		
		
		
		
		
		
		
		
ふぃー	fī	
月	chichi	t͡sʲit͡ɕi
星	fushi	
水	miji	mʲizʲi
雨	ami	ʔami
かーら	kāra	
		
海	umi	
真塩	māsu	
石	ishi	ʔiɕi
		
ちり	chiri	
んちゃ	ncha	nt͡ɕa
雲	kumu	kumu
霧	chiri	
天	tin	
風	kaji	
雪	yuchi	jut͡ɕi
こーり	kōri	
煙	chimuri	
火	fī	
ふぇー	fē	
めーゆん	mēyun	
みち	michi	
山	mui	
赤	aka	ʔaka
		
黄色	chīrū	
しる	shiru	
黒	kurū	kuɾu
夜	yuru	juɾu
ふぃー	fī	
とぅし	tushi	
ぬくさん	nukuan	
ふぃーさん	fīsan	
		
新ーさん	mīsan	miːsaŋ
古さん	furusan	
ゆたさん	yutasan	ˈjutasaŋ
わっさん	wassan	
くさりとーる	kusaritōru	
したなさん	shitanasan	
		
まるさん	marusan	
		
		
		
		
		
		
近さん	chichasan	
遠さん	tūsan	
にじり	nijiri	
ひじゃい	hijai	
		
		
		
		
		
		
名	nā	naː
