𠊎	ngài	ŋai¹¹
汝	ngì	ɲi¹¹
佢	kì	ki¹¹
𠊎等	ngài-tén	ŋai¹¹ ten³¹
汝等	ngì-tén	ɲi¹¹ ten³¹
佢等	kì-tén	ki¹¹ ten³¹
這	liá	lia³¹
該	kâi	ke⁵⁵
這兜	liá-têu	lia³¹ teu²⁴
該兜	kâi-têu	ke⁵⁵ teu²⁴
麼人	má-ngìn	ma³¹ ɲin¹¹
麼个	má-ke	ma³¹ ke⁵⁵
哪	nâ	nai⁵⁵
哪時	nâ-sṳ̀	nai⁵⁵ sɨ¹¹
仰般	ngióng-pân	ɲioŋ³¹ pan²⁴
毋	m̀	mu¹¹
所有	só-yû	so³¹ iu²⁴
多	tô	to²⁴
兜	têu	teu²⁴
少	séu	seu³¹
其他	khì-thâ	kʰi¹¹ tʰa²⁴
一	yit	it²
二	ngi	ɲi⁵⁵
三	sâm	sam²⁴
四	si	ɕi⁵⁵
五	ńg	
大	thai	tʰai⁵⁵
長	chhòng	tsʰoŋ¹¹
寬	khôn	kʰon²⁴
厚	heu	heu⁵⁵
重	chûng	tsʰuŋ²⁴
小	séu	seu³¹
短	tón	ton³¹
窄	chak	tsak²
薄	pho̍k	pʰok⁵
細妹人	se-moi-ngìn	se⁵⁵ moi⁵⁵ ɲin¹¹
細倈人	se-lai-ngìn	se⁵⁵ lai⁵⁵ ɲin¹¹
人	ngìn	ɲin¹¹
細人仔	se-ngìn-é	se⁵⁵ ɲin¹¹ e¹¹
餔娘	bû-ngiòng	pu²⁴ ɲioŋ¹¹
丈夫	chhông-fû	tsʰoŋ⁵⁵ fu²⁴
阿姆	â-mê	a²⁴⁻¹¹ me²⁴
阿爸	â-pâ	a²⁴⁻¹¹ pa²⁴
動物	thung-vu̍t	tʰuŋ⁵⁵ vut⁵
魚仔	ǹg-é	ŋ¹¹ e³¹
鳥仔	tiâu-é	tiau²⁴ e³¹
狗仔	kiéu-é	kieu³¹ e³¹
蝨	set	set²
蛇	sà	sa¹¹
蟲仔	chhùng-é	tsʰuŋ¹¹ e³¹
樹	su	su⁵⁵
森林	sêm-lìm	sem²⁴ lim¹¹
樹椏	su-â	su⁵⁵ a²⁴
果子	kó-chṳ́	ko³¹ tsɨ³¹
種	chúng	tsung³¹
葉仔	ya̍p-é	iap⁵ e³¹
根	kîn	kin²⁴
樹皮	su-phì	su⁵⁵ pʰi¹¹
花	fâ	fa²⁴
草	chhó	tsʰo³¹
索仔	sok-é	sok² e³¹⁻¹¹
皮膚	phì-fû	pʰi¹¹ fu²⁴
肉	ngiuk	ɲiuk²
血	hiet	hiet²
骨	kut	kut²
脂肪	chṳ̂-fòng	tsɨ²⁴ foŋ¹¹
卵	lón	lon³¹
角	kok	kok²
尾	mî	mi²⁴
羽毛	yí-mô	i³¹ mo²⁴
頭那毛	theù-nà-mô	tʰeu¹¹ na¹¹ mo²⁴
頭那	theù-nà	tʰeu¹¹ na¹¹
耳公	ngí-kûng	ɲi³¹ kuŋ²⁴
目珠	muk-chû	muk² tsu²⁴
