我	góa	ɡua⁵³
汝	lí	li⁵³
伊	i	i⁵⁵
阮	gún	ɡun⁵³
恁	lín	lɪn⁵³
𪜶	in	in⁵⁵
這	che	tse⁵⁵
許	he	he⁵⁵
者	chia	tɕia⁵⁵
許	hia	hia⁵⁵
啥人	siáⁿ-lâng	ɕiã⁵⁵ laŋ³⁵
啥物	siáⁿ-mih	ɕiã⁵⁵ miʔ¹¹
佗位	tó-ūi	to⁵⁵ ui³³
甚麼時陣	sīm-mi̍h-sî-chūn	ɕɪm²¹ miʔ⁵⁵ ɕi³² tsun³³
如何	jû-hô	dzu²¹ ho³⁵
不	put	put¹¹
全部	chôan-pō͘	tsuan²¹ pɔ³³
濟	chōe	tsue³³
一寡	chi̍t-kóa	tɕɪt¹¹ kua⁵³
少	chió	tɕio⁵³
其他	kî-thaⁿ	ki²¹ tʰã⁵⁵
一	it, chi̍t	ɪt¹¹
兩	nn̄g	
三	saⁿ	sã⁵⁵
四	sì	ɕi²¹
五	ngō	ɡɔ³³
大	tōa	tua³³
長	tn̂g	
闊	khoah	kʰuaʔ¹¹
厚	kāu	kau³³
重	tāng	taŋ³³
細	sòe	sue²¹
短	té	te⁵³
隘	o̍eh	ueʔ⁵⁵
薄	po̍h	poʔ⁵⁵
女人	lú-jîn	lu⁵⁵ ʑɪn³⁵
男人	lâm-jîn	lam²¹ ʑɪn³⁵
人	lâng	lang³⁵
囝仔	gín-á	ɡɪn⁵⁵ a⁵³
某	bó͘	bɔ⁵³
翁	ang	aŋ⁵⁵
母親	bú-chhin	bu⁵⁵ tɕʰɪn⁵⁵
父親	hū-chhin	hu²¹ tɕʰɪn⁵⁵
動物	tōng-bu̍t	tɔŋ²¹ but⁵⁵
魚	hî	hi³⁵
鳥	chiáu	tɕiau⁵³
狗	káu	kau⁵³
虱	sat	sat¹¹
蛇	chôa	tsua³⁵
蟲	thâng	tʰaŋ³⁵
樹	chhiū	tɕʰiu³³
森林	sim-lîm	ɕɪm³³ ɪm³⁵
樹枝	chhiū-ki	tɕʰiu²¹ ki⁵⁵
水果	chúi-kó	tsui⁵⁵ ko⁵³
種子	chéng-chí	tɕiŋ⁵⁵ tɕi⁵³
葉	hio̍h	hioʔ⁵⁵
根	kun	kun⁵⁵
樹皮	chhiū-phê	tɕʰiu²¹ pʰe³⁵
花	hoe	hue⁵⁵
草	chháu	tsʰau⁵³
索	soh	soʔ¹¹
皮	phê	pʰe³⁵
肉	bah	baʔ¹¹
血	huih	huiʔ¹¹
骨	kut	kut¹¹
脂肪	chi-hông	tɕi³³ hɔŋ³⁵
卵	nn̄g	
角	kak	kak¹¹
尾	bé	be⁵³
鳥毛	chiáu-mn̂g	tɕiau⁵⁵ mŋ³⁵
頭毛	thâu-mn̄g	tʰau²¹ mŋ³⁵
頭	thâu	tʰau³⁵
耳	hīⁿ	hĩ³³
目睭	ba̍k-chiu	bak¹¹ tɕiu⁵⁵
鼻	phīⁿ	pʰĩ³³
嘴	chhùi	tsʰui²¹
嘴齒	chhùi-khí	tsʰui⁵³ kʰi⁵³
舌	chih	tɕiʔ⁵⁵
指甲	chéng-kah	tɕiŋ⁵⁵ kaʔ¹¹
腳	kha	kʰa⁵⁵
腿	thúi	tʰui⁵³
腳頭窩	kha-thâu-u	kʰa³³ tʰau²¹ u⁵⁵
手	chhiú	tɕʰiu⁵³
翼	e̍k	ɪk⁵⁵
腹肚	pak-tó͘	pak⁵⁵ tɔ⁵³
腸仔	pak-tó͘	pak⁵⁵ tɔ⁵³
頷頸	ām-kún	am²¹ kun⁵³
尻脊骿	kha-chiah-phiaⁿ	kʰa³³ tɕiaʔ⁵³ pʰiã⁵⁵
胸	hiong	hiɔŋ⁵⁵
心臟	sim-chōng	ɕɪm³³ tsɔŋ³³
肝	koaⁿ	kuã⁵⁵
啉	lim	lɪm⁵⁵
食	chia̍h	tɕiaʔ⁵⁵
咬	kā	ka³³
吸	khip	kʰɪp¹¹
呸	phùi	pʰui²¹
嘔	áu	au⁵³
吹	chhe	tsʰe⁵⁵
呼吸	ho͘-khip	hɔ³³ kʰɪp¹¹
笑	chhiò	tɕʰio²¹
看	khòaⁿ	kʰuã²¹
聽	thiaⁿ	tʰiã⁵⁵
知	chai	tsai⁵⁵
想	siūⁿ	ɕiũ³³
鼻	phīⁿ	pʰĩ³³
驚	kiaⁿ	kiã³³
睏	khùn	kʰun²¹
活	o̍ah	uaʔ⁵⁵
死	sí	ɕi⁵³
刣	thâi	tʰai³⁵
冤家	oan-ke	uan³³ ke⁵⁵
拍獵	phah-la̍h	pʰaʔ⁵³ laʔ⁵⁵
拍	phah	pʰaʔ¹¹
割	koah	kuaʔ¹¹
破開	phòa-khui	pʰua⁵³ kʰui⁵⁵
刺	chhì	tɕʰi²¹
扒	pê	pe³⁵
挖	ó͘, óe, iah	ɔ⁵³
泅水	siû-chúi	ɕiu²¹ tsui⁵³
飛	pe	pe⁵⁵
行	kiâⁿ	kiã³⁵
來	lâi	lai³⁵
倒	tó	to⁵³
坐	chē	tse³³
站	chām	tsam³³
斡	oat	uat¹¹
落落	lak-lo̍h	lak⁵⁵ lɔʔ⁵⁵
予	hō͘	hɔ³³
提	the̍h	tʰeʔ⁵⁵
𢯰	lu̍t	lut⁵⁵
㨎	loán	luan⁵³
洗	sóe	sue⁵³
拭	chhit	tɕʰɪt¹¹
扭	khiú, giú	kʰiu⁵³
拺	sak	sak¹¹
撣	tàn	tan⁵³
縛	pa̍k	pak⁵⁵
縫	pâng	paŋ³⁵
數	siàu	ɕiau²¹
講	kóŋ	kɔŋ⁵³
唱	chhiùⁿ	tɕʰiũ²¹
耍	sńg	
浮	phû	pʰu³⁵
流	lâu	lau³⁵
結冰	kiat-peng	kɪɛt⁵⁵ piŋ⁵⁵
膨大	phòng-tōa	pʰɔŋ⁵³ tua³³
太陽	thài-iông	tʰai⁵³ iɔŋ³⁵
月亮	ge̍h-niû	ɡeʔ²¹ niu³⁵
星	chhiⁿ	tɕʰĩ⁵⁵
水	chùi	tsui⁵³
雨	hō͘	hɔ³³
河	hô	ho³⁵
湖	ô͘	ɔ³⁵
海	hái	hai⁵³
鹽	iâm	iɛm³⁵
石	chio̍h	tɕio⁵⁵
沙	soa	sua⁵⁵
土粉	thô͘-hún	tʰɔ²¹ hun⁵³
地球	tē-kiû	te²¹ kiu³⁵
