مەن‎	men	mæn
سەن‎	sen	
ئۇ‎	u	u
بىز‎	biz	
سىلەر‎	siler	
ئۇلار‎	ular	uˈlɑr
بۇ‎	bu	bu
ئۇ‎	u	u
بۇ يەردە‎	bu yerde	
ئۇ يەردە‎	u yerde	
كىم‎	kim	
نېمە‎	nëme	ne.mɛ
قەيەردە‎	qeyerde	
قاچان‎	qachan	
قانداق‎	qandaq	
يوق‎	yoq	joq
ھەممە‎	hemme	hɛm.mɛ
كۆپ‎	köp	
بىر قانچە‎	bir qanche	
ئاز‎	az	ʔɑz
باشقا‎	bashqa	
بىر‎	bir	bir
ئىككى‎	ikki	iˈkːi
ئۈچ‎	üch	ʔyt͡ʃ
تۆت‎	töt	tøt̚
بەش‎	besh	bɛʃ
چوڭ‎	chong	
ئۇزۇن‎	uzun	ʔuzun
كەڭ‎	keng	
قېلىن‎	qëlin	
ئېغىر‎	ëghir	ʔeʁir
كىچىك‎	kichik	kiˈt͡ʃik
قىسقا‎	qisqa	
تار‎	tar	tɑr
ئىنچىكە‎	inchike	
ئايال‎	ayal	
ئەر‎	er	
ئىنسان‎	insan	
بالا‎	bala	bɑˈlɑ
خوتۇن‎	xotun	
يولداش‎	yoldash	joldɑʃ
ئانا‎	ana	ɑnɑ
دادا‎	dada	dɑdɑ
ھايۋان‎	haywan	
بېلىق‎	bëliq	beliq
قۇش‎	qush	quʃ
ئىت‎	it	it
پىت‎	pit	pit
يىلان‎	yilan	jilɑn
قۇرۇت‎	qurut	
دەرەخ‎	derex	
ئورمان‎	orman	
چوقماق‎	choqmaq	
مەۋە‎	mewe	
ئۇرۇق‎	uruq	ʔuruq
يوپۇرماق‎	yopurmaq	jopurmɑq
يىلتىز‎	yiltiz	
قوۋزاق‎	qowzaq	
گۈل‎	gül	ɡyl
ئوت‎	ot	ʔot
ئارقان‎	arqan	
تېرە‎	tëre	
گۆش‎	gösh	ɡøʃ
قان‎	qan	
سۆڭەك‎	sö'ngek	
ياغ‎	yagh	jɑʁ
تۇخۇم‎	tuxum	tuχum
مۈڭگۈز‎	münggüz	
قۇيرۇق‎	quyruq	qujruq
پەي‎	pey	
چاچ‎	chach	t͡ʃɑt͡ʃ
باش‎	bash	
