мый	myj	məj
тый	tyj	ˈtəj
тудо	tudo	ˈtuðo
ме	me	ˈme
те	te	te
нуно	nuno	ˈnuno
тиде	tide	ˈtiðe
саде	sade	ˈsɑðe
тыште	tyšte	
тушто	tušto	
кӧ	kö	kø
мо	mo	ˈmo
кушан	kušan	
кунам	kunam	
кузе	kuze	kuˈze
ок	ok	
чыла	čyla	
шуко	šuko	
икмыняр	ikmyńar	
изиш	iziš	
вес	ves	
ик	ik	ˈik
кокыт	kokyt	
кум	kum	ˈkum
ныл	nyl	ˈnəl
вич	vič	ˈβitʃ
кугу	kugu	
кужу	kužu	
кумда	kumda	
кӱжгӧ	küžgö	
неле	ńeĺe	
изи	izi	iˈzi
кӱчык	küčyk	
аҥысыр	aŋysyr	
вичкыж	vičkyž	
ӱдырамаш	üdyramaš	
пӧръеҥ	pörjeŋ	
еҥ	jeŋ	
аза	aza	
вате	vate	
марий	marij	mɑˈɾij
ава	ava	ɑˈβɑ
ача	ača	ɑˈtʃɑ
янлык	janlyk	ˈjɑnlək
кол	kol	ˈkol
кайык	kajyk	ˈkɑjək
пий	pij	ˈpij
тий	tij	
кишке	kiške	ˈkiʃke
шукш	šukš	
пушеҥге	pušeŋge	
чодыра	čodyra	t͡ɕodəˈɾɑ
тоя	toja	
саска	saska	
нӧшмӧ	nöšmö	
лышташ	lyštaš	
вож	vož	βoʒ
шӱм	šüm	ʃym
пеледыш	peĺedyš	
шудо	šudo	
керем	kerem	
коваште	kovašte	
шыл	šyl	
вӱр	vür	βyɾ
лу	lu	lu
коя	koja	
муно	muno	ˈmuno
шур	šur	ˈʃur
поч	poč	
пыстыл	pystyl	
ӱп	üp	ˈyp
вуй	vuj	βuj
пылыш	pylyš	ˈpələʃ
шинча	šinča	ʃinˈt͡ɕɑ
нер	ńer	ˈɲeɾ
умша	umša	umˈʃɑ
пӱй	püj	
йылме	jylme	ˈjəlme
кӱч	küč	
йол	jol	
йолвурго	jolvurgo	
пулвуй	pulvuj	
кид	kid	ˈkið
шулдыр	šuldyr	
мӱкыр	mükyr	
шолора	šolora	
шӱй	šüj	ʃyj
туп	tup	
оҥ	oŋ	
шӱм	šüm	ʃym
мокш	mokš	
йӱаш	jüaš	jyˈɑʃ
кочкаш	kočkaš	
пураш	puraš	
шупшаш	šupšaš	
шӱваш	šüvaš	
вакаш	vakaš	
пуаш	puaš	
шӱлаш	šülaš	
воштылаш	voštylaš	
ужаш	užaš	
колаш	kolaš	koˈlɑʃ
шинчаш	šinčaš	
шонаш	šonaš	
ӱпшынчаш	üpšynčaš	
лӱдаш	lüdaš	
малаш	malaš	
илаш	ilaš	iˈlɑʃ
колаш	kolaš	koˈlɑʃ
пушташ	puštaš	
кредалаш	kredalaš	
сонарлаш	sonarlaš	
тӱяш	tüjaš	
пӱчкаш	püčkaš	
шелаш	šelaš	ʃeˈlɑʃ
шуралташ	šuraltaš	
удыраш	udyraš	
кӱнчаш	künčaš	
ияш	ijaš	
чоҥешташ	čoŋeštaš	
кошташ	koštaš	
толаш	tolaš	toˈlɑʃ
кияш	kijaš	
шинчаш	šinčaš	
шогаш	šogaš	
савырнаш	savyrnaš	
возаш	vozaš	
пуаш	puaš	
кучаш	kučaš	
темдаш	temdaš	
йыгаш	jygaš	
мушкаш	muškaš	
ӱшташ	üštaš	
шупшаш	šupšaš	
шӱкалаш	šükalaš	
кудалташ	kudaltaš	
кылдаш	kyldaš	
ургаш	urgaš	uɾˈɡɑʃ
шотлаш	šotlaš	
ойлаш	ojlaš	
мураш	muraš	
модаш	modaš	
вӱд ӱмбалне кияш	vüd ümbalńe kijaš	
шийалтараш	šijaltaraš	
кылмаш	kylmaš	
лӧчаш	löčaš	
кече	keče	ˈket͡ɕe
тылзе	tylze	ˈtəlze
шӱдыр	šüdyr	
вӱд	vüd	ˈβyð
йӱр	jür	
эҥер	eŋer	
ер	jer	
теҥыз	teŋyz	
шинчал	šinčal	
кӱ	kü	
ошма	ošma	oʃˈmɑ
пурак	purak	
рок	rok	
пыл	pyl	ˈpəl
тӱтыра	tütyra	
кава	kava	kɑˈβɑ
мардеж	mardež	mardeʒ
лум	lum	lum
ий	ij	ˈij
шикш	šikš	
тул	tul	
ломыж	lomyž	
йӱлаш	jülaš	
корно	korno	
курык	kuryk	ˈkurək
йошкар	joškar	joʃˈkɑɾ
ужар	užar	
сар	sar	
ош	oš	
шола	šola	
йӱд	jüd	
кече	keče	ˈket͡ɕe
ий	ij	ˈij
леве	ĺeve	
йӱштӧ	jüštö	jyˈʃtø
тич	tič	
у	u	ˈu
тошто	tošto	
сай	saj	
уда	uda	uˈðɑ
шӱй	šüj	ʃyj
лавыран	lavyran	
вияш	vijaš	
йыргешке	jyrgeške	
кошар	košar	
токмак	tokmak	
яклака	jaklaka	
нӧрӧ	nörö	
кукшо	kukšo	
чынле	čynĺe	
лишне	ĺišńe	
мӱндырнӧ	mündyrnö	
пурла	purla	
шола	šola	
ӱмбалне	ümbalńe	
-ште	-šte	
дене	deńe	ˈðene
да	da	ˈðɑ
гын	gyn	ɡən
садлан	sadlan	sɑðˈlɑn
лÿм	lÿm	
