би	bi	pi
чи	či	ˈt͡ɕʰi
тэр	ter	tʰer
бид	bid	pit
та нар	ta nar	
тэд нар	ted nar	
энэ	ene	en
тэр	ter	tʰer
энд	end	e̝nt
тэнд	tend	tʰe̝nt
хэн	xen	ˈxeŋ
юу	juu	ˈjʊː
хаана	xaana	χäːn
хэзээ	xezee	ˈxet͡seː
яаж	jaaž	
-гүй	-güj	ɡʉ͜i
бүх	büx	pux
олон	olon	ɔ̙.ɮʊ̙̆ɴ̟
зарим	zarim	t͡sarʲəm
цөөн	cöön	t͡sʰoːŋ
өөр	öör	oːr
нэг	neg	neɡ
хоёр	xojor	χɔ.jʊr
гурав	gurav	ɢʊrəw
дөрөв	döröv	tɵruw̜
тав	tav	ˈtʰaw̜
том	tom	tʰɔm
урт	urt	
өргөн	örgön	ørkøŋ
зузаан	zuzaan	t͡sʊt͡saŋ
хүнд	xünd	ˈxunt
жижиг	žižig	
богино	bogino	pɔɡʲən
цухал	cuxal	
нимгэн	nimgen	
эмэгтэй	emegtej	e̝.mɘ̝̆x.tʰeː
эр хүн	er xün	
хүн	xün	
хүүхэд	xüüxed	xuːxət
эхнэр	exner	ˈexner̥
нөхөр	nöxör	nɵ.xur
ээж	eež	
аав	aav	ˈaːw̜
амьтан	amʹtan	æ̝m̥.tʰɜɴ̟
загас	zagas	t͡saɢəs
шувуу	šuvuu	ʃʊwʊ
нохой	noxoj	nɔxɔi
бөөс	böös	poːs
могой	mogoj	ˈmɔɣɔi̯
хорхой	xorxoj	ˈxɔrxɔi̯
мод	mod	mɔt
ой	oj	ɔ͜i
таяг	tajag	tʰajəɡ
жимс	žims	t͡ɕims
үр	ür	ur
навч	navč	ˈnaw̜t͡ɕʰ
үндэс	ündes	un.tɘ̆s
холтос	xoltos	xɔɮtʰəs
цэцэг	ceceg	t͜sʰe̞ʰ.t͜sɘ̝̆k
өвс	övs	ows
олс	ols	
арьс	arʹs	arʲs
мах	max	max
цус	cus	t͡sʰʊs
яс	jas	jäs
өөх	ööx	oːx
өндөг	öndög	
эвэр	ever	e̝.w̜ɘ̆r
сүүл	süül	
өд	öd	ot
үс	üs	
толгой	tolgoj	tʰɔɮɢɔi
чих	čix	t͡ɕʰix
нүд	nüd	
хамар	xamar	
ам	am	am
шүд	šüd	ʃud
хэл	xel	ˈxeɮ
хумс	xums	xʊms
хөл	xöl	
хөл	xöl	
өвдөг	övdög	owtəɡ
гар	gar	ɢar
далавч	dalavč	ˈtaɮaw̜t͡ɕʰ
гэдэс	gedes	ˈketes
гэдэс	gedes	ˈketes
хүзүү	xüzüü	xut͡su
нуруу	nuruu	
хөх	xöx	ˈxɵx
зүрх	zürx	
элэг	eleg	iɮəɡ
уух	uux	ʊːχ
идэх	idex	itəx
хазах	xazax	xat͡səx
сорох	sorox	
хаях	xajax	xajəx
бөөлжих	böölžix	poːɮt͡ɕəx
үлээх	üleex	uɮex
амьсгалах	amʹsgalax	amʲsɢəɮəx
инээх	ineex	
үзэх	üzex	ut͡səx
сонсох	sonsox	sɔnsəx
мэдэх	medex	mitəx
бодох	bodox	ˈpɔtɔx
үнэрлэх	ünerlex	
айх	ajx	
унтах	untax	ʊntʰax
амьдрах	amʹdrax	
үхэх	üxex	
алах	alax	ä.ɮɐ̆χ
тэмцэх	temcex	ˈtʰemt͡sʰex
агнах	agnax	
цохих	coxix	t͡sʰɔxʲəx
хэрчих	xerčix	
хагарах	xagarax	ˈxaɢrəx
хатгах	xatgax	
маажих	maažix	maːt͡ɕəx
ухах	uxax	
сэлэх	selex	seɮəx
нисэх	nisex	nisəx
алхах	alxax	
ирэх	irex	i.rɘ̆x
хэвтэх	xevtex	
суух	suux	sʊːx
зогсох	zogsox	t͡sɔɡsəx
эргэх	ergex	irɡix
унах	unax	ʊnəx
өгөх	ögöx	oɡəx
барих	barix	parʲəx
шахах	šaxax	ʃaxəx
үрэх	ürex	
угаах	ugaax	
арчих	arčix	
татах	tatax	tḁ̈.tɜ̆χ
түлхэх	tülxex	tuɮxəx
шидэх	šidex	
уях	ujax	
оёх	ojox	ɔ.jʊχ
тоолох	toolox	
хэлэх	xelex	xiɮəx
дуулах	duulax	
тоглох	toglox	
хөвөх	xövöx	
урсах	ursax	
хөлдөх	xöldöx	ˈxɵɮtɵx
хавдах	xavdax	
нар	nar	nɐɾ
сар	sar	sʰär
од	od	ɔt
ус	us	ʊ̞s
бороо	boroo	ˈpɔroː
гол	gol	ɢɔɮ
нуур	nuur	no̙ːr
далай	dalaj	tä.ɮæː
давс	davs	taws
чулуу	čuluu	ˈt͡ɕʰʊɮʊː
элс	els	
тоос	toos	
дэлхий	delxii	ˈteɬʰiː
үүл	üül	uːl
манан	manan	manəŋ
тэнгэр	tenger	tʰeŋ.ɡer
салхи	salxi	sæ̝ɬx
цас	cas	t͡sʰas
мөс	mös	mos
утаа	utaa	ʊtʰa
гал	gal	ɢaɮ
үнс	üns	uns
шатаах	šataax	ʃatʰax
зам	zam	ˈt͡sam
уул	uul	ʊː.la
улаан	ulaan	ˈʊɮaːŋ
ногоон	nogoon	nɔ.ɢɔːŋ
шар	šar	ʃar
цагаан	cagaan	t͡saˈɢaːŋ
хар	xar	χar̊
шөнө	šönö	ʃɵn
өдөр	ödör	ˈɵtər̥
жил	žil	
дулаан	dulaan	
хүйтэн	xüjten	
дүүрэн	düüren	
шин	šin	
настай	nastaj	
сайн	sajn	sæːɴ̟
муу	muu	mʊ̙ː
муудсан	muudsan	
бохир	boxir	
шулуун	šuluun	ʃʊɮʊŋ
дугуй	duguj	
хурц	xurc	
мохоодсон	moxoodson	
зөөлөн	zöölön	ˈt͡sɵːɮɵŋ
нойтон	nojton	
хуурай	xuuraj	
зөв	zöv	
ойрхон	ojrxon	
хол	xol	χɔɬ
баруун	baruun	pa.rʊːn
зүүн	züün	d͡ʒuːn
-д	-d	
дотор	dotor	tɔtʰər
-тай	-taj	
ба	ba	ˈpa
хэрвээ	xervee	
ягаад гэвэл	jagaad gevel	
нэр	ner	ˈner̥
