我	wǒ	uɔ²¹⁴
你	nǐ	ni²¹⁴
他	tā	tʰa⁵⁵
我們	wǒmen	uɔ²¹ mən⁰
你們	nǐmen	ni²¹ mən⁰
他們	tāmen	tʰa⁵⁵ mən⁰
這	zhè	tʂɤ⁵¹
那	nà	na⁵¹
這裡	zhèli	tʂɤ⁵¹ li⁰
那裡	nàli	na⁵¹ li⁰
誰	shéi	ʂei³⁵
什麼	shénme	ʂən³⁵ mə⁰
哪裡	nǎli	na³⁵ li⁰
什麼時候	shénmē shíhòu	ʂən³⁵ mə⁵⁵ ʂʐ³⁵ xou⁵¹
如何	rúhé	ʐu³⁵ xɤ³⁵
不	bù	pu⁵¹
全部	quánbù	tɕʰyɛn³⁵ pu⁵¹
多	duō	tuɔ⁵⁵
一些	yīxiē	ji⁵³ ɕiɛ⁵⁵
少	shǎo	ʂɑu²¹⁴
其他	qítā	tɕʰi³⁵ tʰa⁵⁵
一	yī	i⁵⁵
二	èr	ɑɻ⁵¹
三	sān	san⁵⁵
四	sì	sɿ⁵¹
五	wǔ	u²¹⁴
大	dà	ta⁵¹
長	cháng	tʂɑŋ³⁵
寬	kuān	kʰuan⁵⁵
厚	hòu	xou⁵¹
重	zhòng	tʂoŋ⁵¹
小	xiǎo	ɕiɑu²¹⁴
短	duǎn	tuan²¹⁴
窄	zhǎi	tʂai²¹⁴
薄	báo	pɑu³⁵
女人	nǚrén	ny²¹ ʐən³⁵
男人	nánrén	nan³⁵ ʐən³⁵
人	rén	ʐən³⁵
孩子	háizi	xai³⁵ tsɿ⁰
妻子	qīzi	tɕi⁵⁵ tsɿ⁰
丈夫	zhàngfu	tʂɑŋ⁵¹ fu⁰
母親	mǔqīn	mu²¹ tɕin⁵⁵
父親	fùqīn	fu⁵¹ tɕin⁵⁵
動物	dòngwù	toŋ⁵¹ u⁵¹
魚	yú	y³⁵
鳥	niǎo	niɑu²¹⁴
狗	gǒu	kou²¹⁴
虱	shī	ʂʐɨ⁵⁵
蛇	shé	ʂɤ³⁵
蟲	chóng	tʂʰoŋ³⁵
樹	shù	ʂu⁵¹
森林	sēnlín	sən⁵⁵ lin³⁵
樹枝	shùzhī	ʂu⁵¹ tʂʐ⁵⁵
水果	shǔiguǒ	ʂuei³⁵ kuɔ²¹⁴
種子	zhǒngzi	tʂoŋ²¹ tsɿ⁰
葉	yè	iɛ⁵¹
根	gēn	kən⁵⁵
樹皮	shùpí	ʂu⁵¹ pʰi³⁵
花	huā	xua⁵⁵
草	cǎo	tsɑu²¹⁴
繩	shéng	ʂɤŋ³⁵
皮	pí	pʰi³⁵
肉	ròu	ʐou⁵¹
血	xiě	ɕiɛ²¹⁴
骨	gǔ	ku²¹⁴
脂肪	zhīfáng	tʂʐ⁵⁵ faŋ³⁵
蛋	dàn	tan⁵¹
角	jiǎo	tɕiɑu²¹⁴
尾	wěi	uei²¹⁴
羽毛	yǔmáo	y²¹ mɑu³⁵
頭髮	tóufa	tʰou³⁵ fa⁰
頭	tóu	tʰou³⁵ fa⁰
耳朵	ěrduo	aɻ²¹ tuɔ⁰
眼睛	yǎnjing	iɛn²¹ tɕiŋ⁰
鼻	bí	pi³⁵
嘴	zuǐ	tsuei²¹⁴
牙齒	yáchǐ	ia³⁵ tʂʰʐ²¹⁴
舌	shé	ʂɤ³⁵
指甲	zhǐjia	tʂʐ³⁵ tɕia²¹
腳	jiǎo	tɕiɑu²¹⁴
