我	ngou6	ŋəu²³¹
倷	ne6	ne²³¹
倷	ne6	ne²³¹
伲	gni6	ȵi²³¹
俉篤	n6 toq7	n²³ toʔ¹
俚篤	li1 toq7	li⁴ toʔ⁰
哀	e1	e⁴⁴
彎	ue1	ue⁴⁴
哀墶	e1 taeq7	e⁴ taʔ⁰
彎墶	ue1 taeq7	ue⁴ taʔ⁰
啥人	sa5 gnin6	sɑ⁵² ȵin³
啥	sa5	sɑ⁵²³
啥場化	sa5 zan2 ho5	sɑ⁵² zã³ ho⁰
啥辰光	sa5 zen2 kuaon5	sɑ⁵² zən³ kuɑ̃⁰
捺亨	naeq8 han1	naʔ² hã⁵¹
弗	feq7	fəʔ⁴³
一搨括子	iq7 thaeq7 kuaeq7 tsy3	iəʔ⁴ tʰaʔ⁴ kuaʔ² tsɿ⁰
交關	ciau1 kue1	tɕiæ⁴ kue⁰
一點	iq7 tie3	iəʔ⁵ tɪ⁵¹
少	sau3	sæ⁵¹
其他	ji2 tha1	dʑi² tʰɑ³
一	iq7	iəʔ⁴³
兩	lian6	liã²³¹
三	se1	se⁴⁴
四	sy5	sɿ⁵²³
五	ng6	
大	dou6	dəu²³¹
長	zan6	zã²²³
闊	khueq7	kʰuəʔ⁴³
厚	gheu6	ɦøʏ²³¹
重	zon2	zoŋ²²³
小	siau3	siæ⁵¹
短	toe3	tø⁵¹
狹	ghaq8	ɦaʔ²³
薄	boq8	boʔ²³
女人	gniu6 gnin2	ȵy² ȵin³
男人	noe2 gnin2	nø² ȵin³
人	gnin2	ȵin²²³
小干兒	siau3 koe1 ng6	siæ⁵² kø³ ŋ⁰
家小	ka1 siau3	kɑ⁴ siæ⁰
男人	noe2 gnin2	nø² ȵin³
媽媽	ma1 ma1	mɑ⁴ mɑ⁰
爸爸	pa1 pa1	pɑ⁴ pɑ⁰
動物	don6 veq8	doŋ² vəʔ³
魚	ng6	
鳥	tiau3	tiæ⁵¹
狗	keu3	køʏ⁵¹
白蝨	baq8 seq7	bɑʔ³ səʔ⁴
蛇	zo2	zo²²³
蟲	zon2	zoŋ²²³
樹	zyu6	zʮ²³¹
森林	sen1 lin2	sən⁴ lin⁰
棒頭	baon6 deu2	bɑ̃²³ døʏ¹
水果	syu3 kou3	sʮ⁵ kəu¹
籽	tsy3	tsɿ⁵¹
葉子	yiq8 tsy3	ɦiəʔ³ tsɿ⁴
根	ken1	kən⁴⁴
