ја	ja	jâː
ти	ti	tîː
он	on	ôːn
ми	mi	mîː
ви	vi	ʋîː
они	oni	ǒni
овај	ovaj	ǒʋaːj
тај	taj	tâːj
овде	ovde	ǒːʋde
тамо	tamo	tâmo
ко	ko	kô
што	što	ʃtô
где	gde	ɡdê
када	kada	kǎda
како	kako	kâko
не	ne	ne
сав	sav	sâʋ
много	mnogo	mnôɡo
неколико	nekoliko	nêkoliko
мало	malo	mâlo
други	drugi	drûɡiː
један	jedan	jědan
два	dva	dʋâː
три	tri	trîː
четири	četiri	t͡ʃětri
пет	pet	pêːt
велик	velik	ʋělik
дуг	dug	dûːɡ
широк	širok	ʃǐrok
дебео	debeo	děbeo
тежак	težak	těːʒak
мали	mali	
кратак	kratak	krǎtak
узак	uzak	ûzak
танак	tanak	tânak
жена	žena	ʒěna
мушкарац	muškarac	muʃkǎːrat͡s
човек	čovek	t͡ʃôʋek
дете	dete	
жена	žena	ʒěna
муж	muž	mûːʒ
мати	mati	mâti
отац	otac	ǒtat͡s
животиња	životinja	ʒiʋǒtiɲa
риба	riba	rîba
птица	ptica	ptît͡sa
пас	pas	pâs
уш	uš	ûːʃ
змија	zmija	zmǐja
црв	crv	t͡sr̩̂ːʋ
дрво	drvo	dr̂ʋo
шума	šuma	ʃûma
штап	štap	ʃtâːp
воће	voće	ʋǒt͡ɕe
семе	seme	sême
лист	list	lîːst
корен	koren	kôreːn
кора	kora	kôra
цвет	cvet	t͡sʋêːt
трава	trava	trǎːʋa
уже	uže	
кожа	koža	kôʒa
месо	meso	mêːso
крв	krv	kr̩̂ːʋ
кост	kost	
маст	mast	mâːst
јаје	jaje	jǎːje
рог	rog	rôːɡ
реп	rep	rêːp
перо	pero	pěro
коса	kosa	kǒsa
глава	glava	ɡlǎːʋa
ухо	uho	ûxo
око	oko	ôko
нос	nos	nôːs
уста	usta	ǔːsta
зуб	zub	zûːb
језик	jezik	jězik
нокат	nokat	
стопа	stopa	stǒpa
нога	noga	
колено	koleno	kǒleno
рука	ruka	rǔːka
крило	krilo	krǐːlo
стомак	stomak	stômaːk
црево	crevo	
врат	vrat	ʋrâːt
леђа	leđa	lěːd͡ʑa
груди	grudi	ɡrûːdi
срце	srce	sr̩̂t͡se
јетра	jetra	jêtra
пити	piti	pîti
јести	jesti	jêsti
ујести	ujesti	ǔjesti
сисати	sisati	sîsati
пљувати	pljuvati	pʎûʋati
повраћати	povraćati	pǒʋrat͡ɕati
дувати	duvati	dǔːʋati
дисати	disati	
смејати	smejati	smějati
видети	videti	ʋîdeti
чути	čuti	t͡ʃûti
знати	znati	znâti
мислити	misliti	mîsliti
њушити	njušiti	ɲûʃiti
плашити	plašiti	plâʃiti
спавати	spavati	spǎːʋati
живети	živeti	ʒǐːʋeti
умрети	umreti	ǔmreːti
убити	ubiti	ǔbiti
тући	tući	tûːt͡ɕi
ловити	loviti	lǒʋiti
ударати	udarati	ǔdarati
сећи	seći	sêt͡ɕi
делити	deliti	děːliti
убости	ubosti	ǔbosti
чешати	češati	t͡ʃěʃati
копати	kopati	kǒpati
пливати	plivati	plîʋati
летети	leteti	lěteti
ходати	hodati	xǒːdati
долазити	dolaziti	dǒlaziti
лежати	ležati	lěʒati
седети	sedeti	sědeti
стајати	stajati	stâjati
скренути	skrenuti	skrěːnuti
пасти	pasti	pâsti
дати	dati	dâti
држати	držati	dřʒati
стиснути	stisnuti	stîsnuti
трљати	trljati	třːʎati
прати	prati	prâti
брисати	brisati	brîsati
вући	vući	ʋûːt͡ɕi
гурати	gurati	ɡǔːrati
бацити	baciti	bǎːt͡siti
везати	vezati	ʋěːzati
шити	šiti	ʃîti
бројати	brojati	brǒjati
рећи	reći	rêt͡ɕi
певати	pevati	pêʋati
играти	igrati	îɡrati
плутати	plutati	plǔtati
тећи	teći	têt͡ɕi
заледити	zalediti	zalěditi
отећи	oteći	ǒtetɕi
сунце	sunce	sûːnt͡se
месец	mesec	mêseːt͡s
звезда	zvezda	zʋěːzda
вода	voda	ʋǒda
дажд	dažd	dâʒd
река	reka	rěːka
језеро	jezero	jêzero
море	more	môːre
сол	sol	sôːl
камен	kamen	kâmeːn
песак	pesak	pěːsak
прах	prah	prâːx
земља	zemlja	zěmʎa
облак	oblak	ôblaːk
магла	magla	mǎɡla
небо	nebo	ˈnêbo
ветар	vetar	ʋêtar
снег	sneg	snêːɡ
лед	led	lêːd
дим	dim	dîm
огањ	vatra	ʋâtra
пепео	pepeo	pêpeo
горети	goreti	ɡǒreti
пут	put	pûːt
гора	gora	ɡǒra
црвен	crven	tsřʋen
зелен	zelen	zělen
жут	žut	ʒûːt
бео	beo	bêo
црн	crn	t͡sr̩̂ːn
ноћ	noć	nôːt͡ɕ
дан	dan	dâːn
година	godina	ɡôdina
топао	topao	tôpao
хладан	hladan	xlǎːdan
пун	pun	pûn
нов	nov	nôʋ
стар	star	stâr
добар	dobar	dôbar
лош	loš	lôʃ
труо	truo	trûo
прљав	prljav	pr̂ʎaʋ
прав	prav	prâʋ
обао	obao	ôbao
оштар	oštar	ôʃtar
туп	tup	tûːp
гладак	gladak	ɡlâdak
мокар	mokar	môkar
сув	suh	sûːx
тачан	tačan	tât͡ʃan
близак	blizak	blîzak
далек	dalek	dǎlek
десни	desni	dêːsni
леви	levi	lêːʋiː
код	kod	kôd
у	u	u
с	s	s
и	i	i
ако	ako	âko
зато	zato	zǎtoː
име	ime	îme
