ᠪᡳ	bi	pi
ᠰᡳ	si	ɕi
ᡳ	i	i
ᠪᡝ	be	pə
ᠰᡠᠸᡝ	suwe	swə
ᠴᡝ	ce	t͡ʃʰə
ᡝᡵᡝ	ere	ə.rə
ᡨᡝᡵᡝ	tere	tʰə.rə
ᡠᠪᠠ	uba	
ᡨᡠᠪᠠ	tuba	
ᠸᡝ	we	wə
ᠠᡳ	ai	ai
ᠶᠠᠪᠠ	yaba	
ᠠᡨᠠᠩᡤᡳ	atanggi	a.tʰaŋ.ŋi
ᠠᠪᠰᡳ	absi	
ᠸᠠᡴᠠ	waka	wa.qʰa
ᡝᡳᡨᡝᠨ	eiten	əi.tʰən
ᠯᠠᠪᡩᡠ	labdu	lap.tu
ᡝᠮᡝᠮᡠ	ememu	
ᡴᠣᠮᠰᠣ	komso	qʰɔm.sɔ
ᡝᠨᠴᡠ	encu	
ᡝᠮᡠ	emu	ə.mu
ᠵᡠᠸᡝ	juwe	t͡ʃwə
ᡳᠯᠠᠨ	ilan	i.lan
ᡩᡠᡳᠨ	duin	tuin
ᠰᡠᠨᠵᠠ	sunja	sun.t͡ʃa
ᠠᠮᠪᠠ	amba	am.pa
ᡤᠣᠯᠮᡳᠨ	golmin	qɔl.min
ᠣᠨᠴᠣ	onco	ɔn.t͡ʃʰɔ
ᠵᡳᡵᠠᠮᡳᠨ	jiramin	t͡ɕi.ra.min
ᡠᠵᡝᠨ	ujen	u.t͡ʃən
ᠠᠵᡳᡤᡝ	ajige	a.t͡ɕi.kə
ᡶᠣᡥᠣᠯᠣᠨ	foholon	fɔ.χɔ.lɔn
ᡥᠠᡶᡳᡵᠠᡥᡡᠨ	hafirahūn	
ᠨᡝᡴᡝᠯᡳᠶᡝᠨ	nekeliyen	nə.kʰəl.jən
ᡥᡝᡥᡝ	hehe	χə.χə
ᡥᠠᡥᠠ	haha	χa.χa
ᠨᡳᠶᠠᠯᠮᠠ	niyalma	ɲal.ma
ᠵᡠᡳ	jui	t͡ʃui
ᠰᠠᡵᡤᠠᠨ	sargan	sar.qan
ᡝᡳᡤᡝᠨ	eigen	əi.kən
ᡝᠮᡝ	eme	ə.mə
ᠠᠮᠠ	ama	a.ma
ᡤᡠᡵᡤᡠ	gurgu	kur.ku
ᠨᡳᠮᠠᡥᠠ	nimaha	ni.ma.χa
ᡤᠠᠰᡥᠠ	gasha	qas.χa
ᡳᠨᡩᠠᡥᡡᠨ	indahūn	in.ta.χʊn
ᠴᡳᡥᡝ	cihe	t͡ɕʰi.χə
ᠮᡝᡳᡥᡝ	meihe	məi.χə
ᡠᠮᡳᠶᠠᡥᠠ	umiyaha	um.ja.χa
ᠮᠣᠣ	moo	moː
ᠪᡠᠵᠠᠨ	bujan	pu.t͡ʃan
ᠮᡠᡴᡧᠠᠨ	mukšan	
ᡨᡠᠪᡳᡥᡝ	tubihe	tʰu.pi.χə
ᡠᠰᡝ	use	u.sə
ᠠᠪᡩᠠᡥᠠ	abdaha	ap.ta.χa
ᡶᡠᠯᡝᡥᡝ	fulehe	fu.lə.χə
ᠨᠣᡨᡥᠣ	notho	
ᡳᠯᡥᠠ	ilha	il.χa
ᠣᡵᡥᠣ	orho	ɔr.χɔ
ᡶᡠᡨᠠ	futa	fu.tʰa
ᠰᡠᡴᡡ	sukū	su.qʰʊ
ᠶᠠᠯᡳ	yali	ja.li
ᠰᡝᠩᡤᡳ	senggi	səŋ.ŋi
ᡤᡳᡵᠠᠩᡤᡳ	giranggi	ki.raŋ.ŋi
ᡳᠮᡝᠩᡤᡳ	imenggi	
ᡠᠮᡥᠠᠨ	umhan	um.χan
ᡠᡳᡥᡝ	uihe	ui.χə
ᡠᠨᠴᡝᡥᡝᠨ	uncehen	un.t͡ʃʰə.χən
ᡩᡝᡨᡥᡝ	dethe	tətʰ.χə
ᡶᡠᠨᡳᠶᡝᡥᡝ	funiyehe	fu.ɲə.χə
ᡠᠵᡠ	uju	u.t͡ʃu
ᡧᠠᠨ	šan	ʃan
ᠶᠠᠰᠠ	yasa	ja.sa
ᠣᡶᠣᡵᠣ	oforo	ɔ.fɔ.rɔ
ᠠᠩᡤᠠ	angga	aŋ.ŋa
ᠸᡝᡳᡥᡝ	weihe	wəi.χə
ᡳᠯᡝᠩᡤᡠ	ilenggu	i.ləŋ.ŋu
ᡥᡳᡨᠠᡥᡡᠨ	hitahūn	xi.tʰa.χʊn
ᠪᡝᡨᡥᡝ	bethe	pətʰ.χə
ᠪᡝᡨᡥᡝ	bethe	pətʰ.χə
ᡨᠣᠪᡤᡳᠶᠠ	tobgiya	tʰɔp.kja
ᡤᠠᠯᠠ	gala	qa.la
ᠠᠰᡥᠠ	asha	as.χa
ᡥᡝᡶᡝᠯᡳ	hefeli	χə.fə.li
ᡩᡠᡥᠠ	duha	tu.χa
ᠮᠣᠩᡤᠣᠨ	monggon	mɔŋ.ŋɔn
ᡶᡳᠰᠠ	fisa	fi.sa
ᡥᡠᡥᡠᠨ	huhun	χu.χun
ᠨᡳᠶᠠᠮᠠᠨ	niyaman	ɲa.man
ᡶᠠᡥᡡᠨ	fahūn	fa.χʊn
ᠣᠮᡳᠮᠪᡳ	omimbi	
ᠵᡝᠮᠪᡳ	jembi	
ᠰᠠᡳᠮᠪᡳ	saimbi	
ᡤᠣᠴᡳᠮᠪᡳ	gocimbi	
ᠴᡳᡶᡝᠯᡝᠮᠪᡳ	cifelembi	
ᡶᡠᠶᠠᡴᡳᠶᠠᠮᠪᡳ	fuyakiyambi	
ᡶᡠᠯᡤᡳᠶᡝᠮᠪᡳ	fulgiyembi	
