мин	min	mʲen
һин	hin	hʲen
ул	ul	oɫ
беҙ	beź	bɪ̞ð
һеҙ	heź	hɪ̞ð
улар	ular	uˈɫɑr
был	bıl	bɯ̞ɫ
теге	tege	
бында	bında	
тегендә	tegendə	
кем	kem	kɪ̞m
нимә	nimə	ˈnʲi.mæ
ҡайҙа	qayźa	ˈqɑjðɑ
ҡасан	qasan	ˈqɑsɑn
нисек	nisek	ˈnʲi.sɪ̞k
түгел	tügel	ˈtɵ.ɡɪ̞l
бөтә	bötə	ˈbʏ̞.tæ
күп	küp	kɵp
бер нисә	ber nisə	ˈbɪ̞ɾ.nʲeˌsæ
әҙ	əź	æð
башҡа	başqa	bɑʂˈqɑ
бер	ber	bɪ̞ɾ
ике	ike	eˈkɪ̞
өс	ös	ʏ̞s
дүрт	dürt	dɵɾt
биш	biş	bʲiʃ
ҙур	źur	ður
оҙон	oźon	ʊ̞.ˈðʊ̞n
киң	kiñ	ˈkʲeŋ
ҡалын	qalın	qɑˈɫɯ̞n
ауыр	awır	ɑˈwɯ̞ɾ
бәләкәй	bələkəy	bæ.læˈkæj
ҡыҫҡа	qıśqa	qɯ̞θ.ˈqɑ
тар	tar	ˈtɑr
йоҡа	yoqa	jʊ̞ˈqɑ
ҡатын	qatın	qɑˈtɯ̞n
ир	ir	irĕ
кеше	keşe	kɪ̞ˈʃɪ̞
бала	bala	bɑˈɫɑ
ҡатын	qatın	qɑˈtɯ̞n
ир	ir	irĕ
әсәй	əsəy	æˈsæj
атай	atay	ɑˈtɑj
йәнлек	yənlek	
балыҡ	balıq	bɑˈɫɯ̞q
ҡош	qoş	qʊ̞ʂ
эт	et	ɪ̞t
бет	bet	bɪ̞t
йылан	yılan	jɯ̞.ˈɫɑn
ҡорт	qort	qʊ̞rt
ағас	ağas	ɑˈʁɑs
урман	urman	urˈmɑn
таяҡ	tayaq	tɑ.ˈjɑq
емеш	yemeş	jɪ̞ˈmɪ̞ʃ
