эпӗ	ep̬ĕ	ˈebʲ(ɘ)
эсӗ	es̬ĕ	ˈezʲ(ɘ)
вӑл	văl	ˈʋŏl
эпир	ep̬ir	eˈbʲirʲ
эсир	es̬ir	eˈzʲirʲ
вӗсем	vĕs̬em	ʋʲ(ə)ˈzʲemʲ
ку	ku	ˈku
лешӗ	leš̬ĕ	ˈlʲeʒʲ(ə)
кунта	kunt̬a	kunˈda
унта	unt̬a	unˈda
кам	kam	ˈkam
мӗн	mĕn	ˈmʲø̆nʲ
ӑҫта	ăśta	əɕˈta
хӑҫан	hăś̬an	χ(ə)ˈʑan
мӗнле	mĕnle	mʲənʲˈlʲe
ҫук	śuk	ˈɕuk
пӗтӗм	pĕt̬ĕm	ˈpʲø̆dʲəmʲ
нумай	numaj	nuˈmaj
темиҫе	temiś̬e	tʲemʲiˈʑʲe
сахал	sah̬al	saˈɣal
урӑх	urăh	ˈurăχ
пӗрре	pĕrre	pʲɘˈrːʲe
иккӗ	ikkĕ	ˈikːʲ(ə)
виҫҫӗ	viśśĕ	ˈʋʲiɕːʲ(ɘ)
тӑваттӑ	tăvattă	təˈʋatː(ə)
пиллӗк	pillĕk	ˈpʲilːʲɘkʲ
пысӑк	pys̬ăk	ˈpɯz(ə)k
вӑрӑм	vărăm	ˈʋŏr(ə)m
сарлака	sarlak̬a	sarlaˈɡa
хулӑн	hulăn	ˈχul(ə)n
йывӑр	jyvăr	ˈjɯʋər
пӗчӗк	pĕč̬ĕk	ˈpʲø̆dʑʲəkʲ
кӗске	kĕske	kʲəsʲˈkʲe
ансӑр	ans̬ăr	ˈanzər
ҫӳхе	śüh̬e	ɕʲyˈɣʲe
хӗрарӑм	hĕrarăm	χʲɘˈrar(ə)m
арҫын	arś̬yn	arˈʑɯn
ҫын	śyn	ˈɕɯn
ача	ač̬a	aˈdʒa
арӑм	arăm	ˈar(ə)m
упӑшка	up̬ăška	ub(ə)ʃˈka
анне	anne	aˈnːʲe
атте	atte	aˈtːʲe
чӗрчун	čĕrč̬un	tɕʲərˈdʒun
пулӑ	pulă	ˈpul(ə)
кайӑк	kajăk	ˈkaj(ə)k
йытӑ	jyt̬ă	ˈjɯd(ə)
пыйтӑ	pyjt̬ă	ˈpɯjd(ə)
ҫӗлен	śĕlen	ɕʲ(ə)ˈlʲenʲ
ӑман	ăman	(ə)ˈman
йывӑҫ	jyvăś	ˈjɯʋ(ə)ɕ
вӑрман	vărman	ʋərˈman
патак	pat̬ak	paˈdak
ҫимӗҫ	śimĕś	ɕʲimʲ(ɘ)ɕʲ
вӑрлӑх	vărlăh	ˈʋŏrləχ
ҫулҫӑ	śulś̬ă	ˈɕulʑ(ə)
тымар	tymar	tɯˈmar
хупӑ	hup̬ă	ˈχub(ə)
чечек	čeč̬ek	tɕʲeˈdʑʲek
курӑк	kurăk	ˈkur(ə)k
вӗрен	vĕren	ʋʲ(ɘ)ˈrʲen
тир	tir	tʲir
аш	aš	ˈaʃ
юн	jun	ˈjun
шӑмӑ	šămă	ˈʃŏmə
ҫу	śu	ˈɕu
ҫӑмарта	śămart̬a	ɕəmarˈda
мӑйрака	măjrak̬a	məjraˈɡa
хӳре	hüre	xʲyˈrʲe
тӗк	tĕk	ˈtʲø̆kʲ
ҫӳҫ	śüś	ˈɕʲyɕ
пуҫ	puś	ˈpuɕ
хӑлха	hălh̬a	ˈχəlɣa
куҫ	kuś	ˈkuɕ
сӑмса	săms̬a	səmˈza
ҫӑвар	śăvar	ɕ(ə)ˈʋar
шӑл	šăl	ˈɕŏl
чӗлхе	čĕlh̬e	tɕʲɘlˈɣʲe
чӗрне	čĕrne	tɕʲɘrˈnʲe
ура	ura	uˈra
пӗҫӗ	pĕś̬ĕ	ˈpʲø̆ʑʲ(ɘ)
чӗркуҫҫи	čĕrk̬uśśi	tʃʲø̆r ɡuˈɕːʲi
алӑ	ală	ˈalə
ҫунат	śunat	ɕuˈnat
хырӑм	hyrăm	ˈxɯr(ə)m
пыршӑ	pyrš̬ă	ˈpɯrʒ(ə)
мӑй	măj	ˈmŏj
ҫурӑм	śurăm	ˈɕur(ə)m
кӑкӑр	kăk̬ăr	ˈkŏɡ(ə)r
чӗре	čĕre	tʃʲ(ə)ˈrʲe
пӗвер	pĕver	pʲ(ə)ˈʋʲer
ӗҫ	ĕś	ˈø̆ɕʲ
ҫи	śi	ˈɕʲi
ҫырт	śyrt	ˈɕɯrd
ӗм	ĕm	ˈø̆mʲ
сур	sur	ˈsur
хӑс	hăs	ˈxŏs
вӗр	vĕr	ˈʋʲø̆rʲ
сывла	syvla	sɯʋˈla
кул	kul	ˈkul
кур	kur	ˈkur
илт	ilt	ˈilʲdʲ
пӗл	pĕl	ˈpʲø̆lʲ
шухӑшла	šuh̬ăšla	ʃuɣ(ə)ʃˈla
шӑршла	šăršla	ʃəʃˈla
хӑра	hăra	χəˈra
ҫывӑр	śyvăr	ˈɕɯʋ(ə)r
пурӑн	purăn	ˈpur(ə)n
вил	vil	ʋʲilʲ
вӗлер	vĕler	ʋʲ(ə)ˈlʲerʲ
ҫапӑҫ	śap̬ăś	ˈɕab(ə)ɕ
сунара ҫӳре	sunara ś̬üre	
ҫап	śap	ˈɕap
кас	kas	ˈkas
пайла	pajla	pajˈla
чик	čik	tʃʲikʲ
чӑрмала	čărmala	t͡ʃərmaˈla
алт	alt	ˈald
иш	iš	ˈiʃʲ
вӗҫ	vĕś	ˈʋʲø̆ʃʲ
ут	ut	ˈut
кил	kil	kʲilʲ
вырт	vyrt	ˈvɯrd
лар	lar	ˈlar
тӑ	tă	ˈtŏ
пӑр	păr	ˈpŏr
тӳн	tün	ˈtʲynʲ
пар	par	ˈpar
тыт	tyt	ˈtɯt
хӗс	hĕs	xʲø̆sʲ
сӑтӑр	săt̬ăr	ˈsŏd(ə)r
ҫу	śu	ˈɕu
шӑл	šăl	ˈʃŏl
турт	turt	ˈturd
тӗк	tĕk	ˈtʲø̆kʲ
ывӑт	yvăt	ˈɯʋ(ə)t
кӑкар	kăk̬ar	k(ə)ɡar
ҫӗле	śĕle	ɕʲɘˈlʲe
шутла	šutla	ʃutˈla
те	te	ˈtʲe
юрла	jurla	jurˈla
выля	vylja	vɯˈlʲa
иш	iš	ˈiʃʲ
юх	juh	ˈjuχ
шӑн	šăn	ˈʃŏn
