мен	men	mɛ̃n
сен	sen	
ол	ol	
бис	bis	
силер	siler	
олар	olar	
бо	bo	pɔ
ол	ol	
мында	mında	mɯnˈda
ында	ında	ɯnˈda
кым	kım	qɯm
чүү	çüü	t͡ʃʏː
кайда	kayda	qajˈda
кажан	kajan	qaˈʒan
кандыг	kandıg	qanˈdɯɣ
эвес	eves	ɛˈβɛs
бүгү	bügü	pʏˈɣʏ
хөй	xöy	xøj
каш	kaş	qǎʃ
эвээш	eveeş	ɛˈβɛːʃ
өске	öske	øsˈkɛ
бир	bir	bɪr
ийи	iyi	ɪ̰.jɪ
үш	üş	ʏʃ
дөрт	dört	tørt
беш	beş	pɛʃ
улуг	ulug	ʊˈlʊɣ
узун	uzun	ʊˈzʊn
делгем	delgem	tɛlˈɡɛm
кылын	kılın	
аар	aar	aːr
биче	biçe	
чолдак	çoldak	
тар	tar	
чиңге	çiñge	
херээжен	xereejen	xɛˌrɛːˈʒɛn
эр	кижи	ɛr
кижи	kiji	kɪ̰.ʒɪ
уруг	urug	ʊˈrʊɣ
кадай	kaday	qaˈdaj
эр	er	ɛr
ие	ie	
ада	ada	
аң-мең	añ-meñ	
балык	balık	bɐ.lɤk̠
куш	kuş	
ыт	ıt	
быт	bıt	pɯt
чылан	çılan	
курт	kurt	qʊrt
ыяш	ıyaş	ɯˈjaʃ
арга	arga	arˈɣa
будук	buduk	pʊˈdʊq
чимис	çimis	
үрезин	ürezin	
бүрү	bürü	pʏˈrʏ
дазыл	dazıl	dɐ.zɤl
чөвүрээ	çövüree	
чечек	çeçek	t͡ʃɛˈt͡ʃɛk
оът	òt	
хендир	xendir	
кеш	keş	kɛʃ
эът	èt	ḛt
хан	xan	χan
сөөк	söök	
үс	üs	
чуурга	çuurga	
мыйыс	mıyıs	
кудурук	kuduruk	
чүг	çüg	
чаш	çaş	t͡ʃǎʃ
баш	baş	pǎʃ
кулак	kulak	qʊˈɫaq
карак	karak	qaˈraq
думчук	dumçuk	tʊmˈt͡ʃʊq
аас	aas	ɐːs
диш	diş	tɪʃ
дыл	dıl	tɯɫ
дыргак	dırgak	
даван	davan	
бут	but	pʊt
дискек	diskek	tɪsˈke̞q
хол	xol	
чалгын	çalgın	
ижин	ijin	ɪˈʒɪn
шөйүндү	şöyündü	
моюн	moyun	
оорга	oorga	ɔːrˈʁa
эмиг	emig	
чүрек	çürek	t͡ʃʏˈrek
баар	baar	paːr
ижер	ijer	ɪˈʒe̞r
чиир	çiir	t͡ʃɪːr
ызырар	ızırar	
сорар	sorar	sɔˈrar
дүкпүрер	dükpürer	
кузар	kuzar	
үрер	ürer	
тынар	tınar	tʰɯˈnar
каттырар	kattırar	qa.tːɯˈrar
көөр	köör	køːr
дыңнаар	dıñnaar	tɯŋˈnaːr
билир	bilir	pɪˈlɪr
бодаар	bodaar	pɔˈdaːr
чыттаар	çıttaar	
коргар	korgar	qɔrˈʁar
удуур	uduur	ʊˈdʊːr
чурттаар	çurttaar	t͡ʃʊ̰rt.tɐːr
өлүр	ölür	øˈlʏr
өлүрер	ölürer	ø.lʏˈrɛr
демисежир	demisejir	
