мин	min	mi̞n̪
эн	en	
кини	kini	
биһиги	bihigi	
эһиги	ehigi	
кинилэр	kiniler	
бу	bu	
ол	ol	
манна	manna	
онно	onno	
ким	kim	
туох	tuoq	
ханна	qanna	xanˈna
хаһан	qahan	
хайдах	qaydaq	
суох	suoq	su͡oq
бары	barı	barɯ
элбэх	elbeq	
хас да	qas da	
аҕыйах	ağıyaq	
атын	atın	
биир	biir	biːɾ
икки	ikki	ikˈki
үс	üs	ys
түөрт	tüört	
биэс	bies	
улахан	ulaqan	ʊ.l̺ɑ̽.q͡χɑ̽n̺̚
уһун	uhun	
киэҥ	kieñ	
халыҥ	qalıñ	
ыар	ıar	
кыра	kıra	
кылгас	kılgas	
кыараҕас	kıarağas	
синньигэс	sinnyiges	
дьахтар	jaqtar	
эр киһи	er kihi	
киһи	kihi	ki.hi
оҕо	oğo	ɔ.ʁɔ
ойох	oyoq	
эр	er	
ийэ	iye	
аҕа	ağa	
кыыл	kııl	
балык	balık	
көтөр	kötör	
ыт	ıt	
быт	bıt	
моҕой	moğoy	
үөн	üön	
мас	mas	
тыа	tıa	ˈtɯ͡a
мас	mas	
фрукт	frukt	
туораах	tuoraaq	tuoraax
сэбирдэх	sebirdeq	
силис	silis	
хатырык	qatırık	
сибэкки	sibekki	
от	ot	
быа	bıa	
тирии	tirii	
эт	et	
хаан	qaan	
уҥуох	uñuoq	
сыа	sıa	
сымыыт	sımııt	
муос	muos	
кутурук	kuturuk	
түү	tüü	
баттах	battaq	
төбө	töbö	
кулгаах	kulgaaq	
харах	qaraq	
мурун	murun	
айах	ayaq	ɑ̽.j̃ɑ̽qʰ
тиис	tiis	
тыл	tıl	
тыҥырах	tıñıraq	
атах	ataq	
буут	buut	
тобук	tobuk	
илии	ilii	
кынат	kınat	
ис	is	
оһоҕос	ohoğos	
моонньу	moonnyu	
кэлин	kelin	
эмиий	emiiy	
сүрэх	süreq	sy.ɾeq
быар	bıar	
ис	is	
аһаа	ahaa	ɑ̽.ɦɑ̝ː
ытыр	ıtır	
эм	em	
силлээ	sillee	
хотуолат	qotuolat	
үр	ür	
тыын	tıın	
күл	kül	
көр	kör	
иһит	ihit	
бил	bil	
санаа	sanaa	
сыттаа	sıttaa	
куттан	kuttan	
утуй	utuy	
олор	olor	
өл	öl	
өлөр	ölör	
охсус	oqsus	
бултаа	bultaa	
оҕус	oğus	
кыс	kıs	
хайыт	qayıt	
батары саай	batarı saay	
тарбаа	tarbaa	
хас	qas	
уһун	uhun	
көт	köt	
бар	bar	
кэл	kel	
сыт	sıt	
олор	olor	
тур	tur	
эргит	ergit	
түс	tüs	
биэр	bier	
тут	tut	
ык	ık	
аал	aal	
сууй	suuy	
сот	sot	
тарт	tart	
үт	üt	
бырах	bıraq	
баай	baay	
тик	tik	
аах	aaq	
эт	et	
ыллаа	ıllaa	ɨl.laː
оонньоо	oonnyoo	oːɲ.ɲoː
уһун	uhun	
сүүр	süür	
тоҥ	toñ	
иһэн таҕыс	ihen tağıs	
күн	kün	kyn
ый	ıy	
сулус	sulus	
уу	uu	
самыыр	samıır	
өрүс	örüs	øˈɾys
күөл	küöl	
байҕал	bayğal	baj.ʁal
туус	tuus	
таас	taas	
кумах	kumaq	
быыл	bııl	ˈbɯːl
сир	sir	
былыт	bılıt	
туман	tuman	
халлаан	qallaan	
тыал	tıal	
хаар	qaar	
муус	muus	muːs
буруо	buruo	
уот	uot	
күл	kül	
умай	umay	
суол	suol	
хайа	qaya	
кыһыл	kıhıl	
күөх	küöq	ky͡ø̞q
араҕас	arağas	
үрүҥ	ürüñ	
хара	qara	qa.ɾa
түүн	tüün	
күн	kün	kyn
сыл	sıl	
сылаас	sılaas	
мүлүүн	mülüün	
толору	toloru	
саҥа	saña	
эргэ	erge	
үчүгэй	ücügey	
куһаҕан	kuhağan	
сытыйбыт	sıtıybıt	
кирдээх	kirdeeq	
көнө	könö	
төгүрүк	tögürük	
сытыы	sıtıı	
сыппах	sıppaq	
дэхси	deqsi	
инчэҕэй	inceğey	
кураанах	kuraanaq	
сөп	söp	
чугас	cugas	
ыраах	ıraaq	
уҥа	uña	
хаҥас	qañas	
-га	-ga	
иһигэр	ihiger	
кытта	kıtta	
уонна	uonna	u͡on.na
буоллаҕына	buollağına	
иһин	ihin	
аат	aat	ɑ̝ːt̪
