ме	me	ˈme
тэ	te	ˈte
сійӧ	sijö	ˈsijɘ
ми	mi	ˈmi
ті	ti	ˈti
найӧ	najö	ˈnajɘ
тайӧ	tajö	ˈtɑjə
сійӧ	sijö	ˈsijɘ
тані	tani	
сэні	seni	
коді	kodi	ˈkodi
мый	myj	ˈmɯj
кӧні	köni	
кор	kor	ˈkor
кыдзи	kydźi	
абу	abu	ˈabu
быд	byd	ˈbɯd
уна	una	ˈuna
неуна	ńeuna	
этша	eča	
мӧд	möd	ˈmɘd
ӧти	öťi	ˈɘci
кык	kyk	ˈkɯk
куим	kuim	ˈkuim
нёль	ńoľ	ˈɲoʎ
вит	vit	ˈʋit
ыджыд	ydžyd	ˈɯd͡ʒɯd
кузь	kuź	ˈkuʑ
паськыд	paśkyd	ˈpaɕkɯd
кыз	kyz	ˈkɯz
сьӧкыд	śökyd	ˈsʲəkɨd
дзолыд	dźolyd	
дженьыд	džeńyd	
векни	vekńi	
вӧсни	vösńi	
ань	ań	ˈaɲ
ай	aj	ˈaj
морт	mort	ˈmort
кага	kaga	ˈkaɡa
гӧтыр	götyr	ˈɡɘtɯr
верӧс	verös	ˈʋerɘs
энь	eń	ˈeɲ
ай	aj	ˈaj
пемӧс	pemös	
чери	ćeri	ˈt͡ɕeri
лэбач	lebać	ˈlebat͡ɕ
пон	pon	ˈpon
той	toj	
кый	kyj	ˈkɯj
вегыль	vegyľ	
пу	pu	ˈpu
вӧр	vör	ˈʋɘr
бедь	beď	ˈbeɟ
вотӧс	votös	
кӧйдыс	köjdys	
кор	kor	ˈkor
вуж	vuž	ˈʋuʒ
кырсь	kyrś	
дзоридз	dźoridź	ˈd͡ʑorid͡ʑ
турун	turun	
гез	gez	ˈɡez
ку	ku	
яй	jaj	ˈjaj
вир	vir	ˈʋir
лы	ly	ˈlɯ
тшӧг	čög	ˈt͡ʃəɡ
кольк	koľk	ˈkoʎk
сюр	śur	ˈɕur
бӧж	böž	ˈbɘʒ
гӧн	gön	ˈɡɘn
си	śi	ˈɕi
юр	jur	ˈjur
пель	peľ	ˈpeʎ
син	śin	ˈɕin
ныр	nyr	ˈnɯr
вом	vom	ˈʋom
пинь	piń	ˈpiɲ
кыв	kyv	ˈkɯʋ
гыж	gyž	ˈɡɯʒ
кок пыдӧс	kok pydös	
кок	kok	ˈkok
пидзӧс	pidźös	
ки	ki	ˈki
борд	bord	ˈbord
кынӧм	kynöm	
сюв	śuv	ˈɕuʋ
голя	goľa	ˈɡoʎa
мыш	myš	ˈmɯʃ
морӧс	morös	
сьӧлӧм	śölöm	ˈɕɘlɘm
мус	mus	ˈmus
юны	juny	ˈjunɯ
сёйны	śojny	ˈɕojnɯ
пурны	purny	
нёнявны	ńońavny	
сьӧлыштны	śölyštny	
увкйыны	uvkjyny	
пӧльтны	pöľtny	
лолавны	lolavny	
серавны	śeravny	
аддзыны	addźyny	ˈad͡ʑːɯnɯ
кывны	kyvny	ˈkɯʋnɯ
тӧдны	tödny	ˈtɘdnɯ
мӧвпавны	mövpavny	
исавны	isavny	
повны	povny	ˈpovnɨ
узьны	uźny	ˈuʑnɯ
овны	ovny	ˈoʋnɯ
кувны	kuvny	
вины	viny	ˈʋinɯ
тышкасьны	tyškaśny	
вӧравны	vöravny	ˈʋɘraʋnɯ
вачкыны	vaćkyny	
вундыны	vundyny	
торйӧдны	torjödny	
бырскыны	byrskyny	
гыжъявны	gyžjavny	
кодйыны	kodjyny	
уйны	ujny	
лэбны	lebny	ˈlebnɯ
ветлыны	vetlyny	
локны	lokny	
куйлыны	kujlyny	
пукыны	pukyny	
сулавны	sulavny	
бергавны	bergavny	
усьны	uśny	
сетны	śetny	
кутны	kutny	ˈkutnɯ
топӧдны	topödny	ˈtopɘdnɯ
ниртны	ńirtny	
мыськыны	myśkyny	
чышкыны	ćyškyny	
кыскыны	kyskyny	
йӧткыны	jötkyny	
чӧвтны	ćövtny	
кӧртавны	körtavny	
вурны	vurny	
лыддьыны	lydďyny	ˈlɯɟːɯnɯ
шуны	šuny	
сьывны	śyvny	ˈɕɯʋnɯ
ворсыны	vorsyny	
уйны	ujny	
виявны	vijavny	
кынмыны	kynmyny	
пуктыны	puktyny	
шонді	šondi	ˈʃondi
тӧлысь	tölyś	ˈtɘlɯɕ
кодзув	kodźuv	ˈkod͡ʑuʋ
ва	va	ˈʋa
зэрны	zerny	
ю	ju	ˈju
ты	ty	ˈtɯ
саридз	saridź	
сов	sov	ˈsov
из	iz	ˈiz
лы	ly	ˈlɯ
бус	bus	ˈbus
му	mu	ˈmu
кымӧр	kymör	
ру	ru	
енэж	jenež	ˈjeneʒ
тӧв	töv	ˈtɘʋ
лым	lym	ˈlɯm
йи	ji	
тшын	čyn	
би	bi	
пӧим	pöim	
сотны	sotny	
туй	tuj	ˈtuj
керӧс	kerös	
гӧрд	görd	ˈɡɘrd
турунвиж	turunviž	
кольквиж	koľkviž	
еджыд	jedžyd	ˈjed͡ʒɯd
сьӧд	śöd	ˈɕɘd
вой	voj	ˈʋoj
лун	lun	ˈlun
во	vo	ˈʋo
шоныд	šonyd	
кӧдзыд	ködźyd	
тыр	tyr	
выль	vyľ	
важ	važ	ˈʋaʒ
бур	bur	ˈbur
лёк	ľok	
сісь	siś	
няйт	ńajt	
веськыд	veśkyd	
гӧгрӧс	gögrös	
ёсь	joś	
ныж	nyž	
шыльыд	šyľyd	
уль	uľ	
кос	kos	ˈkos
веськыд	veśkyd	
матын	matyn	
улын	ulyn	
веськыд	veśkyd	
шуйга	šujga	
вылӧ	vylö	
-ын	-yn	
-кӧд	-köd	
да	da	ˈda
кӧ	kö	
вӧсна	vösna	
ним	ńim	ˈɲim
