мон	mon	ˈmon
тон	ton	
со	so	
ми	mi	ˈmi
тӥ	ti	
соос	soos	
та	ta	ˈtä
со	so	
татын	tatyn	
отын	otyn	
кин	kin	ˈkin
ма	ma	ˈmä
кытын	kytyn	
ку	ku	ˈku
кызьы	kyźy	
ӧвӧл	övöl	
ваньзы	vańzy	
уно	uno	uˈno
куд-ог	kud-og	
ӧжыт	öžyt	
мукет	muket	muˈkɛt
одӥг	odig	oˈdik
кык	kyk	ˈkɯ̈k
куинь	kuiń	kuˈiɲ
ньыль	ńyľ	ˈɲɯ̈ʎ
вить	viť	ˈʋic
бадӟым	baddźym	
кузь	kuź	ˈkuʑ
паськыт	paśkyt	
зӧк	zök	
секыт	śekyt	ɕɛˈkɯ̈t
пичи	pići	
вакчи	vakći	
сюбег	śubeg	
векчи	vekći	
кышно	kyšno	
пиосмурт	piosmurt	
адями	aďami	äɟäˈmi
нылпи	nylpi	
кышно	kyšno	
карт	kart	
анай	anaj	äˈnäj
атай	ataj	äˈtäj
пудо	pudo	
чорыг	ćoryg	t͡ɕoˈrɯ̈k
тылобурдо	tyloburdo	tɯ̈loburˈdo
пуны	puny	puˈnɯ̈
тэй	tej	ˈtɛj
кый	kyj	ˈkɯ̈j
нумыр	numyr	
писпу	pispu	
нюлэс	ńules	
боды	body	
емыш	jemyš	
кидыс	kidys	
куар	kuar	kuˈär
выжы	vyžy	ʋɯ̈ˈʒɯ̈
сул	sul	
сяська	śaśka	ɕäɕˈkä
турын	turyn	tuˈrɯ̈n
гозы	gozy	
ку	ku	ˈku
сӥль	siľ	ˈsiʎ
вир	vir	ˈʋir
лы	ly	ˈlɯ̈
кӧй	köj	
пуз	puz	
сюр	śur	ˈɕur
быж	byž	
тылы	tyly	
йырси	jyrśi	jɯ̈rˈɕi
йыр	jyr	ˈjɯ̈r
пель	peľ	ˈpɛʎ
син	śin	ˈɕin
ныр	nyr	ˈnɯ̈r
ым	ym	ˈɯ̈m
пинь	piń	ˈpiɲ
кыл	kyl	ˈkɯ̈l
гижы	gižy	ɡiˈʒɯ̈
пыд	pyd	
пыд	pyd	
пыдес	pyďes	
ки	ki	ˈki
бурд	burd	ˈburt
кӧт	köt	
сюл	śul	
чырты	ćyrty	
тыбыр	tybyr	
гадь	gaď	
сюлэм	śulem	ɕuˈlɛm
мус	mus	ˈmus
юыны	juyny	
сиыны	śiyny	ɕiɯ̈ˈnɯ̈
куртчыны	kurtćyny	
сюпсьыны	śupśyny	
сяланы	śalany	
кесяны	keśany	
пельтыны	peľtyny	
шоканы	šokany	
серекъяны	śerekjany	
адӟыны	addźyny	äd͡ʑːɯ̈ˈnɯ̈
кылыны	kylyny	kɯ̈lɯ̈ˈnɯ̈
тодыны	todyny	todɯ̈ˈnɯ̈
малпаны	malpany	
зынъяны	zynjany	
кышканы	kyškany	
изьыны	iźyny	iʑɯ̈ˈnɯ̈
улыны	ulyny	ulɯ̈ˈnɯ̈
кулыны	kulyny	kulɯ̈ˈnɯ̈
вийыны	vijyny	
жугиськыны	žugiśkyny	
пӧйшураны	pöjšurany	
жугыны	žugyny	
вандыны	vandyny	
пильыны	piľyny	
бышкалтыны	byškaltyny	
ӵабъяны	čabjany	
гудыны	gudyny	
уяны	ujany	
лобаны	lobany	
ветлыны	vetlyny	
лыктыны	lyktyny	
кылльыны	kylľyny	
пукыны	pukyny	pukɯ̈ˈnɯ̈
сылыны	sylyny	sɯ̈lɯ̈ˈnɯ̈
берыктыны	beryktyny	
усьыны	uśyny	
сётыны	śotyny	ɕotɯ̈ˈnɯ̈
кутыны	kutyny	
зӥбыны	zibyny	
вуштыны	vuštyny	
миськыны	miśkyny	
ӵушылыны	čušylyny	
нуыны	nuyny	nuɯ̈ˈnɯ̈
донгыны	dongyny	
куштыны	kuštyny	
керттыны	kerttyny	
вурыны	vuryny	ʋurɯ̈ˈnɯ̈
лыдъяны	lydjany	
шуыны	šuyny	ʃuɯ̈ˈnɯ̈
кырӟаны	kyrdźany	
шудыны	šudyny	
уяны	ujany	
вияны	vijany	
кынмыны	kynmyny	kɯ̈nmɯ̈ˈnɯ̈
кӧёмыны	köomyny	
шунды	šundy	ʃunˈdɯ̈
толэзь	toleź	toˈlɛʑ
кизили	kiźiľi	kiʑiˈʎi
ву	vu	ˈʋu
зор	zor	ˈzor
шур	šur	ˈʃur
ты	ty	ˈtɯ̈
зарезь	zareź	zäˈrɛʑ
сылал	sylal	sɯ̈ˈläl
кӧльы	köľy	
луо	luo	luˈo
тузон	tuzon	
му	mu	ˈmu
пилем	piľem	piˈʎɛm
бус	bus	
ин	in	ˈin
тӧл	töl	ˈtɘl
лымы	lymy	lɯ̈ˈmɯ̈
йӧ	jö	ˈjɘ
ӵын	čyn	
тыл	tyl	ˈtɯ̈l
пень	peń	
ӝуаны	džuany	
сюрес	śures	
гурезь	gureź	ɡuˈrɛʑ
горд	gord	ˈɡort
вож	vož	ˈʋoʒ
ӵуж	čuž	
тӧдьы	töďy	
сьӧд	śöd	ˈɕɘt
уй	uj	ˈuj
нунал	nunal	nuˈnäl
ар	ar	ˈär
шуныт	šunyt	ʃuˈnɯ̈t
кезьыт	keźyt	kɛˈʑɯ̈t
