English	Dutch	German	Yiddish	Norwegian	Icelandic	Swedish	Danish	French	Italian	Spanish	Romanian	Catalan	Neopolitan	Sicilian	Korean	Border
aɪ	ɪk	ɪç	ɪχ	jæɪ̯	jɛɣ	jɑː(ɡ)	jɑ̈(j)	ʒə	ˈi.o	ˈʝo	jew	ˈʒɔ	ˈi	ˈi.ʊ	nɑ	x
juː	jɛi	duː	dʊ	dʉː	θu	dʉː	ˈd̥u	ty	ˈtu	ˈtu	tu	ˈtu	ˈtu	tu	nʌ	x
ˈhiː	hɛi	eːr	ɛʁ	han	ˈhanː	hanː	han	il	ˈluj	ˈel	jel	ˈeʎ	ˈissə	ˈiɖɖu	k⁽ʰɯ̽	x
wiː	ʋɛi	viːɐ̯	mɪʁ	ʋiː	vɪð	viː	vi	nu	ˈnoj	noˈsotɾos	noj	noˈzal.tɾəs	ˈnujə		uɾi	x
juː	ˈjʏli	iːɐ̯		ˈdeːɾə	θɪð	niː	i	vu	ˈvoj	boˈsotɾos	voj	voˈzal.tɾəs	ˈvujə		nʌhɰi	x
ðeɪ	zɛiː	ziː	zɛɪ̯	diː	θeiːr	dɔm	di	il	ˈlo.ro	ˈeʝos	ˈjej	ˈeʎs	ˈllɔːrə	ˈiɖɖi	k⁽ʰɯ̽dɯ̽l	x
ðɪs	ˈdeːzə	ˈdiːzər	dɛr		ˈθɛsːɪ		ˈd̥ɛnə	sə.si	ˈkwe.sto	ˈeste	aˈt͡ʃes.ta	əˈkəst	ˈkistə	ˈki.ʃt̪u	i	x
ðæt	di	de	ˈjɛnəʁ	ˈdɛn	ˈhɪnː	dɛnː	dɛnˀ	sə.la	ˈkwel.lo	ˈese	aˈt͡ʃe.la	əˈkəʎ	ˈkillə	ˈkiɖɖu	k⁽ʰɯ̽	x
hɪə	hiːr	hiːr	dɔ	hæːr	çɛːr	hæːr		i.si	ˈkwi	aˈki	aˈit͡ʃʲ	əˈsi	ˈkka	ˈkka	jʌgi	x
ðɛə	daːr	daː	dɔʁt	dæːr	θaːr	dɛːr	ˈdɛːˀr	la	ˈli	aˈi	aˈko.lo	əˈʎa		ˈɖɖa	k⁽ʰʌgi	x
huː	ʋi	veːr	vɛr	vɛm	kʰvɛːr		vɛmˀ	ki	ki	ˈkjen	ˈt͡ʃi.ne	ˈki		ku	nugu	x
wɒt	ʋɑt	vas	vɔs	ʋɑː	kʰvaːð	vɑːd	vað	kwa	ˈke	ˈke	t͡ʃe	ˈkə			muʌ̹t̚	x
wɛə	ʋaːr	voː	vʊ	ʋʊɾ	kʰvaːr	vɑːr	vɒˀ	u	ˈdo.ve	ˈdonde	ˈun.de	ˈon		ˈun.nɪ	ʌdi	x
wɛn	ʋɑˈneːr	van	vɛn	nɔɾ	ˈkʰvɛːnair	-æːr	vɒˈnɒːˀ	kã	ˈkwan.do	ˈkwando	kɨnd	ˈkwan	ˈkwannə	ˈkwan.nʊ	ˈɘːnd͡ʑe̞	x
haʊ	hu	viː	vɪ		ˈkʰvɛ(r)dnɪ(ɣ)	hʉːr	ʋʌˈd̥an	kɔ.mã	ˈko.me	ˈkomo	ˈkum	ˈkɔm			ʌ̹t͈ʌ̹kʰe̞	x
nɒt	nit	nɪçt	nit	²ɪkːə	ˈɛhcɪ	²ɪntɛ	ˈeɡə	nə pɑ	non	ˈno	nu	ˈno			ɑn	x
ɔːl	ɑl	ˈalə	ˈaɫə		ˈatlʏr	ˈalˌa	alə	tu	ˈtut.to	ˈtodo	tot	ˈtot	ˈtuttə		modɯn	x
ˈmɛni	veːl	ˈfiːlə		ˈmɑŋə	ˈmarkʏr		ˈmɑŋə	bo.ku	ˈtan.to	ˈmut͡ʃo	mult͡sʲ	ˈmolt	asˈsaːjə	asˈsaj	maːnɯn	x
sʌm	ˈɛŋkələ	ˈaɪ̯nɪɡə	ˈɛtləχə	ˈnuːə		ˈnoːˌ(ɡ)ra	ˈnoən	kelk	alˈku.ni	alˈɡuno	ˈniʃ.te	əlˈɡun			ʌt͈ʌn	x
fjuː	ˈʋɛinəx	ˈveːnɪç	ˈvɛɪ̯nɪk		fauːr	foː	ˈfɔˀ	pø	ˈpɔ.ko	ˈpoko	puˈt͡sin	ˈpɔk	ˈpɔːkə	ˈpikːa	t͡ɕogɯm	x
ˈʌðə	ˈandər	ˈandərər	ˈandəʁ	ˈɑːˌɑn	ˈanːar		ˈanən	otʁ	ˈal.tro	ˈotɾo	alt	ˈal.tɾə	ˈaːtə	ˈaɯʈɹʊ	tɑɾɯ̽n	x
wʌn	eːn	aɪ̯ns	ɛɪ̯ns	eːn	eitn	ɛt	en	œ̃	un	ˈuno	ˈu.nu	ˈun	ˈunə		hɑnɑ	x
tuː	tʋeː	t͡svaɪ̯	t͡svɛɪ̯	tuː	t̪v̥ei̯ːr̥	tvoː	ˈtˢoˀ	dø	ˈdu.e	ˈdos	doj	ˈdos	ˈddujə		tuːɭ	x
θriː	dri	dʁaɪ̯	draɪ̯	tɾeː	θriːr	treː	ˈtˢʁ̥ɛˀ	tʁwɑ	ˈtre	ˈtɾes	ˈtrej	ˈtɾəs	ˈtre	ʈɽi	sʰe̞t̚	x
fɔː	viːr	fiːr	fɪr	ˈfiːɾə	ˈfjouːrɪr	ˈfyːˌra	fiːrə	katʁ	ˈkwat.tro	ˈkwatɾo	ˈpa.tru	ˈkwa.tɾə	ˈkwatt(ə)		ne̞t̚	x
faɪv	vɛif	fʏnf	fɪnf	fɛm	fɪmː	fɛm	ˈfɛmˀ	sɛ̃k	ˈt͡ʃin.kwe	ˈθinko	t͡ʃint͡ʃʲ	ˈsiŋk			ta̠sʰʌ̹t̚	x
bɪg	ɣroːt	ɡʁoːs	ɡrɔɪ̯s	stuːɾ	stouːr	stuːr	stoːˀr	ɡʁã	ˈɡran.de	ˈɡɾande	ˈma.re	ˈɡɾan	ˈɡrwossə	ˈɾanni	kʰɯdɑ	x
lɒŋ	lɑŋ	laŋ	ɫaŋ(ɡ)		ˈlaŋkʏr		lanɡ	lõ	ˈlun.ɡo	ˈlaɾɡo	luŋɡ	ˈʎaɾk	ˈlwoŋɡə	ˈlɔnɡʊ	kildɑ	x
waɪd	breːt	bʁaɪ̯t	brɛɪ̯t		ˈpreiːðʏr	-eːd	breːˀð	laʁʒ	ˈlar.ɡo	ˈant͡ʃo	larɡ	ˈam.plə			nʌ̹ɭt͈a̠	x
θɪk	dɪk	dɪk			ˈθɪhkʏr	ɕɔk	tyk	epɛ	ˈspes.so	ˈɡɾweso	ɡros	ɡɾuˈʃut			tuk͈ʌ̹p̚t͈a̠	x
ˈhɛvi	zʋaːr	ʃveːɐ̯	ʃvɛʁ		ˈθuŋkʏr	tɵŋ	ˈtˢɔŋˀ	luʁ	peˈzan.te	peˈsado	ɡrew	pəˈzat	pəˈsantɐ		muɡʌ̹p̚t͈a̠	x
smɔːl	klɛin	klaɪ̯n	ˈkɫɛɪ̯n	²liːtən	ˈliːtɪtl	²liːtɛn	lilə	pəti	ˈpik.ko.lo	peˈkeɲo	mik	pəˈtit	pittʃəˈɾillə	ˈni.kʊ	t͡ɕa̠k̚t͈a̠	x
ʃɔːt	kɔrt	kʊʁt͡s	kʊʁt͡s	kɔʈ	ˈstʏhtʏr	kɔrt	kɔrt	kuʁ	ˈkor.to	ˈkoɾto	skurt	ˈkuɾt	ˈkurtə		t͡ɕ͈a̠ɭt͈a̠	x
ˈnærəʊ	smɑl	ɛŋ		tɾɑŋ	mjouːr		snɛvər	etʁwa	ˈstret.to	esˈtɾet͡ʃo	strɨmt	əsˈtɾət	ˈʃtrində		t͡ɕo̞p̚t͈a̠	x
θɪn	dʏn	dʏn	dɪn		ˈθʏnːʏr		tˢønˀ	mɛ̃s	sotˈti.le	delˈɡado	subˈt͡si.re	ˈpɾim			ja̠ɭt͈a̠	x
ˈwʊmən	vrɔu	fʁaʊ̯	frɔj	²kʋɪnːə	ˈkʰɔna	²kvɪnːˌa	ˈkvenə	fam	ˈdɔn.na	muˈxeɾ	fe.ˈme.je	ˈdɔ.nə	ˈfemmənə		kje̞d͡ʑip̚	x
mæn	mɑn	man		mɑnː	kʰartl	man	manˀ	ɔm	ˈwɔ.mo	baˈɾon	bərˈbat	ˈɔ.mə	ˈɔmmə	ˈɔmu	sʰa̠na̠i	x
ˈpɜːsən	mɛns	mɛnʃ	mɛnt͡ʃ	ˈmɛnː(ə)skə	ˈmaðʏr	mɛnːɪɧa	mɛnəskə	ɔm	perˈso.na	ˈombɾe	om	uˈma		ˈɔmu	sʰa̠ɾa̠m	x
